flight_id,flight_number,aircraft_registration,aircraft_type,origin,destination,scheduled_departure_utc,scheduled_arrival_utc,flight_status,gate,terminal,aircraft_capacity,cargo_capacity_kg,crew_required,rotation_sequence,prev_flight_in_rotation,next_flight_in_rotation,turnaround_minutes
FLT-1001,EY401,A6-BLA,B787-9,AUH,BKK,29-01-26 2:30,29-01-26 9:00,SCHEDULED,A12,1,299,15000,10,1,,FLT-1002,90
FLT-1002,EY402,A6-BLA,B787-9,BKK,AUH,29-01-26 11:00,29-01-26 14:30,SCHEDULED,B8,2,299,15000,10,2,FLT-1001,FLT-1003,120
FLT-1003,EY406,A6-BLA,B787-9,AUH,BKK,29-01-26 16:30,29-01-26 23:00,SCHEDULED,A15,1,299,15000,10,3,FLT-1002,FLT-1004,90
FLT-1004,EY407,A6-BLA,B787-9,BKK,AUH,30-01-26 1:00,30-01-26 4:30,SCHEDULED,C3,3,299,15000,10,4,FLT-1003,,120
FLT-1005,EY401,A6-BLA,B787-9,AUH,BKK,30-01-26 2:30,30-01-26 9:00,SCHEDULED,A12,1,299,15000,10,1,,FLT-1006,90
FLT-1006,EY402,A6-BLA,B787-9,BKK,AUH,30-01-26 11:00,30-01-26 14:30,SCHEDULED,B8,2,299,15000,10,2,FLT-1005,FLT-1007,120
FLT-1007,EY406,A6-BLA,B787-9,AUH,BKK,30-01-26 16:30,30-01-26 23:00,SCHEDULED,A15,1,299,15000,10,3,FLT-1006,FLT-1008,90
FLT-1008,EY407,A6-BLA,B787-9,BKK,AUH,31-01-26 1:00,31-01-26 4:30,SCHEDULED,C3,3,299,15000,10,4,FLT-1007,,120
FLT-1009,EY11,A6-APA,A380-800,AUH,LHR,29-01-26 2:15,29-01-26 9:45,SCHEDULED,D5,1,496,25000,18,1,,FLT-1010,90
FLT-1010,EY12,A6-APA,A380-800,LHR,AUH,29-01-26 12:30,29-01-26 22:00,SCHEDULED,A22,3,496,25000,18,2,FLT-1009,,120
FLT-1011,EY11,A6-APA,A380-800,AUH,LHR,30-01-26 2:15,30-01-26 9:45,SCHEDULED,D5,1,496,25000,18,1,,FLT-1012,90
FLT-1012,EY12,A6-APA,A380-800,LHR,AUH,30-01-26 12:30,30-01-26 22:00,SCHEDULED,A22,3,496,25000,18,2,FLT-1011,,120
FLT-1013,EY19,A6-APB,A380-800,AUH,LHR,29-01-26 8:45,29-01-26 16:15,SCHEDULED,D8,1,496,25000,18,1,,FLT-1014,90
FLT-1014,EY20,A6-APB,A380-800,LHR,AUH,29-01-26 19:00,30-01-26 4:30,SCHEDULED,B15,2,496,25000,18,2,FLT-1013,,120
FLT-1015,EY19,A6-APB,A380-800,AUH,LHR,30-01-26 8:45,30-01-26 16:15,SCHEDULED,D8,1,496,25000,18,1,,FLT-1016,90
FLT-1016,EY20,A6-APB,A380-800,LHR,AUH,30-01-26 19:00,31-01-26 4:30,SCHEDULED,B15,2,496,25000,18,2,FLT-1015,,120
FLT-1017,EY25,A6-BLE,B787-10,AUH,LHR,29-01-26 14:30,29-01-26 22:00,SCHEDULED,C12,2,336,18000,12,1,,FLT-1018,90
FLT-1018,EY26,A6-BLE,B787-10,LHR,AUH,30-01-26 10:00,30-01-26 19:30,SCHEDULED,A8,1,336,18000,12,2,FLT-1017,,120
FLT-1019,EY25,A6-BLE,B787-10,AUH,LHR,30-01-26 14:30,30-01-26 22:00,SCHEDULED,C12,2,336,18000,12,1,,FLT-1020,90
FLT-1020,EY26,A6-BLE,B787-10,LHR,AUH,31-01-26 10:00,31-01-26 19:30,SCHEDULED,A8,1,336,18000,12,2,FLT-1019,,120
FLT-1021,EY472,A6-BLB,B787-9,AUH,SIN,29-01-26 3:00,29-01-26 14:00,SCHEDULED,B3,1,299,15000,10,1,,FLT-1022,90
FLT-1022,EY473,A6-BLB,B787-9,SIN,AUH,29-01-26 16:30,29-01-26 20:30,SCHEDULED,C18,2,299,15000,10,2,FLT-1021,,120
FLT-1023,EY472,A6-BLB,B787-9,AUH,SIN,30-01-26 3:00,30-01-26 14:00,SCHEDULED,B3,1,299,15000,10,1,,FLT-1024,90
FLT-1024,EY473,A6-BLB,B787-9,SIN,AUH,30-01-26 16:30,30-01-26 20:30,SCHEDULED,C18,2,299,15000,10,2,FLT-1023,,120
FLT-1025,EY424,A6-BLC,B787-9,AUH,SIN,29-01-26 9:15,29-01-26 20:15,SCHEDULED,B7,1,299,15000,10,1,,FLT-1026,90
FLT-1026,EY425,A6-BLC,B787-9,SIN,AUH,29-01-26 23:00,30-01-26 3:00,SCHEDULED,D2,3,299,15000,10,2,FLT-1025,,120
FLT-1027,EY424,A6-BLC,B787-9,AUH,SIN,30-01-26 9:15,30-01-26 20:15,SCHEDULED,B7,1,299,15000,10,1,,FLT-1028,90
FLT-1028,EY425,A6-BLC,B787-9,SIN,AUH,30-01-26 23:00,31-01-26 3:00,SCHEDULED,D2,3,299,15000,10,2,FLT-1027,,120
FLT-1029,EY31,A6-EYA,A350-1000,AUH,CDG,29-01-26 2:00,29-01-26 9:00,SCHEDULED,A5,1,371,20000,14,1,,FLT-1030,90
FLT-1030,EY32,A6-EYA,A350-1000,CDG,AUH,29-01-26 11:30,29-01-26 20:30,SCHEDULED,C25,2,371,20000,14,2,FLT-1029,,120
FLT-1031,EY31,A6-EYA,A350-1000,AUH,CDG,30-01-26 2:00,30-01-26 9:00,SCHEDULED,A5,1,371,20000,14,1,,FLT-1032,90
FLT-1032,EY32,A6-EYA,A350-1000,CDG,AUH,30-01-26 11:30,30-01-26 20:30,SCHEDULED,C25,2,371,20000,14,2,FLT-1031,,120
FLT-1033,EY37,A6-EYB,A350-1000,AUH,CDG,29-01-26 8:30,29-01-26 15:30,SCHEDULED,A9,1,371,20000,14,1,,FLT-1034,90
FLT-1034,EY38,A6-EYB,A350-1000,CDG,AUH,29-01-26 18:00,30-01-26 3:00,SCHEDULED,B20,3,371,20000,14,2,FLT-1033,,120
FLT-1035,EY37,A6-EYB,A350-1000,AUH,CDG,30-01-26 8:30,30-01-26 15:30,SCHEDULED,A9,1,371,20000,14,1,,FLT-1036,90
FLT-1036,EY38,A6-EYB,A350-1000,CDG,AUH,30-01-26 18:00,31-01-26 3:00,SCHEDULED,B20,3,371,20000,14,2,FLT-1035,,120
FLT-1037,EY7,A6-BLF,B787-10,AUH,FRA,29-01-26 7:00,29-01-26 13:30,SCHEDULED,C8,2,336,18000,12,1,,FLT-1038,90
FLT-1038,EY8,A6-BLF,B787-10,FRA,AUH,29-01-26 16:00,30-01-26 0:30,SCHEDULED,D12,1,336,18000,12,2,FLT-1037,,120
FLT-1039,EY7,A6-BLF,B787-10,AUH,FRA,30-01-26 7:00,30-01-26 13:30,SCHEDULED,C8,2,336,18000,12,1,,FLT-1040,90
FLT-1040,EY8,A6-BLF,B787-10,FRA,AUH,30-01-26 16:00,31-01-26 0:30,SCHEDULED,D12,1,336,18000,12,2,FLT-1039,,120
FLT-1041,EY103,A6-APC,A380-800,AUH,JFK,29-01-26 3:30,29-01-26 12:30,SCHEDULED,D1,1,496,25000,18,1,,FLT-1042,90
FLT-1042,EY104,A6-APC,A380-800,JFK,AUH,29-01-26 22:00,30-01-26 18:00,SCHEDULED,A30,3,496,25000,18,2,FLT-1041,,120
FLT-1043,EY103,A6-APC,A380-800,AUH,JFK,30-01-26 3:30,30-01-26 12:30,SCHEDULED,D1,1,496,25000,18,1,,FLT-1044,90
FLT-1044,EY104,A6-APC,A380-800,JFK,AUH,30-01-26 22:00,31-01-26 18:00,SCHEDULED,A30,3,496,25000,18,2,FLT-1043,,120
FLT-1045,EY211,A6-ANB,A321neo,AUH,DEL,29-01-26 4:00,29-01-26 9:30,SCHEDULED,B2,2,190,5000,6,1,,FLT-1046,90
FLT-1046,EY212,A6-ANB,A321neo,DEL,AUH,29-01-26 11:30,29-01-26 14:00,SCHEDULED,C5,1,190,5000,6,2,FLT-1045,FLT-1047,120
FLT-1047,EY213,A6-ANB,A321neo,AUH,DEL,29-01-26 16:00,29-01-26 21:30,SCHEDULED,B4,2,190,5000,6,3,FLT-1046,FLT-1048,90
FLT-1048,EY214,A6-ANB,A321neo,DEL,AUH,29-01-26 23:30,30-01-26 2:00,SCHEDULED,A18,3,190,5000,6,4,FLT-1047,,120
