slot_id,airport_code,airport_name,slot_time_utc,slot_type,total_slots,used_slots,available_slots,is_congested
SLOT-00001,AUH,Abu Dhabi International,2026-01-30 00:00:00,ARRIVAL,60,42,18,False
SLOT-00002,AUH,Abu Dhabi International,2026-01-30 01:00:00,DEPARTURE,60,38,22,False
SLOT-00003,AUH,Abu Dhabi International,2026-01-30 02:00:00,ARRIVAL,60,45,15,False
SLOT-00004,AUH,Abu Dhabi International,2026-01-30 03:00:00,DEPARTURE,60,48,12,False
SLOT-00005,AUH,Abu Dhabi International,2026-01-30 04:00:00,ARRIVAL,60,40,20,False
SLOT-00006,AUH,Abu Dhabi International,2026-01-30 05:00:00,DEPARTURE,60,44,16,False
SLOT-00007,AUH,Abu Dhabi International,2026-01-30 06:00:00,ARRIVAL,60,46,14,False
SLOT-00008,AUH,Abu Dhabi International,2026-01-30 07:00:00,DEPARTURE,60,50,10,False
SLOT-00009,AUH,Abu Dhabi International,2026-01-30 08:00:00,ARRIVAL,60,52,8,False
SLOT-00010,AUH,Abu Dhabi International,2026-01-30 09:00:00,DEPARTURE,60,58,2,True
SLOT-00011,AUH,Abu Dhabi International,2026-01-30 10:00:00,ARRIVAL,60,58,2,True
SLOT-00012,AUH,Abu Dhabi International,2026-01-30 11:00:00,DEPARTURE,60,58,2,True
SLOT-00013,AUH,Abu Dhabi International,2026-01-30 12:00:00,ARRIVAL,60,58,2,True
SLOT-00014,AUH,Abu Dhabi International,2026-01-30 13:00:00,DEPARTURE,60,58,2,True
SLOT-00015,AUH,Abu Dhabi International,2026-01-30 14:00:00,ARRIVAL,60,58,2,True
SLOT-00016,AUH,Abu Dhabi International,2026-01-30 15:00:00,DEPARTURE,60,58,2,True
SLOT-00017,AUH,Abu Dhabi International,2026-01-30 16:00:00,ARRIVAL,60,52,8,False
SLOT-00018,AUH,Abu Dhabi International,2026-01-30 17:00:00,DEPARTURE,60,48,12,False
SLOT-00019,AUH,Abu Dhabi International,2026-01-30 18:00:00,ARRIVAL,60,45,15,False
SLOT-00020,AUH,Abu Dhabi International,2026-01-30 19:00:00,DEPARTURE,60,42,18,False
SLOT-00021,AUH,Abu Dhabi International,2026-01-30 20:00:00,ARRIVAL,60,40,20,False
SLOT-00022,AUH,Abu Dhabi International,2026-01-30 21:00:00,DEPARTURE,60,38,22,False
SLOT-00023,AUH,Abu Dhabi International,2026-01-30 22:00:00,ARRIVAL,60,35,25,False
SLOT-00024,AUH,Abu Dhabi International,2026-01-30 23:00:00,DEPARTURE,60,36,24,False
SLOT-00025,BKK,Suvarnabhumi Airport,2026-01-30 00:00:00,ARRIVAL,40,28,12,False
SLOT-00026,BKK,Suvarnabhumi Airport,2026-01-30 03:00:00,DEPARTURE,40,25,15,False
SLOT-00027,BKK,Suvarnabhumi Airport,2026-01-30 06:00:00,ARRIVAL,40,0,40,False
SLOT-00028,BKK,Suvarnabhumi Airport,2026-01-30 09:00:00,DEPARTURE,40,0,40,False
SLOT-00029,BKK,Suvarnabhumi Airport,2026-01-30 12:00:00,ARRIVAL,40,0,40,False
SLOT-00030,BKK,Suvarnabhumi Airport,2026-01-30 15:00:00,DEPARTURE,40,22,18,False
SLOT-00031,BKK,Suvarnabhumi Airport,2026-01-30 18:00:00,ARRIVAL,40,30,10,False
SLOT-00032,BKK,Suvarnabhumi Airport,2026-01-30 21:00:00,DEPARTURE,40,26,14,False
SLOT-00033,LHR,London Heathrow,2026-01-30 00:00:00,ARRIVAL,80,65,15,False
SLOT-00034,LHR,London Heathrow,2026-01-30 03:00:00,DEPARTURE,80,60,20,False
SLOT-00035,LHR,London Heathrow,2026-01-30 06:00:00,ARRIVAL,80,0,80,False
SLOT-00036,LHR,London Heathrow,2026-01-30 09:00:00,DEPARTURE,80,0,80,False
SLOT-00037,LHR,London Heathrow,2026-01-30 12:00:00,ARRIVAL,80,0,80,False
SLOT-00038,LHR,London Heathrow,2026-01-30 15:00:00,DEPARTURE,80,72,8,False
SLOT-00039,LHR,London Heathrow,2026-01-30 18:00:00,ARRIVAL,80,75,5,False
SLOT-00040,LHR,London Heathrow,2026-01-30 21:00:00,DEPARTURE,80,70,10,False
SLOT-00041,SIN,Singapore Changi,2026-01-30 00:00:00,ARRIVAL,40,30,10,False
SLOT-00042,SIN,Singapore Changi,2026-01-30 06:00:00,DEPARTURE,40,28,12,False
SLOT-00043,SIN,Singapore Changi,2026-01-30 12:00:00,ARRIVAL,40,35,5,False
SLOT-00044,SIN,Singapore Changi,2026-01-30 18:00:00,DEPARTURE,40,32,8,False
SLOT-00045,CDG,Paris Charles de Gaulle,2026-01-30 00:00:00,ARRIVAL,80,68,12,False
SLOT-00046,CDG,Paris Charles de Gaulle,2026-01-30 06:00:00,DEPARTURE,80,0,80,False
SLOT-00047,CDG,Paris Charles de Gaulle,2026-01-30 09:00:00,ARRIVAL,80,0,80,False
SLOT-00048,CDG,Paris Charles de Gaulle,2026-01-30 12:00:00,DEPARTURE,80,0,80,False
SLOT-00049,CDG,Paris Charles de Gaulle,2026-01-30 15:00:00,ARRIVAL,80,0,80,False
SLOT-00050,CDG,Paris Charles de Gaulle,2026-01-30 18:00:00,DEPARTURE,80,72,8,False

SLOT-00051,CDG,Paris Charles de Gaulle,2026-01-30 21:00:00,ARRIVAL,80,70,10,False
SLOT-00052,FRA,Frankfurt Airport,2026-01-30 00:00:00,ARRIVAL,40,32,8,False
SLOT-00053,FRA,Frankfurt Airport,2026-01-30 06:00:00,DEPARTURE,40,28,12,False
SLOT-00054,FRA,Frankfurt Airport,2026-01-30 12:00:00,ARRIVAL,40,35,5,False
SLOT-00055,FRA,Frankfurt Airport,2026-01-30 18:00:00,DEPARTURE,40,30,10,False
SLOT-00056,JFK,John F Kennedy International,2026-01-30 00:00:00,ARRIVAL,80,72,8,False
SLOT-00057,JFK,John F Kennedy International,2026-01-30 06:00:00,DEPARTURE,80,68,12,False
SLOT-00058,JFK,John F Kennedy International,2026-01-30 12:00:00,ARRIVAL,80,75,5,False
SLOT-00059,JFK,John F Kennedy International,2026-01-30 18:00:00,DEPARTURE,80,70,10,False
SLOT-00060,DEL,Indira Gandhi International,2026-01-30 00:00:00,ARRIVAL,40,28,12,False
SLOT-00061,DEL,Indira Gandhi International,2026-01-30 06:00:00,DEPARTURE,40,25,15,False
SLOT-00062,DEL,Indira Gandhi International,2026-01-30 12:00:00,ARRIVAL,40,32,8,False
SLOT-00063,DEL,Indira Gandhi International,2026-01-30 18:00:00,DEPARTURE,40,30,10,False
SLOT-00064,SYD,Sydney Kingsford Smith,2026-01-30 00:00:00,ARRIVAL,40,30,10,False
SLOT-00065,SYD,Sydney Kingsford Smith,2026-01-30 06:00:00,DEPARTURE,40,28,12,False
SLOT-00066,SYD,Sydney Kingsford Smith,2026-01-30 12:00:00,ARRIVAL,40,32,8,False
SLOT-00067,SYD,Sydney Kingsford Smith,2026-01-30 18:00:00,DEPARTURE,40,26,14,False
SLOT-00068,CAI,Cairo International,2026-01-30 00:00:00,ARRIVAL,40,22,18,False
SLOT-00069,CAI,Cairo International,2026-01-30 06:00:00,DEPARTURE,40,20,20,False
SLOT-00070,CAI,Cairo International,2026-01-30 12:00:00,ARRIVAL,40,25,15,False
SLOT-00071,CAI,Cairo International,2026-01-30 18:00:00,DEPARTURE,40,23,17,False
SLOT-00072,FCO,Rome Fiumicino,2026-01-30 00:00:00,ARRIVAL,40,30,10,False
SLOT-00073,FCO,Rome Fiumicino,2026-01-30 06:00:00,DEPARTURE,40,28,12,False
SLOT-00074,FCO,Rome Fiumicino,2026-01-30 12:00:00,ARRIVAL,40,32,8,False
SLOT-00075,FCO,Rome Fiumicino,2026-01-30 18:00:00,DEPARTURE,40,30,10,False
SLOT-00076,DOH,Hamad International,2026-01-30 00:00:00,ARRIVAL,40,25,15,False
SLOT-00077,DOH,Hamad International,2026-01-30 06:00:00,DEPARTURE,40,22,18,False
SLOT-00078,DOH,Hamad International,2026-01-30 12:00:00,ARRIVAL,40,28,12,False
SLOT-00079,DOH,Hamad International,2026-01-30 18:00:00,DEPARTURE,40,26,14,False
SLOT-00080,MCT,Muscat International,2026-01-30 00:00:00,ARRIVAL,40,18,22,False
SLOT-00081,MCT,Muscat International,2026-01-30 06:00:00,DEPARTURE,40,15,25,False
SLOT-00082,MCT,Muscat International,2026-01-30 12:00:00,ARRIVAL,40,20,20,False
SLOT-00083,MCT,Muscat International,2026-01-30 18:00:00,DEPARTURE,40,18,22,False
