rule_id,regulation,rule_type,condition_type,condition_value,condition_unit,distance_min_km,distance_max_km,compensation_amount,compensation_currency,care_required,applies_to,exceptions,effective_date,notes
COMP-001,EU261,DELAY_COMPENSATION,DELAY_DURATION,180,minutes,0,1500,250,EUR,Yes,EU_DEPARTURES,Extraordinary circumstances,2026-01-01,Short haul delay 3+ hours
COMP-002,EU261,DELAY_COMPENSATION,DELAY_DURATION,180,minutes,1500,3500,400,EUR,Yes,EU_DEPARTURES,Extraordinary circumstances,2026-01-01,Medium haul delay 3+ hours
COMP-003,EU261,DELAY_COMPENSATION,DELAY_DURATION,180,minutes,3500,99999,400,EUR,Yes,EU_DEPARTURES,Extraordinary circumstances,2026-01-01,Long haul intra-EU 3+ hours
COMP-004,EU261,DELAY_COMPENSATION,DELAY_DURATION,240,minutes,3500,99999,600,EUR,Yes,EU_DEPARTURES,Extraordinary circumstances,2026-01-01,Long haul non-EU 4+ hours
COMP-005,EU261,CANCELLATION_COMPENSATION,NOTICE_PERIOD,0,days,0,1500,250,EUR,Yes,EU_DEPARTURES,Extraordinary circumstances,2026-01-01,Short haul no notice
COMP-006,EU261,CANCELLATION_COMPENSATION,NOTICE_PERIOD,0,days,1500,3500,400,EUR,Yes,EU_DEPARTURES,Extraordinary circumstances,2026-01-01,Medium haul no notice
COMP-007,EU261,CANCELLATION_COMPENSATION,NOTICE_PERIOD,0,days,3500,99999,600,EUR,Yes,EU_DEPARTURES,Extraordinary circumstances,2026-01-01,Long haul no notice
COMP-008,EU261,CANCELLATION_COMPENSATION,NOTICE_PERIOD,7,days,0,1500,250,EUR,Yes,EU_DEPARTURES,Reroute within 2hr/4hr,2026-01-01,Short haul 7-14 days notice
COMP-009,EU261,CANCELLATION_COMPENSATION,NOTICE_PERIOD,7,days,1500,3500,400,EUR,Yes,EU_DEPARTURES,Reroute within 2hr/4hr,2026-01-01,Medium haul 7-14 days notice
COMP-010,EU261,CANCELLATION_COMPENSATION,NOTICE_PERIOD,7,days,3500,99999,600,EUR,Yes,EU_DEPARTURES,Reroute within 2hr/4hr,2026-01-01,Long haul 7-14 days notice
COMP-011,EU261,CANCELLATION_COMPENSATION,NOTICE_PERIOD,14,days,0,99999,0,EUR,No,EU_DEPARTURES,None,2026-01-01,14+ days notice - no compensation
COMP-012,EU261,DOWNGRADE_REFUND,CABIN_DOWNGRADE,FIRST_TO_BUSINESS,class,0,1500,30,%,No,EU_DEPARTURES,None,2026-01-01,Short haul downgrade
COMP-013,EU261,DOWNGRADE_REFUND,CABIN_DOWNGRADE,FIRST_TO_BUSINESS,class,1500,3500,50,%,No,EU_DEPARTURES,None,2026-01-01,Medium haul downgrade
COMP-014,EU261,DOWNGRADE_REFUND,CABIN_DOWNGRADE,FIRST_TO_BUSINESS,class,3500,99999,75,%,No,EU_DEPARTURES,None,2026-01-01,Long haul downgrade
COMP-015,EU261,DOWNGRADE_REFUND,CABIN_DOWNGRADE,BUSINESS_TO_ECONOMY,class,0,1500,30,%,No,EU_DEPARTURES,None,2026-01-01,Short haul downgrade
COMP-016,EU261,DOWNGRADE_REFUND,CABIN_DOWNGRADE,BUSINESS_TO_ECONOMY,class,1500,3500,50,%,No,EU_DEPARTURES,None,2026-01-01,Medium haul downgrade
COMP-017,EU261,DOWNGRADE_REFUND,CABIN_DOWNGRADE,BUSINESS_TO_ECONOMY,class,3500,99999,75,%,No,EU_DEPARTURES,None,2026-01-01,Long haul downgrade
COMP-018,EU261,CARE_MEALS,DELAY_DURATION,120,minutes,0,1500,0,EUR,Yes,EU_DEPARTURES,None,2026-01-01,Meals for 2hr+ delay short
COMP-019,EU261,CARE_MEALS,DELAY_DURATION,180,minutes,1500,3500,0,EUR,Yes,EU_DEPARTURES,None,2026-01-01,Meals for 3hr+ delay medium
COMP-020,EU261,CARE_MEALS,DELAY_DURATION,240,minutes,3500,99999,0,EUR,Yes,EU_DEPARTURES,None,2026-01-01,Meals for 4hr+ delay long
COMP-021,EU261,CARE_HOTEL,DELAY_DURATION,OVERNIGHT,hours,0,99999,0,EUR,Yes,EU_DEPARTURES,None,2026-01-01,Hotel if overnight required
COMP-022,EU261,CARE_TRANSPORT,DELAY_DURATION,OVERNIGHT,hours,0,99999,0,EUR,Yes,EU_DEPARTURES,None,2026-01-01,Transport to/from hotel
COMP-023,EU261,CARE_COMMUNICATION,DELAY_DURATION,120,minutes,0,99999,0,EUR,Yes,EU_DEPARTURES,None,2026-01-01,2 phone calls/emails
COMP-024,DOT,TARMAC_DELAY,DELAY_DURATION,180,minutes,0,99999,0,AED,Yes,US_FLIGHTS,Safety/security/ATC,2026-01-01,Must deplane after 3hrs
COMP-025,DOT,DENIED_BOARDING,OVERBOOKING,INVOLUNTARY,type,0,99999,200,%,No,US_FLIGHTS,Volunteers found,2026-01-01,200% fare 1-2hr delay
COMP-026,DOT,DENIED_BOARDING,OVERBOOKING,INVOLUNTARY,type,0,99999,400,%,No,US_FLIGHTS,Volunteers found,2026-01-01,400% fare 2hr+ delay
COMP-027,DOT,DENIED_BOARDING_CAP,OVERBOOKING,INVOLUNTARY,type,0,99999,1550,AED,No,US_FLIGHTS,None,2026-01-01,Maximum cap 2024
COMP-028,DOT,BAGGAGE_DELAY,DELAY_DURATION,0,hours,0,99999,3800,AED,No,US_FLIGHTS,None,2026-01-01,Maximum liability
COMP-029,MONTREAL,BAGGAGE_LOSS,LOSS,PERMANENT,type,0,99999,1288,SDR,No,INTERNATIONAL,None,2026-01-01,Special Drawing Rights
COMP-030,MONTREAL,DELAY_LIABILITY,DELAY_DURATION,0,hours,0,99999,5346,SDR,No,INTERNATIONAL,Extraordinary circumstances,2026-01-01,Maximum delay liability
COMP-031,GOODWILL,VOUCHER_MINOR,DELAY_DURATION,60,minutes,0,99999,40,AED,No,ALL_FLIGHTS,None,2026-01-01,Discretionary voucher
COMP-032,GOODWILL,VOUCHER_MODERATE,DELAY_DURATION,120,minutes,0,99999,80,AED,No,ALL_FLIGHTS,None,2026-01-01,Discretionary voucher
COMP-033,GOODWILL,VOUCHER_MAJOR,DELAY_DURATION,180,minutes,0,99999,160,AED,No,ALL_FLIGHTS,None,2026-01-01,Discretionary voucher
COMP-034,GOODWILL,MILES_MINOR,DELAY_DURATION,60,minutes,0,99999,2000,MILES,No,ALL_FLIGHTS,None,2026-01-01,Loyalty miles credit
COMP-035,GOODWILL,MILES_MODERATE,DELAY_DURATION,120,minutes,0,99999,4000,MILES,No,ALL_FLIGHTS,None,2026-01-01,Loyalty miles credit
COMP-036,GOODWILL,MILES_MAJOR,DELAY_DURATION,180,minutes,0,99999,8000,MILES,No,ALL_FLIGHTS,None,2026-01-01,Loyalty miles credit
COMP-037,GOODWILL,LOUNGE_ACCESS,DELAY_DURATION,120,minutes,0,99999,0,AED,No,ALL_FLIGHTS,None,2026-01-01,Complimentary lounge
COMP-038,GOODWILL,UPGRADE_OFFER,DELAY_DURATION,180,minutes,0,99999,0,AED,No,ALL_FLIGHTS,Subject to availability,2026-01-01,Complimentary upgrade
COMP-039,UAE_CAA,DELAY_COMPENSATION,DELAY_DURATION,360,minutes,0,99999,200,AED,Yes,UAE_DEPARTURES,Extraordinary circumstances,2026-01-01,UAE regulation
COMP-040,UAE_CAA,CANCELLATION_COMPENSATION,NOTICE_PERIOD,0,days,0,99999,400,AED,Yes,UAE_DEPARTURES,Extraordinary circumstances,2026-01-01,UAE regulation
