connection_id,origin_airport,destination_airport,min_connection_time_minutes,aircraft_change_allowed,service_level,optimized_time_minutes
MCT-AUH-BKK,AUH,BKK,60,N,DIRECT,70
MCT-AUH-CDG,AUH,CDG,90,Y,DIRECT,120
MCT-AUH-FCO,AUH,FCO,80,Y,DIRECT,100
MCT-AUH-JED,AUH,JED,60,N,DIRECT,70
MCT-AUH-JFK,AUH,JFK,120,Y,DIRECT,150
MCT-AUH-DEL,AUH,DEL,75,Y,DIRECT,90
MCT-AUH-SIN,AUH,SIN,90,Y,DIRECT,110
MCT-AUH-SYD,AUH,SYD,120,Y,DIRECT,150
MCT-LHR-CDG,LHR,CDG,60,N,DIRECT,75
MCT-LHR-AUH,LHR,AUH,90,Y,DIRECT,120
MCT-CDG-AUH,CDG,AUH,90,Y,DIRECT,120
MCT-FCO-AUH,FCO,AUH,80,Y,DIRECT,100
MCT-BKK-AUH,BKK,AUH,90,Y,DIRECT,110
MCT-JFK-AUH,JFK,AUH,120,Y,DIRECT,150
