flight_id,flight_number,origin_airport_id,origin_code,destination_airport_id,destination_code,scheduled_departure,scheduled_arrival,aircraft_registration,aircraft_type_id,aircraft_code,aircraft_capacity,aircraft_cargo_capacity_kg,cabin_crew_required,gate,terminal,rotation_sequence,upline_flight_number,downline_flight_number
FLT-1001,EY117,2,BKK,1,AUH,2026-01-30 06:40:00,2026-01-30 10:40:00,A6-EYV,6,A320,180,3500,4,B5,3,1,OVERNIGHT,EY424
FLT-1002,EY5293,1,AUH,2,BKK,2026-01-30 08:37:00,2026-01-30 17:37:00,A6-EYU,6,A320,180,3500,4,B17,3,2,EY25,EY334
FLT-1003,EY454,1,AUH,3,SYD,2026-01-30 10:26:00,2026-01-30 16:26:00,A6-EYA,1,A380,516,16000,16,C26,1,3,EY313,EY472
FLT-1004,EY334,1,AUH,4,CDG,2026-01-30 12:48:00,2026-01-30 17:48:00,A6-EYJ,3,B787-10,330,12000,10,C9,1,4,EY101,EY424
FLT-1005,EY424,1,AUH,5,SIN,2026-01-30 06:22:00,2026-01-30 12:22:00,A6-EYO,2,B789,290,11000,9,A12,1,5,EY472,EY117
FLT-1006,EY313,1,AUH,6,JED,2026-01-30 08:17:00,2026-01-30 22:17:00,A6-EYN,4,B777,396,13000,12,A8,1,6,EY454,EY454
FLT-1007,EY472,1,AUH,5,SIN,2026-01-30 00:45:00,2026-01-30 20:45:00,A6-EYH,4,B777,396,13000,12,A15,1,7,EY454,EY5293
FLT-1008,EY101,1,AUH,7,JFK,2026-01-30 02:46:00,2026-01-30 16:46:00,A6-EYB,3,B787-10,330,12000,10,B2,2,8,EY334,EY5293
FLT-1009,EY25,4,CDG,1,AUH,2026-01-31 22:13:00,2026-02-01 14:13:00,A6-EYF,6,A320,180,3500,4,C5,1,9,EY334,EY5293
FLT-1010,EY8184,1,AUH,8,LHR,2026-01-30 08:30:00,2026-01-30 14:30:00,A6-EYM,3,B787-10,330,12000,10,C12,1,10,EY101,EY25
FLT-1011,EY6268,1,AUH,8,LHR,2026-01-30 10:15:00,2026-01-30 16:15:00,A6-EYL,6,A320,180,3500,4,C15,1,11,EY472,EY19
FLT-1012,EY25,8,LHR,1,AUH,2026-01-31 20:00:00,2026-02-01 12:00:00,A6-EYF,6,A320,180,3500,4,C18,1,12,EY8184,EY5293
FLT-1013,EY19,8,LHR,1,AUH,2026-01-31 22:00:00,2026-02-01 14:00:00,A6-EYC,3,B787-9,290,11000,9,C20,1,13,EY6268,EY106
FLT-1014,EY11,8,LHR,1,AUH,2026-02-01 00:00:00,2026-02-01 16:00:00,A6-EYK,4,B777,396,13000,12,C22,1,14,EY454,EY334
FLT-1015,EY401,2,BKK,1,AUH,2026-01-31 06:38:00,2026-01-31 13:38:00,A6-EYV,6,A320,180,3500,4,A25,3,15,EY25,EY334
FLT-1016,EY406,1,AUH,2,BKK,2026-01-31 08:02:00,2026-01-31 13:02:00,A6-EYU,6,A320,180,3500,4,D30,2,16,EY101,EY424
FLT-1017,EY639,1,AUH,7,JFK,2026-01-30 08:48:00,2026-01-30 13:48:00,A6-EYA,1,A380,516,16000,16,A20,2,17,EY12,EY334
FLT-1018,EY3105,1,AUH,5,SIN,2026-01-31 06:15:00,2026-01-31 12:15:00,A6-EYM,4,A350,350,13000,12,B19,1,18,EY472,EY472
FLT-1019,EY3102,1,AUH,11,FCO,2026-01-30 08:12:00,2026-01-30 15:12:00,A6-EYE,2,B777X,400,14000,14,B12,2,19,EY3103,EY912
FLT-1020,EY003,1,AUH,8,DEL,2026-01-30 10:20:00,2026-01-30 23:20:00,A6-EYK,4,A350,350,13000,12,C17,2,20,EY912,EY8086
FLT-1021,EY8086,8,DEL,11,FCO,2026-01-31 08:15:00,2026-01-31 14:15:00,A6-EYL,3,B787-10,330,12000,10,B14,3,21,EY003,EY8087
FLT-1022,EY8087,11,FCO,1,AUH,2026-01-31 22:30:00,2026-02-01 06:30:00,A6-EYL,3,B787-10,330,12000,10,C25,1,22,EY8086,OVERNIGHT
FLT-1023,EY402,2,BKK,1,AUH,2026-01-30 18:15:00,2026-01-31 03:15:00,A6-EYD,6,A320,180,3500,4,A18,3,23,OVERNIGHT,EY334
FLT-1024,EY106,1,AUH,7,JFK,2026-02-01 18:00:00,2026-02-02 08:00:00,A6-EYC,3,B787-9,290,11000,9,B8,2,24,EY19,OVERNIGHT
FLT-1025,EY912,7,JFK,1,AUH,2026-02-01 12:00:00,2026-02-02 00:00:00,A6-EYA,1,A380,516,16000,16,D15,3,25,EY3102,EY3103
FLT-1026,EY3103,1,AUH,4,CDG,2026-02-02 08:00:00,2026-02-02 13:00:00,A6-EYA,1,A380,516,16000,16,C30,1,26,EY912,OVERNIGHT
