workorder_id,aircraft_registration,aircraft_type,maintenance_type,status,scheduled_start,scheduled_end,actual_start,actual_end,estimated_duration_hours,priority,location,assigned_technician_id
MWO-A6-EYA-001,A6-EYA,A380,INSPECTION_C,COMPLETED,2026-01-25 08:00:00,2026-01-26 16:00:00,2026-01-25 08:00:00,2026-01-26 16:00:00,32,NORMAL,AUH,TECH-001
MWO-A6-EYB-001,A6-EYB,B787-10,INSPECTION_A,COMPLETED,2026-01-28 06:00:00,2026-01-28 10:00:00,2026-01-28 06:00:00,2026-01-28 10:00:00,4,NORMAL,JFK,TECH-002
MWO-A6-EYC-001,A6-EYC,B787-9,INSPECTION_B,COMPLETED,2026-01-27 10:00:00,2026-01-27 14:00:00,2026-01-27 10:00:00,2026-01-27 14:00:00,4,NORMAL,LHR,TECH-003
MWO-A6-EYD-001,A6-EYD,A320,INSPECTION_A,COMPLETED,2026-01-29 08:00:00,2026-01-29 12:00:00,2026-01-29 08:00:00,2026-01-29 12:00:00,4,NORMAL,BKK,TECH-004
MWO-A6-EYE-001,A6-EYE,B777X,INSPECTION_B,COMPLETED,2026-01-26 06:00:00,2026-01-26 14:00:00,2026-01-26 06:00:00,2026-01-26 14:00:00,8,NORMAL,FCO,TECH-005
MWO-A6-EYF-001,A6-EYF,A320,INSPECTION_A,COMPLETED,2026-01-28 08:00:00,2026-01-28 12:00:00,2026-01-28 08:00:00,2026-01-28 12:00:00,4,NORMAL,CDG,TECH-006
MWO-A6-EYH-001,A6-EYH,B777,INSPECTION_C,COMPLETED,2026-01-25 06:00:00,2026-01-26 10:00:00,2026-01-25 06:00:00,2026-01-26 10:00:00,28,NORMAL,SIN,TECH-007
MWO-A6-EYJ-001,A6-EYJ,B787-10,INSPECTION_B,COMPLETED,2026-01-27 08:00:00,2026-01-27 14:00:00,2026-01-27 08:00:00,2026-01-27 14:00:00,6,NORMAL,CDG,TECH-008
MWO-A6-EYK-001,A6-EYK,A350,INSPECTION_B,COMPLETED,2026-01-28 06:00:00,2026-01-28 14:00:00,2026-01-28 06:00:00,2026-01-28 14:00:00,8,NORMAL,DEL,TECH-009
MWO-A6-EYL-001,A6-EYL,A320,INSPECTION_A,COMPLETED,2026-01-29 08:00:00,2026-01-29 12:00:00,2026-01-29 08:00:00,2026-01-29 12:00:00,4,NORMAL,LHR,TECH-010
MWO-A6-EYM-001,A6-EYM,B787-10,INSPECTION_B,COMPLETED,2026-01-27 08:00:00,2026-01-27 14:00:00,2026-01-27 08:00:00,2026-01-27 14:00:00,6,NORMAL,LHR,TECH-011
MWO-A6-EYN-001,A6-EYN,B777,INSPECTION_A,COMPLETED,2026-01-29 06:00:00,2026-01-29 10:00:00,2026-01-29 06:00:00,2026-01-29 10:00:00,4,NORMAL,JED,TECH-012
MWO-A6-EYO-001,A6-EYO,B789,INSPECTION_A,COMPLETED,2026-01-28 08:00:00,2026-01-28 12:00:00,2026-01-28 08:00:00,2026-01-28 12:00:00,4,NORMAL,SIN,TECH-013
MWO-A6-EYU-001,A6-EYU,A320,INSPECTION_A,COMPLETED,2026-01-27 10:00:00,2026-01-27 14:00:00,2026-01-27 10:00:00,2026-01-27 14:00:00,4,NORMAL,BKK,TECH-014
MWO-A6-EYV-001,A6-EYV,A320,INSPECTION_A,COMPLETED,2026-01-26 08:00:00,2026-01-26 12:00:00,2026-01-26 08:00:00,2026-01-26 12:00:00,4,NORMAL,BKK,TECH-015
