booking_id,pnr,passenger_id,flight_id,flight_number,scenario_id,scenario_name,aircraft_registration,booking_date,booking_status,cabin_class,fare_basis,total_fare_usd,payment_status,is_disrupted,rebook_status,is_cancelled
BKG-1001,DBU974,PAX-1001,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-10-26,CONFIRMED,Business,BOWRT,2534,PAID,Y,,N
BKG-1002,ZMA614,PAX-1002,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2026-01-04,CONFIRMED,Business,FOWRT,1318,PAID,Y,,N
BKG-1003,ZTL200,PAX-1003,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2026-01-10,CONFIRMED,Economy,JOWRT,214,PAID,Y,,N
BKG-1004,LIP754,PAX-1004,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-10-25,CONFIRMED,First,YOWUS,4584,PAID,Y,CONFIRMED,N
BKG-1005,ILP849,PAX-1005,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-10-31,CONFIRMED,Business,YOWUS,976,PAID,Y,WAITLIST,N
BKG-1006,JQJ791,PAX-1006,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-12-21,MODIFIED,First,BOWRT,2926,PAID,Y,PENDING,N
BKG-1007,HRF555,PAX-1007,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2026-01-03,CONFIRMED,First,JOWRT,1635,PAID,Y,,N
BKG-1008,AWD233,PAX-1008,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-12-19,CONFIRMED,First,YOWUS,2145,PAID,Y,,N
BKG-1009,WLC829,PAX-1009,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-11-07,CONFIRMED,Business,YOWUS,250,PAID,Y,,N
BKG-1010,VCC856,PAX-1010,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-11-22,MODIFIED,Business,BOWRT,6599,PAID,Y,PENDING,N
BKG-1011,ESI447,PAX-1011,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2026-01-05,CONFIRMED,Economy,BOWRT,3078,PAID,Y,WAITLIST,N
BKG-1012,HRM783,PAX-1012,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-10-28,MODIFIED,Business,FOWRT,1726,PAID,Y,PENDING,N
BKG-1013,EYL806,PAX-1013,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-12-16,CONFIRMED,First,YOWUS,6071,PAID,Y,WAITLIST,N
BKG-1014,RWQ739,PAX-1014,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-11-16,CONFIRMED,First,FOWRT,4809,PAID,Y,WAITLIST,N
BKG-1015,QBS549,PAX-1015,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,2025-11-09,CONFIRMED,First,BOWRT,4491,PAID,Y,CONFIRMED,N
