parameter_id,category,parameter_code,parameter_name,value,unit,currency,effective_date,expiry_date,aircraft_type,route_type,description,regulatory_reference,notes
FIN-001,DELAY_COST,DELAY_COST_PER_MIN,Delay Cost Per Minute,50,AED/minute,AED,2026-01-01,2026-12-31,ALL,ALL,Standard hard cost per minute of delay including fuel/crew/handling,OCC Finance Matrix,Industry standard 2024 adjusted
FIN-002,DELAY_COST,DELAY_COST_FUEL_BURN,Ground Fuel Burn Rate,20,AED/minute,AED,2026-01-01,2026-12-31,B787,ALL,APU fuel burn during ground delay,Fuel Matrix,Jet-A at $2.80/gallon
FIN-003,DELAY_COST,DELAY_COST_FUEL_BURN,Ground Fuel Burn Rate,30,AED/minute,AED,2026-01-01,2026-12-31,A380,ALL,APU fuel burn during ground delay,Fuel Matrix,Jet-A at $2.80/gallon
FIN-004,DELAY_COST,DELAY_COST_FUEL_BURN,Ground Fuel Burn Rate,25,AED/minute,AED,2026-01-01,2026-12-31,A350,ALL,APU fuel burn during ground delay,Fuel Matrix,Jet-A at $2.80/gallon
FIN-005,DELAY_COST,DELAY_COST_FUEL_BURN,Ground Fuel Burn Rate,15,AED/minute,AED,2026-01-01,2026-12-31,A321,ALL,APU fuel burn during ground delay,Fuel Matrix,Jet-A at $2.80/gallon
FIN-006,CREW_COST,CREW_OVERTIME_PILOT,Pilot Overtime Rate,100,AED/hour,AED,2026-01-01,2026-12-31,ALL,ALL,Captain/FO overtime beyond scheduled duty,14 CFR Part 117,Per pilot
FIN-007,CREW_COST,CREW_OVERTIME_CABIN,Cabin Crew Overtime Rate,50,AED/hour,AED,2026-01-01,2026-12-31,ALL,ALL,Flight attendant overtime rate,EASA FTL,Per crew member
FIN-008,CREW_COST,CREW_POSITIONING,Crew Positioning Cost,1500,AED/positioning,AED,2026-01-01,2026-12-31,ALL,DOMESTIC,Cost to deadhead crew domestically,Operations,Includes travel + per diem
FIN-009,CREW_COST,CREW_POSITIONING,Crew Positioning Cost,3500,AED/positioning,AED,2026-01-01,2026-12-31,ALL,INTERNATIONAL,Cost to deadhead crew internationally,Operations,Includes travel + per diem + visa
FIN-010,CREW_COST,CREW_HOTEL,Crew Hotel Cost,250,AED/night,AED,2026-01-01,2026-12-31,ALL,ALL,Crew rest accommodation,Operations,Average 4-star hotel
FIN-011,CREW_COST,CREW_MEAL,Crew Meal Allowance,75,AED/day,AED,2026-01-01,2026-12-31,ALL,ALL,Daily meal per diem,Operations,Standard per diem
FIN-012,GROUND_HANDLING,GROUND_HANDLING_DELAY,Extended Ground Handling,300,AED/hour,AED,2026-01-01,2026-12-31,ALL,ALL,Additional ground handling for delayed flights,Ground Ops,Per hour beyond scheduled
