shipment_id,flight_number,shipment_type,weight_kg,revenue_usd,revenue_aed,origin_code,destination_code,scheduled_departure
CARGO-EY117-001,EY117,GENERAL_CARGO,2000,4000,14680,BKK,AUH,2026-01-30 06:40:00
CARGO-EY5293-001,EY5293,PERISHABLE,1500,5000,18350,AUH,BKK,2026-01-30 08:37:00
CARGO-EY454-001,EY454,HAZMAT,1000,6000,22020,AUH,SYD,2026-01-30 10:26:00
CARGO-EY454-002,EY454,GENERAL_CARGO,3000,8000,29360,AUH,SYD,2026-01-30 10:26:00
CARGO-EY334-001,EY334,PHARMA,500,12000,44040,AUH,CDG,2026-01-30 12:48:00
CARGO-EY424-001,EY424,GENERAL_CARGO,2500,5000,18350,AUH,SIN,2026-01-30 06:22:00
CARGO-EY313-001,EY313,PERISHABLE,1200,4500,16515,AUH,JED,2026-01-30 08:17:00
CARGO-EY472-001,EY472,GENERAL_CARGO,3500,7000,25690,AUH,SIN,2026-01-30 00:45:00
CARGO-EY101-001,EY101,HAZMAT,800,5500,20185,AUH,JFK,2026-01-30 02:46:00
CARGO-EY402-001,EY402,GENERAL_CARGO,2200,4400,16148,BKK,AUH,2026-01-30 18:15:00
