baggage_id,flight_number,passenger_id,baggage_tag,baggage_type,weight_kg,destination_code,status,is_delayed,delay_reason,handling_location,last_scan_time
BAG-EY117-001,EY117,PAX-001,A6EYV001,CHECKED,23.5,AUH,LOADED,N,NULL,BKK_GATE_B5,2026-01-30 06:25:00
BAG-EY117-002,EY117,PAX-002,A6EYV002,CHECKED,22.0,AUH,LOADED,N,NULL,BKK_GATE_B5,2026-01-30 06:25:00
BAG-EY117-003,EY117,PAX-003,A6EYV003,CHECKED,28.5,AUH,LOADED,N,NULL,BKK_GATE_B5,2026-01-30 06:25:00
BAG-EY5293-001,EY5293,PAX-004,A6EYU001,CHECKED,26.0,BKK,LOADED,N,NULL,AUH_GATE_A12,2026-01-30 08:20:00
BAG-EY5293-002,EY5293,PAX-005,A6EYU002,CHECKED,24.5,BKK,LOADED,N,NULL,AUH_GATE_A12,2026-01-30 08:20:00
BAG-EY5293-003,EY5293,PAX-006,A6EYU003,CHECKED,22.0,BKK,LOADED,N,NULL,AUH_GATE_A12,2026-01-30 08:20:00
BAG-EY454-001,EY454,PAX-007,A6EYM001,CHECKED,31.0,SYD,LOADED,N,NULL,AUH_GATE_C22,2026-01-30 10:10:00
BAG-EY454-002,EY454,PAX-008,A6EYM002,CHECKED,26.5,SYD,LOADED,N,NULL,AUH_GATE_C22,2026-01-30 10:10:00
BAG-EY454-003,EY454,PAX-009,A6EYM003,CHECKED,29.0,SYD,LOADED,N,NULL,AUH_GATE_C22,2026-01-30 10:10:00
BAG-EY334-001,EY334,PAX-010,A6EYN001,CHECKED,25.0,CDG,LOADED,N,NULL,AUH_GATE_D5,2026-01-30 12:30:00
BAG-EY334-002,EY334,PAX-011,A6EYN002,CHECKED,23.5,CDG,LOADED,N,NULL,AUH_GATE_D5,2026-01-30 12:30:00
BAG-EY334-003,EY334,PAX-012,A6EYN003,CHECKED,27.0,CDG,LOADED,N,NULL,AUH_GATE_D5,2026-01-30 12:30:00
BAG-EY424-001,EY424,PAX-013,A6EYP001,CHECKED,30.0,SIN,LOADED,N,NULL,AUH_GATE_E15,2026-01-30 06:00:00
BAG-EY424-002,EY424,PAX-014,A6EYP002,CHECKED,25.5,SIN,LOADED,N,NULL,AUH_GATE_E15,2026-01-30 06:00:00
BAG-EY424-003,EY424,PAX-015,A6EYP003,CHECKED,24.0,SIN,LOADED,N,NULL,AUH_GATE_E15,2026-01-30 06:00:00
BAG-EY8184-001,EY8184,PAX-001,A6EYV004,CHECKED,23.5,LHR,DELAYED,Y,FOG_CLOSURE,LHR_BAGGAGE_CLAIM,2026-01-31 14:45:00
BAG-EY8184-002,EY8184,PAX-007,A6EYM004,CHECKED,31.0,LHR,DELAYED,Y,FOG_CLOSURE,LHR_BAGGAGE_CLAIM,2026-01-31 14:45:00
BAG-EY6268-001,EY6268,PAX-010,A6EYN004,CHECKED,25.0,LHR,DELAYED,Y,FOG_CLOSURE,LHR_BAGGAGE_CLAIM,2026-01-31 15:20:00
BAG-EY25-001,EY25,PAX-004,A6EYU004,CHECKED,26.0,SYD,DELAYED,Y,FOG_CLOSURE_LHR,LHR_GATE_A1,2026-01-31 20:30:00
BAG-EY25-002,EY25,PAX-005,A6EYU005,CHECKED,24.5,SYD,DELAYED,Y,FOG_CLOSURE_LHR,LHR_GATE_A1,2026-01-31 20:30:00
BAG-EY19-001,EY19,PAX-002,A6EYV005,CHECKED,22.0,AUH,DELAYED,Y,FOG_CLOSURE_LHR,LHR_GATE_B3,2026-01-31 21:45:00
BAG-EY11-001,EY11,PAX-003,A6EYV006,CHECKED,28.5,AUH,DELAYED,Y,FOG_CLOSURE_LHR,LHR_GATE_C7,2026-02-01 00:30:00
