weather_id,airport_code,airport_name,observation_time,condition,temperature_c,wind_speed_kts,wind_direction,visibility_m,ceiling_ft,precipitation,is_operational,metar,taf_valid_from,taf_valid_to,disruption_type,impact_on_operations
WX-BKK-TYPHOON,BKK,Suvarnabhumi,2026-01-30T00:00:00Z,TYPHOON,28,85,210,500,4721,HEAVY,N,METAR BKK 300000Z 085/85KT 500M TYPHOON,2026-01-30T00:00:00Z,2026-02-01T00:00:00Z,SEVERE_WEATHER,All departures prohibited - Runway closures - Inbound diversions
WX-LHR-FOG,LHR,Heathrow,2026-01-30T00:00:00Z,FOG,4,5,314,200,1137,NONE,N,METAR LHR 300000Z 005/05KT 200M FOG,2026-01-30T00:00:00Z,2026-01-31T00:00:00Z,SEVERE_WEATHER,Visibility below minimums - All departures prohibited - Inbound delays
WX-CDG-NORMAL,CDG,Charles de Gaulle,2026-01-30T00:00:00Z,CLEAR,4,5,318,10000,10000,NONE,Y,METAR CDG 300000Z 005/05KT 10000M CLEAR,2026-01-30T00:00:00Z,2026-02-01T00:00:00Z,NORMAL,Normal operations
WX-AUH-NORMAL,AUH,Abu Dhabi International,2026-01-30T00:00:00Z,CLEAR,28,12,135,10000,10000,NONE,Y,METAR AUH 300000Z 012/12KT 10000M CLEAR,2026-01-30T00:00:00Z,2026-02-01T00:00:00Z,NORMAL,Normal operations
WX-SIN-NORMAL,SIN,Changi,2026-01-30T00:00:00Z,CLEAR,28,12,180,10000,10000,NONE,Y,METAR SIN 300000Z 012/12KT 10000M CLEAR,2026-01-30T00:00:00Z,2026-02-01T00:00:00Z,NORMAL,Normal operations
WX-SYD-NORMAL,SYD,Sydney Kingsford Smith,2026-01-30T00:00:00Z,CLEAR,22,10,150,10000,10000,NONE,Y,METAR SYD 300000Z 010/10KT 10000M CLEAR,2026-01-30T00:00:00Z,2026-02-01T00:00:00Z,NORMAL,Normal operations
WX-JED-NORMAL,JED,King Abdulaziz,2026-01-30T00:00:00Z,CLEAR,24,8,270,10000,10000,NONE,Y,METAR JED 300000Z 008/08KT 10000M CLEAR,2026-01-30T00:00:00Z,2026-02-01T00:00:00Z,NORMAL,Normal operations
WX-JFK-NORMAL,JFK,John F Kennedy,2026-01-30T00:00:00Z,CLEAR,2,8,100,10000,10000,NONE,Y,METAR JFK 300000Z 008/08KT 10000M CLEAR,2026-01-30T00:00:00Z,2026-02-01T00:00:00Z,NORMAL,Normal operations
WX-DEL-NORMAL,DEL,Indira Gandhi,2026-01-30T00:00:00Z,CLEAR,22,6,220,10000,10000,NONE,Y,METAR DEL 300000Z 006/06KT 10000M CLEAR,2026-01-30T00:00:00Z,2026-02-01T00:00:00Z,NORMAL,Normal operations
WX-FCO-NORMAL,FCO,Fiumicino,2026-01-30T00:00:00Z,CLEAR,8,10,180,10000,10000,NONE,Y,METAR FCO 300000Z 010/10KT 10000M CLEAR,2026-01-30T00:00:00Z,2026-02-01T00:00:00Z,NORMAL,Normal operations
WX-CAI-NORMAL,CAI,Cairo International,2026-01-30T00:00:00Z,CLEAR,20,8,320,10000,10000,NONE,Y,METAR CAI 300000Z 008/08KT 10000M CLEAR,2026-01-30T00:00:00Z,2026-02-01T00:00:00Z,NORMAL,Normal operations
WX-DOH-NORMAL,DOH,Hamad International,2026-01-30T00:00:00Z,CLEAR,26,10,100,10000,10000,NONE,Y,METAR DOH 300000Z 010/10KT 10000M CLEAR,2026-01-30T00:00:00Z,2026-02-01T00:00:00Z,NORMAL,Normal operations
WX-FRA-NORMAL,FRA,Frankfurt,2026-01-30T00:00:00Z,CLEAR,5,12,220,10000,10000,NONE,Y,METAR FRA 300000Z 012/12KT 10000M CLEAR,2026-01-30T00:00:00Z,2026-02-01T00:00:00Z,NORMAL,Normal operations
