constraint_id,scenario_id,scenario_name,constraint_type,description,min_value,max_value,unit,is_waivable,regulatory_reference,penalty_for_violation
SAF-1-CREW_REST,1,Bangkok Typhoon + Critical MEL Aircraft,CREW_REST,Crew Rest safety constraint,10.0,12.0,hours,N,GCAA-674,WARNING
SAF-1-FDP_LIMIT,1,Bangkok Typhoon + Critical MEL Aircraft,FDP_LIMIT,Fdp Limit safety constraint,11.0,16.0,hours,N,GCAA-458,GROUNDING
SAF-1-DUTY_LIMIT,1,Bangkok Typhoon + Critical MEL Aircraft,DUTY_LIMIT,Duty Limit safety constraint,10.0,16.0,hours,Y,GCAA-885,FINE
SAF-1-ETOPS,1,Bangkok Typhoon + Critical MEL Aircraft,ETOPS,Etops safety constraint,,,,Y,GCAA-927,GROUNDING
SAF-1-MEL,1,Bangkok Typhoon + Critical MEL Aircraft,MEL,Mel safety constraint,,,,Y,GCAA-113,FINE
SAF-1-WEIGHT_BALANCE,1,Bangkok Typhoon + Critical MEL Aircraft,WEIGHT_BALANCE,Weight Balance safety constraint,,,,Y,GCAA-148,WARNING
SAF-2-CREW_REST,2,London Fog + Multiple Aircraft AOG,CREW_REST,Crew Rest safety constraint,12.0,16.0,hours,N,GCAA-818,GROUNDING
SAF-2-FDP_LIMIT,2,London Fog + Multiple Aircraft AOG,FDP_LIMIT,Fdp Limit safety constraint,9.0,14.0,hours,N,GCAA-629,FINE
SAF-2-DUTY_LIMIT,2,London Fog + Multiple Aircraft AOG,DUTY_LIMIT,Duty Limit safety constraint,12.0,16.0,hours,Y,GCAA-376,FINE
SAF-2-ETOPS,2,London Fog + Multiple Aircraft AOG,ETOPS,Etops safety constraint,,,,Y,GCAA-225,WARNING
SAF-2-MEL,2,London Fog + Multiple Aircraft AOG,MEL,Mel safety constraint,,,,Y,GCAA-584,GROUNDING
SAF-2-WEIGHT_BALANCE,2,London Fog + Multiple Aircraft AOG,WEIGHT_BALANCE,Weight Balance safety constraint,,,,Y,GCAA-157,WARNING
SAF-3-CREW_REST,3,Singapore Thunderstorms + MEL Expiry Cascade,CREW_REST,Crew Rest safety constraint,9.0,12.0,hours,N,GCAA-688,WARNING
SAF-3-FDP_LIMIT,3,Singapore Thunderstorms + MEL Expiry Cascade,FDP_LIMIT,Fdp Limit safety constraint,9.0,15.0,hours,N,GCAA-787,WARNING
SAF-3-DUTY_LIMIT,3,Singapore Thunderstorms + MEL Expiry Cascade,DUTY_LIMIT,Duty Limit safety constraint,10.0,13.0,hours,Y,GCAA-508,WARNING
SAF-3-ETOPS,3,Singapore Thunderstorms + MEL Expiry Cascade,ETOPS,Etops safety constraint,,,,Y,GCAA-181,WARNING
SAF-3-MEL,3,Singapore Thunderstorms + MEL Expiry Cascade,MEL,Mel safety constraint,,,,Y,GCAA-907,WARNING
SAF-3-WEIGHT_BALANCE,3,Singapore Thunderstorms + MEL Expiry Cascade,WEIGHT_BALANCE,Weight Balance safety constraint,,,,Y,GCAA-387,WARNING
SAF-4-CREW_REST,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,CREW_REST,Crew Rest safety constraint,10.0,16.0,hours,N,GCAA-904,WARNING
SAF-4-FDP_LIMIT,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,FDP_LIMIT,Fdp Limit safety constraint,12.0,12.0,hours,N,GCAA-325,WARNING
SAF-4-DUTY_LIMIT,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,DUTY_LIMIT,Duty Limit safety constraint,10.0,14.0,hours,Y,GCAA-832,FINE
