booking_id,flight_number,passenger_id,booking_reference,booking_date,seat_assignment,seat_class,booking_status,revenue_usd,revenue_aed
BKG-EY117-001,EY117,PAX-001,ABC123,2025-11-15,12A,BUSINESS,CONFIRMED,1500,5505
BKG-EY117-002,EY117,PAX-002,ABC124,2025-11-15,12B,BUSINESS,CONFIRMED,1500,5505
BKG-EY117-003,EY117,PAX-003,ABC125,2025-11-15,23A,ECONOMY,CONFIRMED,600,2202
BKG-EY5293-001,EY5293,PAX-004,ABC126,2025-11-20,1A,FIRST,CONFIRMED,2500,9175
BKG-EY5293-002,EY5293,PAX-005,ABC127,2025-11-20,12A,BUSINESS,CONFIRMED,1500,5505
BKG-EY5293-003,EY5293,PAX-006,ABC128,2025-11-20,24A,ECONOMY,CONFIRMED,600,2202
BKG-EY454-001,EY454,PAX-007,ABC129,2025-11-10,1A,FIRST,CONFIRMED,3000,11010
BKG-EY454-002,EY454,PAX-008,ABC130,2025-11-10,12A,BUSINESS,CONFIRMED,1500,5505
BKG-EY454-003,EY454,PAX-009,ABC131,2025-11-10,45A,ECONOMY,CONFIRMED,600,2202
BKG-EY334-001,EY334,PAX-010,ABC132,2025-11-18,1A,FIRST,CONFIRMED,2000,7340
BKG-EY334-002,EY334,PAX-011,ABC133,2025-11-18,15A,BUSINESS,CONFIRMED,1500,5505
BKG-EY334-003,EY334,PAX-012,ABC134,2025-11-18,56A,ECONOMY,CONFIRMED,600,2202
BKG-EY424-001,EY424,PAX-013,ABC135,2025-11-12,1A,FIRST,CONFIRMED,2000,7340
BKG-EY424-002,EY424,PAX-014,ABC136,2025-11-12,8A,BUSINESS,CONFIRMED,1500,5505
BKG-EY424-003,EY424,PAX-015,ABC137,2025-11-12,35A,ECONOMY,CONFIRMED,600,2202
BKG-EY313-001,EY313,PAX-016,ABC138,2025-11-09,1A,FIRST,CONFIRMED,1800,6606
BKG-EY313-002,EY313,PAX-017,ABC139,2025-11-09,10A,BUSINESS,CONFIRMED,1500,5505
BKG-EY313-003,EY313,PAX-018,ABC140,2025-11-09,48A,ECONOMY,CONFIRMED,600,2202
BKG-EY402-001,EY402,PAX-019,ABC141,2025-11-22,12A,BUSINESS,CONFIRMED,1500,5505
BKG-EY402-002,EY402,PAX-020,ABC142,2025-11-22,23A,ECONOMY,CONFIRMED,600,2202
