availability_id,aircraft_registration,aircraft_type,scenario_id,scenario_name,date,status,location,next_scheduled_flight,next_departure_time,maintenance_due,hours_until_maintenance,cycles_until_maintenance,etops_certified,cargo_capacity_kg,passenger_capacity
AVL-A6-EYA-1,A6-EYA,A380,1,Bangkok Typhoon + Critical MEL Aircraft,2026-01-19,AVAILABLE,AUH,EY454,2026-01-19 10:26:00,2026-01-29,10,61,Y,16000,516
AVL-A6-EYA-2,A6-EYA,A380,2,London Fog + Multiple Aircraft AOG,2026-01-20,AVAILABLE,AUH,EY639,2026-01-20 08:48:00,2026-02-14,41,52,Y,16000,516
AVL-A6-EYA-3,A6-EYA,A380,3,Singapore Thunderstorms + MEL Expiry Cascade,2026-01-21,AVAILABLE,AUH,,,2026-02-03,362,9,Y,16000,516
AVL-A6-EYA-4,A6-EYA,A380,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,2026-01-22,AVAILABLE,AUH,,,2026-02-20,320,76,Y,16000,516
AVL-A6-EYA-5,A6-EYA,A380,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,2026-01-23,AVAILABLE,AUH,EY912,2026-01-23 10:18:00,2026-01-25,155,63,Y,16000,516
AVL-A6-EYA-6,A6-EYA,A380,6,Multiple Aircraft AOG + Engine Failure Cascade,2026-01-24,AVAILABLE,AUH,EY912,2026-01-24 20:38:00,2026-02-06,95,77,Y,16000,516
AVL-A6-EYA-7,A6-EYA,A380,7,Crew Out of Hours + Insufficient Cabin Crew Crisis,2026-01-25,AVAILABLE,AUH,EY0739,2026-01-25 10:31:00,2026-02-07,338,38,Y,16000,516
AVL-A6-EYA-8,A6-EYA,A380,8,Runway Closure + Airspace Flow Rate Restrictions,2026-01-27,AVAILABLE,AUH,EY912,2026-01-27 18:20:00,2026-02-11,423,47,Y,16000,516
AVL-A6-EYA-9,A6-EYA,A380,9,Security Threat + Geopolitical Airspace Diversion,2026-01-28,AVAILABLE,AUH,EY912,2026-01-28 10:53:00,2026-02-26,44,48,Y,16000,516
AVL-A6-EYA-10,A6-EYA,A380,10,Medical Emergency + Tarmac Delay + Slot Unavailability,2026-01-29,AVAILABLE,AUH,,,2026-02-06,140,17,Y,16000,516
AVL-A6-EYA-11,A6-EYA,A380,11,EY401 Typhoon -> EY406 LIAC,2026-01-31,AVAILABLE,AUH,EY454,2026-01-31 10:11:00,2026-02-13,499,77,Y,16000,516
AVL-A6-EYB-1,A6-EYB,A380,1,Bangkok Typhoon + Critical MEL Aircraft,2026-01-19,AVAILABLE,AUH,EY101,2026-01-19 16:46:00,2026-02-11,246,7,Y,16000,516
AVL-A6-EYB-2,A6-EYB,A380,2,London Fog + Multiple Aircraft AOG,2026-01-20,AVAILABLE,AUH,EY454,2026-01-20 10:31:00,2026-02-06,244,100,Y,16000,516
AVL-A6-EYB-3,A6-EYB,A380,3,Singapore Thunderstorms + MEL Expiry Cascade,2026-01-21,AVAILABLE,AUH,,,2026-02-08,353,34,Y,16000,516
AVL-A6-EYB-4,A6-EYB,A380,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,2026-01-22,AVAILABLE,AUH,,,2026-01-28,155,60,Y,16000,516
AVL-A6-EYB-5,A6-EYB,A380,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,2026-01-23,MEL,AUH,EY639,2026-01-23 12:40:00,2026-02-10,179,73,Y,16000,516
AVL-A6-EYB-6,A6-EYB,A380,6,Multiple Aircraft AOG + Engine Failure Cascade,2026-01-24,AVAILABLE,AUH,,,2026-02-18,306,54,Y,16000,516
AVL-A6-EYB-7,A6-EYB,A380,7,Crew Out of Hours + Insufficient Cabin Crew Crisis,2026-01-25,AVAILABLE,AUH,,,2026-01-26,166,59,Y,16000,516
AVL-A6-EYB-8,A6-EYB,A380,8,Runway Closure + Airspace Flow Rate Restrictions,2026-01-27,AVAILABLE,AUH,EY0739,2026-01-27 20:16:00,2026-02-18,144,45,Y,16000,516
AVL-A6-EYB-9,A6-EYB,A380,9,Security Threat + Geopolitical Airspace Diversion,2026-01-28,AVAILABLE,AUH,,,2026-02-05,42,85,Y,16000,516
AVL-A6-EYB-10,A6-EYB,A380,10,Medical Emergency + Tarmac Delay + Slot Unavailability,2026-01-29,AVAILABLE,AUH,,,2026-02-12,210,30,Y,16000,516
AVL-A6-EYB-11,A6-EYB,A380,11,EY401 Typhoon -> EY406 LIAC,2026-01-31,AVAILABLE,AUH,EY101,2026-01-31 16:52:00,2026-02-10,402,44,Y,16000,516
AVL-A6-EYC-1,A6-EYC,A380,1,Bangkok Typhoon + Critical MEL Aircraft,2026-01-19,AVAILABLE,AUH,,,2026-02-16,203,34,Y,16000,516
AVL-A6-EYC-2,A6-EYC,A380,2,London Fog + Multiple Aircraft AOG,2026-01-20,AVAILABLE,AUH,,,2026-02-12,383,5,Y,16000,516
AVL-A6-EYC-3,A6-EYC,A380,3,Singapore Thunderstorms + MEL Expiry Cascade,2026-01-21,AVAILABLE,AUH,,,2026-02-04,425,31,Y,16000,516
AVL-A6-EYC-4,A6-EYC,A380,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,2026-01-22,AVAILABLE,AUH,,,2026-02-19,457,7,Y,16000,516
AVL-A6-EYC-5,A6-EYC,A380,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,2026-01-23,AVAILABLE,AUH,,,2026-01-30,357,43,Y,16000,516
AVL-A6-EYC-6,A6-EYC,A380,6,Multiple Aircraft AOG + Engine Failure Cascade,2026-01-24,AVAILABLE,AUH,,,2026-02-05,430,47,Y,16000,516
AVL-A6-EYC-7,A6-EYC,A380,7,Crew Out of Hours + Insufficient Cabin Crew Crisis,2026-01-25,AVAILABLE,AUH,,,2026-02-22,263,71,Y,16000,516
