aircraft_registration,aircraft_type,status,location,passenger_capacity,cargo_capacity_kg,crew_required,etops_certified,mel_status,mel_item,mel_category,mel_expiry_date,mel_description,last_maintenance_date,next_maintenance_due,flight_hours_since_maintenance,cycles_since_maintenance
A6-BLA,B787-9,AVAILABLE,AUH,299,15000,10,True,CLEAR,,,,,2026-01-15,2026-03-15,180,75
A6-BLB,B787-9,AVAILABLE,AUH,299,15000,10,True,CLEAR,,,,,2026-01-10,2026-03-10,220,90
A6-BLC,B787-9,AVAILABLE,AUH,299,15000,10,True,ACTIVE,MEL-32-41-01,B,2026-01-30,Weather radar inoperative - dispatch with restrictions,2026-01-08,2026-03-08,250,105
A6-BLD,B787-9,AVAILABLE,AUH,299,15000,10,True,CLEAR,,,,,2026-01-20,2026-03-20,120,50
A6-BLE,B787-10,AVAILABLE,AUH,336,18000,12,True,CLEAR,,,,,2026-01-12,2026-03-12,200,85
A6-BLF,B787-10,AVAILABLE,AUH,336,18000,12,True,CLEAR,,,,,2026-01-18,2026-03-18,150,62
A6-BLG,B787-10,AOG,AUH,336,18000,12,True,GROUNDED,AOG-72-00-01,AOG,,Engine 1 oil leak - awaiting parts,2026-01-05,2026-02-28,280,115
A6-BLH,B787-10,AVAILABLE,AUH,336,18000,12,True,CLEAR,,,,,2026-01-22,2026-03-22,100,42
A6-APA,A380-800,AVAILABLE,AUH,496,25000,18,False,CLEAR,,,,,2026-01-14,2026-04-14,350,140
A6-APB,A380-800,AVAILABLE,AUH,496,25000,18,False,CLEAR,,,,,2026-01-16,2026-04-16,320,128
A6-APC,A380-800,AVAILABLE,AUH,496,25000,18,False,ACTIVE,MEL-21-51-02,C,2026-02-05,APU inoperative - ground power required,2026-01-11,2026-04-11,380,152
A6-APD,A380-800,AVAILABLE,AUH,496,25000,18,False,CLEAR,,,,,2026-01-19,2026-04-19,290,116
A6-EYA,A350-1000,AVAILABLE,AUH,371,20000,14,True,CLEAR,,,,,2026-01-13,2026-03-28,240,98
A6-EYB,A350-1000,AVAILABLE,AUH,371,20000,14,True,CLEAR,,,,,2026-01-17,2026-04-01,210,86
A6-EYC,A350-1000,AVAILABLE,AUH,371,20000,14,True,CLEAR,,,,,2026-01-21,2026-04-05,170,70
A6-EYD,A350-1000,AVAILABLE,AUH,371,20000,14,True,CLEAR,,,,,2026-01-09,2026-03-24,260,108
A6-ANA,A321neo,AVAILABLE,AUH,190,5000,6,False,CLEAR,,,,,2026-01-23,2026-03-08,80,45
A6-ANB,A321neo,AVAILABLE,AUH,190,5000,6,False,CLEAR,,,,,2026-01-25,2026-03-10,60,35
A6-ANC,A321neo,AVAILABLE,AUH,190,5000,6,False,CLEAR,,,,,2026-01-07,2026-02-22,140,78
A6-AND,A321neo,AVAILABLE,AUH,190,5000,6,False,CLEAR,,,,,2026-01-24,2026-03-09,70,40
