weather_id,airport_code,airport_name,observation_time_utc,condition,temperature_c,wind_speed_kts,wind_direction,visibility_m,ceiling_ft,precipitation,is_operational,runway_condition,metar
WX-0001,AUH,Abu Dhabi International,2026-01-29 00:00:00,CLEAR,28,12,045,10000,99999,NONE,True,DRY,METAR AUH 290000Z 012KT 10000M CLEAR
WX-0002,AUH,Abu Dhabi International,2026-01-29 06:00:00,CLEAR,25,8,090,10000,99999,NONE,True,DRY,METAR AUH 290600Z 008KT 10000M CLEAR
WX-0003,AUH,Abu Dhabi International,2026-01-29 12:00:00,CLEAR,32,15,180,10000,99999,NONE,True,DRY,METAR AUH 291200Z 015KT 10000M CLEAR
WX-0004,AUH,Abu Dhabi International,2026-01-29 18:00:00,CLEAR,30,10,225,10000,99999,NONE,True,DRY,METAR AUH 291800Z 010KT 10000M CLEAR
WX-0005,AUH,Abu Dhabi International,2026-01-30 00:00:00,CLEAR,27,11,045,10000,99999,NONE,True,DRY,METAR AUH 300000Z 011KT 10000M CLEAR
WX-0006,AUH,Abu Dhabi International,2026-01-30 06:00:00,HAZE,26,14,090,8000,99999,NONE,True,DRY,METAR AUH 300600Z 014KT 8000M HAZE
WX-0007,AUH,Abu Dhabi International,2026-01-30 09:00:00,SANDSTORM,29,65,135,200,500,DUST,True,DRY,METAR AUH 300900Z 065KT 200M SANDSTORM
WX-0008,AUH,Abu Dhabi International,2026-01-30 12:00:00,SANDSTORM,31,68,150,200,500,DUST,True,DRY,METAR AUH 301200Z 068KT 200M SANDSTORM
WX-0009,AUH,Abu Dhabi International,2026-01-30 15:00:00,SANDSTORM,30,62,165,200,500,DUST,True,DRY,METAR AUH 301500Z 062KT 200M SANDSTORM
WX-0010,AUH,Abu Dhabi International,2026-01-30 18:00:00,HAZE,28,18,180,5000,99999,NONE,True,DRY,METAR AUH 301800Z 018KT 5000M HAZE
WX-0011,AUH,Abu Dhabi International,2026-01-30 21:00:00,CLEAR,26,10,225,10000,99999,NONE,True,DRY,METAR AUH 302100Z 010KT 10000M CLEAR
WX-0012,BKK,Suvarnabhumi Airport,2026-01-29 00:00:00,CLEAR,30,8,180,10000,99999,NONE,True,DRY,METAR BKK 290000Z 008KT 10000M CLEAR
WX-0013,BKK,Suvarnabhumi Airport,2026-01-29 06:00:00,CLEAR,28,6,135,10000,99999,NONE,True,DRY,METAR BKK 290600Z 006KT 10000M CLEAR
WX-0014,BKK,Suvarnabhumi Airport,2026-01-29 12:00:00,CLEAR,33,10,090,10000,99999,NONE,True,DRY,METAR BKK 291200Z 010KT 10000M CLEAR
