slot_id,airport_code,flight_number,scheduled_time,slot_type,status,gate,terminal,capacity_utilization
SLOT-AUH-EY117-01,AUH,EY117,2026-01-30 10:40:00,ARRIVAL,AVAILABLE,B5,3,100
SLOT-AUH-EY5293-01,AUH,EY5293,2026-01-30 17:37:00,ARRIVAL,AVAILABLE,B17,3,100
SLOT-AUH-EY454-01,AUH,EY454,2026-01-30 16:26:00,ARRIVAL,AVAILABLE,C26,1,100
SLOT-AUH-EY334-01,AUH,EY334,2026-01-30 17:48:00,ARRIVAL,AVAILABLE,C9,1,100
SLOT-AUH-EY424-01,AUH,EY424,2026-01-30 06:22:00,DEPARTURE,AVAILABLE,A12,1,100
SLOT-AUH-EY313-01,AUH,EY313,2026-01-30 08:17:00,DEPARTURE,AVAILABLE,A8,1,100
SLOT-AUH-EY472-01,AUH,EY472,2026-01-30 00:45:00,DEPARTURE,AVAILABLE,A15,1,100
SLOT-AUH-EY101-01,AUH,EY101,2026-01-30 02:46:00,DEPARTURE,AVAILABLE,B2,2,100
SLOT-LHR-EY8184-01,LHR,EY8184,2026-01-30 14:30:00,ARRIVAL,UNAVAILABLE,C12,1,100
SLOT-LHR-EY6268-01,LHR,EY6268,2026-01-30 16:15:00,ARRIVAL,UNAVAILABLE,C15,1,100
SLOT-LHR-EY25-01,LHR,EY25,2026-01-31 20:00:00,DEPARTURE,UNAVAILABLE,C18,1,0
SLOT-LHR-EY19-01,LHR,EY19,2026-01-31 22:00:00,DEPARTURE,UNAVAILABLE,C20,1,0
SLOT-LHR-EY11-01,LHR,EY11,2026-02-01 00:00:00,DEPARTURE,UNAVAILABLE,C22,1,0
SLOT-BKK-EY402-01,BKK,EY402,2026-01-30 18:15:00,DEPARTURE,UNAVAILABLE,A18,3,0
SLOT-CDG-EY25-01,CDG,EY25,2026-01-31 22:13:00,DEPARTURE,AVAILABLE,C5,1,100
SLOT-FCO-EY3102-01,FCO,EY3102,2026-01-30 08:12:00,DEPARTURE,AVAILABLE,B12,2,100
