curfew_id,airport_code,airport_name,curfew_start_time,curfew_end_time,curfew_type,allowed_departures,allowed_arrivals,notes
CURFEW-BKK-01,BKK,Suvarnabhumi,2026-01-30 00:00:00,2026-02-01 23:59:59,TYPHOON_CLOSURE,0,0,Complete closure due to typhoon
CURFEW-LHR-01,LHR,Heathrow,2026-01-30 00:00:00,2026-01-31 07:00:00,FOG_RESTRICTION,0,0,Visibility below minimums - all operations suspended
CURFEW-AUH-01,AUH,Abu Dhabi International,2026-01-30 00:00:00,2026-02-28 23:59:59,NORMAL,UNLIMITED,UNLIMITED,Standard operations
CURFEW-SIN-01,SIN,Changi,2026-01-30 00:00:00,2026-02-28 23:59:59,NORMAL,UNLIMITED,UNLIMITED,Standard operations
CURFEW-SYD-01,SYD,Sydney Kingsford Smith,2026-01-30 00:00:00,2026-02-28 23:59:59,NORMAL,UNLIMITED,UNLIMITED,Standard operations
CURFEW-JED-01,JED,King Abdulaziz,2026-01-30 00:00:00,2026-02-28 23:59:59,NORMAL,UNLIMITED,UNLIMITED,Standard operations
CURFEW-JFK-01,JFK,John F Kennedy,2026-01-30 00:00:00,2026-02-28 23:59:59,NORMAL,UNLIMITED,UNLIMITED,Standard operations
CURFEW-DEL-01,DEL,Indira Gandhi,2026-01-30 00:00:00,2026-02-28 23:59:59,NORMAL,UNLIMITED,UNLIMITED,Standard operations
CURFEW-CDG-01,CDG,Charles de Gaulle,2026-01-30 00:00:00,2026-02-28 23:59:59,NORMAL,UNLIMITED,UNLIMITED,Standard operations
CURFEW-FCO-01,FCO,Fiumicino,2026-01-30 00:00:00,2026-02-28 23:59:59,NORMAL,UNLIMITED,UNLIMITED,Standard operations
