shipment_id,awb_number,flight_id,flight_number,scenario_id,scenario_name,aircraft_registration,origin,destination,cargo_type,weight_kg,volume_cbm,pieces,is_temperature_sensitive,required_temp_min,required_temp_max,is_dangerous_goods,dg_class,priority,status,shipper_name,consignee_name
CGO-1001,762-25849926,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,BKK,AUH,General,973,2.84,45,N,,,N,,EXPRESS,DELAYED,Shipper 14,Consignee 71
CGO-1002,119-57344179,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,BKK,AUH,Live Animals,1118,3.91,37,N,,,N,,EXPRESS,DELAYED,Shipper 10,Consignee 31
CGO-1003,898-72872448,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,BKK,AUH,Live Animals,1869,1.54,23,N,,,N,,EXPRESS,DELAYED,Shipper 58,Consignee 35
CGO-1004,852-51745804,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,BKK,AUH,General,826,7.23,30,N,,,N,,STANDARD,DELAYED,Shipper 80,Consignee 97
CGO-1005,645-34447804,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,BKK,AUH,Live Animals,334,9.14,44,N,,,N,,STANDARD,DELAYED,Shipper 33,Consignee 98
CGO-1006,419-67144789,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,BKK,AUH,Perishable,1052,3.55,46,Y,2.0,8.0,N,,ECONOMY,DELAYED,Shipper 71,Consignee 65
CGO-1007,308-44045603,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,BKK,AUH,Perishable,774,7.91,10,Y,2.0,8.0,N,,STANDARD,DELAYED,Shipper 31,Consignee 50
CGO-1008,885-63843728,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,BKK,AUH,Perishable,112,0.68,44,Y,2.0,8.0,N,,EXPRESS,DELAYED,Shipper 45,Consignee 46
CGO-1009,530-46432656,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,BKK,AUH,General,1683,7.02,17,N,,,N,,STANDARD,DELAYED,Shipper 95,Consignee 70
CGO-1010,180-39404692,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,BKK,AUH,Perishable,548,3.76,35,Y,2.0,8.0,N,,STANDARD,DELAYED,Shipper 77,Consignee 9
CGO-1011,931-12015363,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,BKK,AUH,Live Animals,129,7.76,32,N,,,N,,STANDARD,DELAYED,Shipper 74,Consignee 4
CGO-1012,889-59783795,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,BKK,AUH,Valuables,1863,9.46,26,N,,,N,,EXPRESS,DELAYED,Shipper 75,Consignee 21
CGO-1013,580-41908508,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,BKK,AUH,General,224,1.58,13,N,,,N,,EXPRESS,DELAYED,Shipper 79,Consignee 99
CGO-1014,855-95652344,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,BKK,AUH,Valuables,1958,3.07,46,N,,,N,,ECONOMY,DELAYED,Shipper 88,Consignee 61
CGO-1015,323-92027741,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,BKK,AUH,Dangerous Goods,1024,5.81,7,N,,,Y,4.1,STANDARD,DELAYED,Shipper 20,Consignee 10
CGO-1016,670-93157193,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,BKK,AUH,Valuables,1373,5.63,35,N,,,N,,EXPRESS,DELAYED,Shipper 64,Consignee 31
CGO-1017,557-78007277,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,BKK,AUH,Dangerous Goods,268,3.86,17,N,,,Y,9.0,EXPRESS,DELAYED,Shipper 94,Consignee 55
CGO-1018,625-60930362,FLT-1002,EY5293,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYU,AUH,BKK,Perishable,1016,7.11,9,Y,2.0,8.0,N,,ECONOMY,DELAYED,Shipper 38,Consignee 70
CGO-1019,234-95801182,FLT-1002,EY5293,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYU,AUH,BKK,General,637,3.22,21,N,,,N,,ECONOMY,DELAYED,Shipper 64,Consignee 72
CGO-1020,426-15504406,FLT-1002,EY5293,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYU,AUH,BKK,Live Animals,1775,5.8,5,N,,,N,,STANDARD,DELAYED,Shipper 77,Consignee 40
CGO-1021,584-18995678,FLT-1002,EY5293,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYU,AUH,BKK,Live Animals,1294,1.32,44,N,,,N,,EXPRESS,DELAYED,Shipper 16,Consignee 35
CGO-1022,391-27295036,FLT-1002,EY5293,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYU,AUH,BKK,Dangerous Goods,1994,1.74,16,N,,,Y,8.0,STANDARD,DELAYED,Shipper 3,Consignee 82
CGO-1023,821-80920039,FLT-1002,EY5293,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYU,AUH,BKK,Dangerous Goods,111,4.0,49,N,,,Y,4.1,STANDARD,DELAYED,Shipper 43,Consignee 31
CGO-1024,537-10899621,FLT-1002,EY5293,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYU,AUH,BKK,Valuables,1159,3.49,24,N,,,N,,STANDARD,DELAYED,Shipper 77,Consignee 46
CGO-1025,593-36712617,FLT-1002,EY5293,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYU,AUH,BKK,Live Animals,415,7.88,9,N,,,N,,EXPRESS,DELAYED,Shipper 93,Consignee 53
CGO-1026,358-54948264,FLT-1002,EY5293,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYU,AUH,BKK,Pharmaceuticals,552,8.09,37,Y,-20.0,8.0,N,,EXPRESS,DELAYED,Shipper 70,Consignee 69
CGO-1027,471-22637348,FLT-1002,EY5293,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYU,AUH,BKK,Perishable,727,4.03,34,Y,2.0,8.0,N,,EXPRESS,DELAYED,Shipper 52,Consignee 40
CGO-1028,345-45123967,FLT-1003,EY454,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYA,AUH,SYD,Dangerous Goods,1820,3.42,50,N,,,Y,8.0,EXPRESS,ON_TIME,Shipper 73,Consignee 37
CGO-1029,489-97896793,FLT-1003,EY454,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYA,AUH,SYD,Live Animals,1587,2.42,17,N,,,N,,ECONOMY,ON_TIME,Shipper 37,Consignee 7
CGO-1030,440-12262453,FLT-1003,EY454,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYA,AUH,SYD,Valuables,307,6.12,45,N,,,N,,EXPRESS,ON_TIME,Shipper 89,Consignee 28
CGO-1031,553-23301329,FLT-1003,EY454,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYA,AUH,SYD,Perishable,1447,1.47,10,Y,2.0,8.0,N,,ECONOMY,ON_TIME,Shipper 43,Consignee 90
CGO-1032,479-51519098,FLT-1003,EY454,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYA,AUH,SYD,Live Animals,1684,8.56,2,N,,,N,,STANDARD,ON_TIME,Shipper 2,Consignee 8
CGO-1033,423-39154464,FLT-1003,EY454,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYA,AUH,SYD,General,1838,7.14,40,N,,,N,,STANDARD,ON_TIME,Shipper 97,Consignee 30
CGO-1034,170-98656808,FLT-1003,EY454,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYA,AUH,SYD,Dangerous Goods,784,7.26,35,N,,,Y,3.0,STANDARD,ON_TIME,Shipper 58,Consignee 36
CGO-1035,614-83363464,FLT-1003,EY454,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYA,AUH,SYD,Live Animals,360,7.32,28,N,,,N,,EXPRESS,ON_TIME,Shipper 1,Consignee 34
CGO-1036,516-60060920,FLT-1003,EY454,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYA,AUH,SYD,Valuables,601,7.26,2,N,,,N,,ECONOMY,ON_TIME,Shipper 64,Consignee 82
CGO-1037,301-80419246,FLT-1003,EY454,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYA,AUH,SYD,Dangerous Goods,155,1.53,5,N,,,Y,3.0,STANDARD,ON_TIME,Shipper 79,Consignee 35
CGO-1038,101-92690367,FLT-1003,EY454,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYA,AUH,SYD,Live Animals,140,5.41,9,N,,,N,,ECONOMY,ON_TIME,Shipper 11,Consignee 55
CGO-1039,569-80080896,FLT-1003,EY454,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYA,AUH,SYD,Dangerous Goods,703,0.69,2,N,,,Y,9.0,EXPRESS,ON_TIME,Shipper 32,Consignee 10
CGO-1040,903-35463769,FLT-1003,EY454,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYA,AUH,SYD,Perishable,443,3.73,28,Y,2.0,8.0,N,,EXPRESS,ON_TIME,Shipper 59,Consignee 60
CGO-1041,991-35106441,FLT-1003,EY454,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYA,AUH,SYD,Dangerous Goods,1579,5.91,24,N,,,Y,4.1,ECONOMY,ON_TIME,Shipper 49,Consignee 38
CGO-1042,451-80047079,FLT-1004,EY334,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYJ,AUH,CDG,General,408,7.64,48,N,,,N,,EXPRESS,ON_TIME,Shipper 48,Consignee 70
CGO-1043,585-94196193,FLT-1004,EY334,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYJ,AUH,CDG,Perishable,1448,9.03,23,Y,2.0,8.0,N,,STANDARD,ON_TIME,Shipper 75,Consignee 20
CGO-1044,240-23276728,FLT-1004,EY334,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYJ,AUH,CDG,General,128,7.09,27,N,,,N,,EXPRESS,ON_TIME,Shipper 23,Consignee 66
CGO-1045,302-18505064,FLT-1004,EY334,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYJ,AUH,CDG,Perishable,1351,0.68,24,Y,2.0,8.0,N,,EXPRESS,ON_TIME,Shipper 56,Consignee 96
CGO-1046,527-21528332,FLT-1004,EY334,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYJ,AUH,CDG,Pharmaceuticals,835,2.16,40,Y,-20.0,8.0,N,,STANDARD,ON_TIME,Shipper 83,Consignee 95
CGO-1047,904-77247172,FLT-1004,EY334,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYJ,AUH,CDG,Live Animals,1165,2.27,27,N,,,N,,ECONOMY,ON_TIME,Shipper 63,Consignee 72
CGO-1048,730-78138387,FLT-1004,EY334,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYJ,AUH,CDG,Valuables,805,0.54,24,N,,,N,,ECONOMY,ON_TIME,Shipper 35,Consignee 3
CGO-1049,799-41507434,FLT-1004,EY334,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYJ,AUH,CDG,Dangerous Goods,992,5.58,22,N,,,Y,8.0,ECONOMY,ON_TIME,Shipper 7,Consignee 48
CGO-1050,871-37760761,FLT-1004,EY334,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYJ,AUH,CDG,Live Animals,1116,2.68,25,N,,,N,,ECONOMY,ON_TIME,Shipper 64,Consignee 87
CGO-1051,882-84592848,FLT-1005,EY25,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYF,AUH,LHR,Perishable,800,1.54,28,Y,2.0,8.0,N,,STANDARD,ON_TIME,Shipper 78,Consignee 74
CGO-1052,901-56082854,FLT-1005,EY25,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYF,AUH,LHR,Valuables,397,4.4,11,N,,,N,,EXPRESS,ON_TIME,Shipper 37,Consignee 59
CGO-1053,581-24861100,FLT-1005,EY25,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYF,AUH,LHR,General,843,5.76,41,N,,,N,,EXPRESS,ON_TIME,Shipper 46,Consignee 81
CGO-1054,102-31425081,FLT-1005,EY25,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYF,AUH,LHR,Perishable,1890,3.69,9,Y,2.0,8.0,N,,EXPRESS,ON_TIME,Shipper 9,Consignee 70
CGO-1055,882-32610684,FLT-1005,EY25,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYF,AUH,LHR,General,684,6.44,47,N,,,N,,EXPRESS,ON_TIME,Shipper 15,Consignee 54
CGO-1056,906-47593360,FLT-1005,EY25,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYF,AUH,LHR,General,324,9.53,38,N,,,N,,ECONOMY,ON_TIME,Shipper 11,Consignee 19
CGO-1057,931-57097009,FLT-1005,EY25,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYF,AUH,LHR,General,1230,7.68,45,N,,,N,,EXPRESS,ON_TIME,Shipper 69,Consignee 11
CGO-1058,499-33345907,FLT-1005,EY25,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYF,AUH,LHR,Dangerous Goods,1445,5.44,40,N,,,Y,4.1,STANDARD,ON_TIME,Shipper 38,Consignee 8
CGO-1059,595-79685891,FLT-1005,EY25,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYF,AUH,LHR,Pharmaceuticals,1847,1.32,16,Y,-20.0,8.0,N,,ECONOMY,ON_TIME,Shipper 22,Consignee 57
CGO-1060,474-35082132,FLT-1006,EY101,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYB,AUH,JFK,Perishable,1088,0.71,26,Y,2.0,8.0,N,,ECONOMY,ON_TIME,Shipper 32,Consignee 71
CGO-1061,803-50800445,FLT-1006,EY101,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYB,AUH,JFK,Live Animals,915,7.2,12,N,,,N,,ECONOMY,ON_TIME,Shipper 47,Consignee 45
CGO-1062,473-26985555,FLT-1006,EY101,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYB,AUH,JFK,General,211,7.44,38,N,,,N,,ECONOMY,ON_TIME,Shipper 60,Consignee 70
CGO-1063,980-39478087,FLT-1006,EY101,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYB,AUH,JFK,Perishable,947,7.06,2,Y,2.0,8.0,N,,ECONOMY,ON_TIME,Shipper 44,Consignee 70
CGO-1064,887-81983825,FLT-1006,EY101,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYB,AUH,JFK,Pharmaceuticals,617,5.24,21,Y,-20.0,8.0,N,,STANDARD,ON_TIME,Shipper 6,Consignee 91
CGO-1065,354-54119346,FLT-1006,EY101,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYB,AUH,JFK,Valuables,830,3.26,41,N,,,N,,EXPRESS,ON_TIME,Shipper 72,Consignee 89
CGO-1066,525-12149228,FLT-1006,EY101,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYB,AUH,JFK,Valuables,899,2.33,5,N,,,N,,STANDARD,ON_TIME,Shipper 83,Consignee 90
CGO-1067,212-76276231,FLT-1006,EY101,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYB,AUH,JFK,Valuables,204,6.67,16,N,,,N,,ECONOMY,ON_TIME,Shipper 37,Consignee 58
CGO-1068,677-32650201,FLT-1006,EY101,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYB,AUH,JFK,Perishable,1858,8.24,50,Y,2.0,8.0,N,,STANDARD,ON_TIME,Shipper 74,Consignee 54
CGO-1069,189-70351790,FLT-1006,EY101,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYB,AUH,JFK,Dangerous Goods,1516,9.99,41,N,,,Y,3.0,ECONOMY,ON_TIME,Shipper 74,Consignee 87
CGO-1070,110-65903794,FLT-1006,EY101,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYB,AUH,JFK,Perishable,1808,4.12,42,Y,2.0,8.0,N,,ECONOMY,ON_TIME,Shipper 13,Consignee 50
CGO-1071,661-53924798,FLT-1006,EY101,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYB,AUH,JFK,General,1054,7.24,38,N,,,N,,EXPRESS,ON_TIME,Shipper 33,Consignee 26
