recovery_id,disruption_id,scenario_id,scenario_name,scenario_type,scenario_rank,scenario_status,strategy_type,strategy_description,flights_affected,estimated_delay_minutes,estimated_recovery_time_hrs,estimated_cost_usd,passenger_impact_score,cargo_impact_score,network_impact_score,total_business_score,passenger_satisfaction_score,operational_complexity,resource_requirements,requires_aircraft_swap,requires_crew_change,requires_passenger_reaccommodation,safety_compliant,is_recommended,implementation_status,approved_by,approved_at,execution_started_at,execution_completed_at
RCV-1-1,DIS-1,1,Bangkok Typhoon + Critical MEL Aircraft,WEATHER,1,RECOMMENDED,DELAY_AND_WAIT,Recovery strategy: Delay And Wait,10,211,21,173248,3.0,4.5,2.3,3.3,2.1,HIGH,crew:10; aircraft:1,N,Y,N,Y,Y,PROPOSED,MGR-551,2026-01-19T00:00:00Z,2026-01-19T01:00:00Z,2026-01-19T05:00:00Z
RCV-1-2,DIS-1,1,Bangkok Typhoon + Critical MEL Aircraft,WEATHER,2,PROPOSED,AIRCRAFT_SWAP,Recovery strategy: Aircraft Swap,10,136,4,158458,3.6,3.8,2.5,3.3,3.9,LOW,crew:12; aircraft:4,Y,N,N,Y,N,PROPOSED,,,,
RCV-1-3,DIS-1,1,Bangkok Typhoon + Critical MEL Aircraft,WEATHER,3,PROPOSED,CANCEL_AND_REBOOK,Recovery strategy: Cancel And Rebook,10,102,19,101833,3.7,2.7,4.6,3.7,4.3,HIGH,crew:5; aircraft:1,N,N,Y,Y,N,PROPOSED,,,,
RCV-1-4,DIS-1,1,Bangkok Typhoon + Critical MEL Aircraft,WEATHER,4,PROPOSED,OAL_TRANSFER,Recovery strategy: Oal Transfer,10,68,19,158647,4.3,3.4,2.6,3.4,3.2,HIGH,crew:15; aircraft:5,N,N,Y,Y,N,PROPOSED,,,,
RCV-2-1,DIS-2,2,London Fog + Multiple Aircraft AOG,WEATHER,1,RECOMMENDED,DELAY_AND_WAIT,Recovery strategy: Delay And Wait,12,73,22,61216,4.1,3.2,3.5,3.6,4.1,LOW,crew:20; aircraft:2,N,Y,N,Y,Y,PROPOSED,MGR-466,2026-01-20T00:00:00Z,2026-01-20T01:00:00Z,2026-01-20T04:00:00Z
RCV-2-2,DIS-2,2,London Fog + Multiple Aircraft AOG,WEATHER,2,PROPOSED,AIRCRAFT_SWAP,Recovery strategy: Aircraft Swap,12,243,17,109192,2.1,4.4,4.5,3.7,4.1,LOW,crew:19; aircraft:4,Y,N,N,Y,N,PROPOSED,,,,
RCV-2-3,DIS-2,2,London Fog + Multiple Aircraft AOG,WEATHER,3,PROPOSED,CANCEL_AND_REBOOK,Recovery strategy: Cancel And Rebook,12,195,4,109291,3.2,2.7,4.7,3.5,4.3,MEDIUM,crew:6; aircraft:4,N,N,Y,Y,N,PROPOSED,,,,
RCV-2-4,DIS-2,2,London Fog + Multiple Aircraft AOG,WEATHER,4,PROPOSED,OAL_TRANSFER,Recovery strategy: Oal Transfer,12,238,22,197432,4.4,4.4,3.6,4.1,2.2,HIGH,crew:14; aircraft:4,N,N,Y,Y,N,PROPOSED,,,,
RCV-3-1,DIS-3,3,Singapore Thunderstorms + MEL Expiry Cascade,WEATHER,1,RECOMMENDED,DELAY_AND_WAIT,Recovery strategy: Delay And Wait,8,346,5,166672,4.7,2.4,5.0,4.0,3.3,LOW,crew:14; aircraft:2,N,N,N,Y,Y,PROPOSED,MGR-959,2026-01-21T00:00:00Z,2026-01-21T01:00:00Z,2026-01-21T04:00:00Z
RCV-3-2,DIS-3,3,Singapore Thunderstorms + MEL Expiry Cascade,WEATHER,2,PROPOSED,AIRCRAFT_SWAP,Recovery strategy: Aircraft Swap,8,146,24,187923,2.7,2.9,2.9,2.8,3.1,HIGH,crew:18; aircraft:1,Y,N,N,Y,N,PROPOSED,,,,
