slot_id,scenario_id,scenario_name,airport_code,airport_name,slot_time,slot_type,total_slots,used_slots,available_slots,is_congested,slot_restriction
SLT-1-AUH-06,1,Bangkok Typhoon + Critical MEL Aircraft,AUH,Abu Dhabi International,2026-01-19T06:00:00Z,DEPARTURE,21,23,9,Y,NONE
SLT-1-AUH-07,1,Bangkok Typhoon + Critical MEL Aircraft,AUH,Abu Dhabi International,2026-01-19T07:00:00Z,DEPARTURE,49,26,6,Y,NONE
SLT-1-AUH-08,1,Bangkok Typhoon + Critical MEL Aircraft,AUH,Abu Dhabi International,2026-01-19T08:00:00Z,DEPARTURE,47,35,7,N,NONE
SLT-1-AUH-09,1,Bangkok Typhoon + Critical MEL Aircraft,AUH,Abu Dhabi International,2026-01-19T09:00:00Z,DEPARTURE,21,33,8,N,NONE
SLT-1-AUH-10,1,Bangkok Typhoon + Critical MEL Aircraft,AUH,Abu Dhabi International,2026-01-19T10:00:00Z,DEPARTURE,42,42,0,N,NOISE
SLT-1-AUH-11,1,Bangkok Typhoon + Critical MEL Aircraft,AUH,Abu Dhabi International,2026-01-19T11:00:00Z,ARRIVAL,49,20,5,Y,CAPACITY
SLT-1-AUH-12,1,Bangkok Typhoon + Critical MEL Aircraft,AUH,Abu Dhabi International,2026-01-19T12:00:00Z,DEPARTURE,26,26,8,N,NONE
SLT-1-AUH-13,1,Bangkok Typhoon + Critical MEL Aircraft,AUH,Abu Dhabi International,2026-01-19T13:00:00Z,DEPARTURE,43,35,6,N,NONE
SLT-1-AUH-14,1,Bangkok Typhoon + Critical MEL Aircraft,AUH,Abu Dhabi International,2026-01-19T14:00:00Z,DEPARTURE,38,22,10,N,WEATHER
SLT-1-AUH-15,1,Bangkok Typhoon + Critical MEL Aircraft,AUH,Abu Dhabi International,2026-01-19T15:00:00Z,DEPARTURE,50,23,5,N,NONE
SLT-1-AUH-16,1,Bangkok Typhoon + Critical MEL Aircraft,AUH,Abu Dhabi International,2026-01-19T16:00:00Z,ARRIVAL,45,36,9,N,NONE
SLT-1-AUH-17,1,Bangkok Typhoon + Critical MEL Aircraft,AUH,Abu Dhabi International,2026-01-19T17:00:00Z,ARRIVAL,33,22,6,Y,CAPACITY
SLT-1-AUH-18,1,Bangkok Typhoon + Critical MEL Aircraft,AUH,Abu Dhabi International,2026-01-19T18:00:00Z,DEPARTURE,47,33,7,N,WEATHER
SLT-1-AUH-19,1,Bangkok Typhoon + Critical MEL Aircraft,AUH,Abu Dhabi International,2026-01-19T19:00:00Z,ARRIVAL,40,34,5,Y,WEATHER
SLT-1-AUH-20,1,Bangkok Typhoon + Critical MEL Aircraft,AUH,Abu Dhabi International,2026-01-19T20:00:00Z,ARRIVAL,39,23,6,Y,NONE
SLT-1-AUH-21,1,Bangkok Typhoon + Critical MEL Aircraft,AUH,Abu Dhabi International,2026-01-19T21:00:00Z,ARRIVAL,44,17,2,N,CAPACITY
SLT-1-AUH-22,1,Bangkok Typhoon + Critical MEL Aircraft,AUH,Abu Dhabi International,2026-01-19T22:00:00Z,ARRIVAL,39,18,6,N,NONE
SLT-1-AUH-23,1,Bangkok Typhoon + Critical MEL Aircraft,AUH,Abu Dhabi International,2026-01-19T23:00:00Z,ARRIVAL,29,38,8,N,NONE
SLT-1-BKK-06,1,Bangkok Typhoon + Critical MEL Aircraft,BKK,Suvarnabhumi,2026-01-19T06:00:00Z,ARRIVAL,43,26,1,N,NONE
SLT-1-BKK-07,1,Bangkok Typhoon + Critical MEL Aircraft,BKK,Suvarnabhumi,2026-01-19T07:00:00Z,ARRIVAL,41,41,6,N,NONE
SLT-1-BKK-08,1,Bangkok Typhoon + Critical MEL Aircraft,BKK,Suvarnabhumi,2026-01-19T08:00:00Z,ARRIVAL,34,32,1,N,NONE
SLT-1-BKK-09,1,Bangkok Typhoon + Critical MEL Aircraft,BKK,Suvarnabhumi,2026-01-19T09:00:00Z,ARRIVAL,30,35,5,N,NONE
SLT-1-BKK-10,1,Bangkok Typhoon + Critical MEL Aircraft,BKK,Suvarnabhumi,2026-01-19T10:00:00Z,ARRIVAL,49,39,7,Y,NONE
SLT-1-BKK-11,1,Bangkok Typhoon + Critical MEL Aircraft,BKK,Suvarnabhumi,2026-01-19T11:00:00Z,ARRIVAL,40,27,4,N,NONE
SLT-1-BKK-12,1,Bangkok Typhoon + Critical MEL Aircraft,BKK,Suvarnabhumi,2026-01-19T12:00:00Z,DEPARTURE,47,31,8,Y,NONE
SLT-1-BKK-13,1,Bangkok Typhoon + Critical MEL Aircraft,BKK,Suvarnabhumi,2026-01-19T13:00:00Z,DEPARTURE,43,20,5,N,CAPACITY
SLT-1-BKK-14,1,Bangkok Typhoon + Critical MEL Aircraft,BKK,Suvarnabhumi,2026-01-19T14:00:00Z,ARRIVAL,27,16,1,Y,NONE
SLT-1-BKK-15,1,Bangkok Typhoon + Critical MEL Aircraft,BKK,Suvarnabhumi,2026-01-19T15:00:00Z,DEPARTURE,24,40,10,N,NOISE
SLT-1-BKK-16,1,Bangkok Typhoon + Critical MEL Aircraft,BKK,Suvarnabhumi,2026-01-19T16:00:00Z,DEPARTURE,49,39,4,N,NONE
SLT-1-BKK-17,1,Bangkok Typhoon + Critical MEL Aircraft,BKK,Suvarnabhumi,2026-01-19T17:00:00Z,DEPARTURE,38,25,9,Y,NONE
SLT-1-BKK-18,1,Bangkok Typhoon + Critical MEL Aircraft,BKK,Suvarnabhumi,2026-01-19T18:00:00Z,ARRIVAL,27,43,6,N,NONE
SLT-1-BKK-19,1,Bangkok Typhoon + Critical MEL Aircraft,BKK,Suvarnabhumi,2026-01-19T19:00:00Z,ARRIVAL,42,29,0,N,NOISE
SLT-1-BKK-20,1,Bangkok Typhoon + Critical MEL Aircraft,BKK,Suvarnabhumi,2026-01-19T20:00:00Z,ARRIVAL,33,42,3,Y,NONE
SLT-1-BKK-21,1,Bangkok Typhoon + Critical MEL Aircraft,BKK,Suvarnabhumi,2026-01-19T21:00:00Z,ARRIVAL,20,32,7,N,NONE
SLT-1-BKK-22,1,Bangkok Typhoon + Critical MEL Aircraft,BKK,Suvarnabhumi,2026-01-19T22:00:00Z,ARRIVAL,50,44,8,N,NONE
SLT-1-BKK-23,1,Bangkok Typhoon + Critical MEL Aircraft,BKK,Suvarnabhumi,2026-01-19T23:00:00Z,ARRIVAL,25,39,1,N,NONE
SLT-1-LHR-06,1,Bangkok Typhoon + Critical MEL Aircraft,LHR,Heathrow,2026-01-19T06:00:00Z,ARRIVAL,44,32,1,N,NONE
SLT-1-LHR-07,1,Bangkok Typhoon + Critical MEL Aircraft,LHR,Heathrow,2026-01-19T07:00:00Z,ARRIVAL,30,18,3,Y,NONE
SLT-1-LHR-08,1,Bangkok Typhoon + Critical MEL Aircraft,LHR,Heathrow,2026-01-19T08:00:00Z,ARRIVAL,31,16,8,N,NONE
SLT-1-LHR-09,1,Bangkok Typhoon + Critical MEL Aircraft,LHR,Heathrow,2026-01-19T09:00:00Z,ARRIVAL,34,40,10,N,NONE
SLT-1-LHR-10,1,Bangkok Typhoon + Critical MEL Aircraft,LHR,Heathrow,2026-01-19T10:00:00Z,ARRIVAL,32,36,4,N,NONE
SLT-1-LHR-11,1,Bangkok Typhoon + Critical MEL Aircraft,LHR,Heathrow,2026-01-19T11:00:00Z,DEPARTURE,47,17,4,N,NONE
SLT-1-LHR-12,1,Bangkok Typhoon + Critical MEL Aircraft,LHR,Heathrow,2026-01-19T12:00:00Z,DEPARTURE,32,38,3,N,NONE
SLT-1-LHR-13,1,Bangkok Typhoon + Critical MEL Aircraft,LHR,Heathrow,2026-01-19T13:00:00Z,ARRIVAL,36,18,7,N,NONE
SLT-1-LHR-14,1,Bangkok Typhoon + Critical MEL Aircraft,LHR,Heathrow,2026-01-19T14:00:00Z,DEPARTURE,20,44,9,N,NONE
SLT-1-LHR-15,1,Bangkok Typhoon + Critical MEL Aircraft,LHR,Heathrow,2026-01-19T15:00:00Z,ARRIVAL,32,41,10,Y,NONE
SLT-1-LHR-16,1,Bangkok Typhoon + Critical MEL Aircraft,LHR,Heathrow,2026-01-19T16:00:00Z,ARRIVAL,30,43,9,Y,NONE
SLT-1-LHR-17,1,Bangkok Typhoon + Critical MEL Aircraft,LHR,Heathrow,2026-01-19T17:00:00Z,ARRIVAL,45,45,7,N,NONE
SLT-1-LHR-18,1,Bangkok Typhoon + Critical MEL Aircraft,LHR,Heathrow,2026-01-19T18:00:00Z,DEPARTURE,22,30,7,N,NONE
SLT-1-LHR-19,1,Bangkok Typhoon + Critical MEL Aircraft,LHR,Heathrow,2026-01-19T19:00:00Z,ARRIVAL,23,36,4,Y,NONE
SLT-1-LHR-20,1,Bangkok Typhoon + Critical MEL Aircraft,LHR,Heathrow,2026-01-19T20:00:00Z,ARRIVAL,41,41,0,Y,NONE
SLT-1-LHR-21,1,Bangkok Typhoon + Critical MEL Aircraft,LHR,Heathrow,2026-01-19T21:00:00Z,ARRIVAL,30,16,2,N,NONE
SLT-1-LHR-22,1,Bangkok Typhoon + Critical MEL Aircraft,LHR,Heathrow,2026-01-19T22:00:00Z,DEPARTURE,28,20,0,Y,NONE
SLT-1-LHR-23,1,Bangkok Typhoon + Critical MEL Aircraft,LHR,Heathrow,2026-01-19T23:00:00Z,ARRIVAL,46,20,3,Y,NONE
SLT-1-SIN-06,1,Bangkok Typhoon + Critical MEL Aircraft,SIN,Changi,2026-01-19T06:00:00Z,ARRIVAL,37,21,8,Y,WEATHER
SLT-1-SIN-07,1,Bangkok Typhoon + Critical MEL Aircraft,SIN,Changi,2026-01-19T07:00:00Z,ARRIVAL,44,23,8,N,NONE
SLT-1-SIN-08,1,Bangkok Typhoon + Critical MEL Aircraft,SIN,Changi,2026-01-19T08:00:00Z,ARRIVAL,34,19,3,N,NONE
SLT-1-SIN-09,1,Bangkok Typhoon + Critical MEL Aircraft,SIN,Changi,2026-01-19T09:00:00Z,ARRIVAL,45,21,10,N,NONE
SLT-1-SIN-10,1,Bangkok Typhoon + Critical MEL Aircraft,SIN,Changi,2026-01-19T10:00:00Z,DEPARTURE,22,37,7,N,NONE
