impact_id,flight_number,cost_category,amount_usd,amount_aed,description
IMPACT-EY117-001,EY117,FUEL_COST,8500,31207.5,Fuel loss from cancellation
IMPACT-EY117-002,EY117,CREW_COST,5200,19084,Crew expenses during standby
IMPACT-EY117-003,EY117,PASSENGER_COMPENSATION,62000,227340,EU261 compensation at AED 200/pax
IMPACT-EY117-004,EY117,ACCOMMODATION,8000,29360,Hotel and meal vouchers
IMPACT-EY5293-001,EY5293,FUEL_COST,6800,24968,Fuel cost from delay
IMPACT-EY5293-002,EY5293,CREW_COST,3200,11744,Crew expenses for delay
IMPACT-EY5293-003,EY5293,PASSENGER_COMPENSATION,18000,66060,Partial compensation for 4+ hour delay
IMPACT-EY402-001,EY402,FUEL_COST,7200,26424,Fuel loss from reroute
IMPACT-EY402-002,EY402,CREW_COST,4500,16515,Crew positioning costs
IMPACT-EY402-003,EY402,PASSENGER_COMPENSATION,27000,99090,Compensation for 180 passengers
IMPACT-EY8184-001,EY8184,FUEL_COST,9200,33752,Fuel from delay
IMPACT-EY8184-002,EY8184,CREW_COST,5500,20185,Extended crew duty
IMPACT-EY8184-003,EY8184,PASSENGER_COMPENSATION,33000,121110,Compensation for 330 passengers
IMPACT-EY25-001,EY25,FUEL_COST,8000,29360,Fuel from delay
IMPACT-EY25-002,EY25,CREW_COST,4800,17616,Crew expenses
IMPACT-EY25-003,EY25,PASSENGER_COMPENSATION,18000,66060,Compensation for 180 passengers
