availability_id,aircraft_registration,aircraft_type,date,status,location,next_scheduled_flight,next_departure_time,maintenance_due,hours_until_maintenance,cycles_until_maintenance,etops_certified,cargo_capacity_kg,passenger_capacity
AVL-A6-EYA-1,A6-EYA,A380,2026-01-30,AVAILABLE,SYD,EY454,2026-01-30 10:26:00,2026-02-15,180,50,Y,16000,516
AVL-A6-EYB-1,A6-EYB,B787-10,2026-01-30,AVAILABLE,JFK,EY101,2026-01-30 02:46:00,2026-02-20,240,65,Y,12000,330
AVL-A6-EYC-1,A6-EYC,B787-9,2026-01-30,AVAILABLE,LHR,EY19,2026-01-31 22:00:00,2026-02-10,150,40,Y,11000,290
AVL-A6-EYD-1,A6-EYD,A320,2026-01-30,AVAILABLE,BKK,EY402,2026-01-30 18:15:00,2026-02-25,300,80,Y,3500,180
AVL-A6-EYE-1,A6-EYE,B777X,2026-01-30,AVAILABLE,FCO,EY3102,2026-01-30 08:12:00,2026-02-18,200,55,Y,14000,400
AVL-A6-EYF-1,A6-EYF,A320,2026-01-30,AVAILABLE,CDG,EY25,2026-01-31 22:13:00,2026-02-12,170,45,Y,3500,180
AVL-A6-EYH-1,A6-EYH,B777,2026-01-30,AVAILABLE,SIN,EY472,2026-01-30 00:45:00,2026-02-16,220,58,Y,13000,396
AVL-A6-EYJ-1,A6-EYJ,B787-10,2026-01-30,AVAILABLE,CDG,EY334,2026-01-30 12:48:00,2026-02-22,280,70,Y,12000,330
AVL-A6-EYK-1,A6-EYK,A350,2026-01-30,AVAILABLE,DEL,EY003,2026-01-30 10:20:00,2026-02-14,190,50,Y,13000,350
AVL-A6-EYL-1,A6-EYL,A320,2026-01-30,AVAILABLE,LHR,EY6268,2026-01-30 10:15:00,2026-02-08,160,42,Y,3500,180
AVL-A6-EYM-1,A6-EYM,B787-10,2026-01-30,AVAILABLE,LHR,EY8184,2026-01-30 08:30:00,2026-02-19,250,68,Y,12000,330
AVL-A6-EYN-1,A6-EYN,B777,2026-01-30,AVAILABLE,JED,EY313,2026-01-30 08:17:00,2026-02-17,210,56,Y,13000,396
AVL-A6-EYO-1,A6-EYO,B789,2026-01-30,AVAILABLE,SIN,EY424,2026-01-30 06:22:00,2026-02-21,260,72,Y,11000,290
AVL-A6-EYU-1,A6-EYU,A320,2026-01-30,AVAILABLE,BKK,EY5293,2026-01-30 08:37:00,2026-02-09,175,48,Y,3500,180
AVL-A6-EYV-1,A6-EYV,A320,2026-01-30,AVAILABLE,BKK,EY117,2026-01-30 06:40:00,2026-02-26,290,75,Y,3500,180
