swap_id,flight_id,flight_number,scenario_id,scenario_name,original_aircraft,original_type,swap_aircraft,swap_type,capacity_difference,cargo_difference,crew_change_required,estimated_delay_min,cost_impact_usd,is_available,location,ready_time
SWP-FLT-1001-A6-EYA,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,A320,A6-EYA,A380,336,12500,Y,78,45240,Y,AUH,2026-01-19T07:40:00Z
SWP-FLT-1001-A6-EYB,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,A320,A6-EYB,A380,336,12500,Y,54,29522,Y,AUH,2026-01-19T08:40:00Z
SWP-FLT-1001-A6-EYC,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYV,A320,A6-EYC,A380,336,12500,Y,88,41746,Y,AUH,2026-01-19T08:40:00Z
SWP-FLT-1002-A6-EYA,FLT-1002,EY5293,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYU,A320,A6-EYA,A380,336,12500,Y,99,14597,Y,AUH,2026-01-19T09:37:00Z
SWP-FLT-1002-A6-EYB,FLT-1002,EY5293,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYU,A320,A6-EYB,A380,336,12500,Y,81,14422,N,AUH,2026-01-19T11:37:00Z
SWP-FLT-1002-A6-EYC,FLT-1002,EY5293,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYU,A320,A6-EYC,A380,336,12500,Y,70,34789,Y,AUH,2026-01-19T11:37:00Z
SWP-FLT-1005-A6-EYA,FLT-1005,EY25,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYF,B787-10,A6-EYA,A380,186,4000,Y,49,33506,Y,AUH,2026-01-19T16:13:00Z
SWP-FLT-1005-A6-EYB,FLT-1005,EY25,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYF,B787-10,A6-EYB,A380,186,4000,Y,85,25723,Y,AUH,2026-01-19T17:13:00Z
SWP-FLT-1005-A6-EYC,FLT-1005,EY25,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYF,B787-10,A6-EYC,A380,186,4000,Y,54,23137,Y,AUH,2026-01-19T15:13:00Z
SWP-FLT-1008-A6-EYA,FLT-1008,EY472,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYH,B787-10,A6-EYA,A380,186,4000,Y,96,5962,Y,AUH,2026-01-19T21:45:00Z
SWP-FLT-1008-A6-EYB,FLT-1008,EY472,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYH,B787-10,A6-EYB,A380,186,4000,Y,116,41708,Y,AUH,2026-01-20T00:45:00Z
SWP-FLT-1008-A6-EYC,FLT-1008,EY472,1,Bangkok Typhoon + Critical MEL Aircraft,A6-EYH,B787-10,A6-EYC,A380,186,4000,Y,106,6840,Y,AUH,2026-01-19T22:45:00Z
SWP-FLT-1011-A6-EYA,FLT-1011,EY8184,2,London Fog + Multiple Aircraft AOG,A6-EYK,A350,A6-EYA,A380,166,3000,Y,34,13970,N,AUH,2026-01-20T07:41:00Z
SWP-FLT-1011-A6-EYB,FLT-1011,EY8184,2,London Fog + Multiple Aircraft AOG,A6-EYK,A350,A6-EYB,A380,166,3000,Y,106,43415,Y,AUH,2026-01-20T09:41:00Z
SWP-FLT-1011-A6-EYC,FLT-1011,EY8184,2,London Fog + Multiple Aircraft AOG,A6-EYK,A350,A6-EYC,A380,166,3000,Y,53,36206,Y,AUH,2026-01-20T09:41:00Z
SWP-FLT-1012-A6-EYA,FLT-1012,EY6268,2,London Fog + Multiple Aircraft AOG,A6-EYL,A350,A6-EYA,A380,166,3000,Y,104,40502,N,AUH,2026-01-20T12:08:00Z
SWP-FLT-1012-A6-EYB,FLT-1012,EY6268,2,London Fog + Multiple Aircraft AOG,A6-EYL,A350,A6-EYB,A380,166,3000,Y,49,8584,Y,AUH,2026-01-20T09:08:00Z
SWP-FLT-1012-A6-EYC,FLT-1012,EY6268,2,London Fog + Multiple Aircraft AOG,A6-EYL,A350,A6-EYC,A380,166,3000,Y,49,33817,N,AUH,2026-01-20T09:08:00Z
SWP-FLT-1013-A6-EYA,FLT-1013,EY25,2,London Fog + Multiple Aircraft AOG,A6-EYF,B787-10,A6-EYA,A380,186,4000,Y,55,11482,Y,AUH,2026-01-20T11:27:00Z
SWP-FLT-1013-A6-EYB,FLT-1013,EY25,2,London Fog + Multiple Aircraft AOG,A6-EYF,B787-10,A6-EYB,A380,186,4000,Y,116,37098,Y,AUH,2026-01-20T12:27:00Z
SWP-FLT-1013-A6-EYC,FLT-1013,EY25,2,London Fog + Multiple Aircraft AOG,A6-EYF,B787-10,A6-EYC,A380,186,4000,Y,81,15415,Y,AUH,2026-01-20T14:27:00Z
SWP-FLT-1014-A6-EYA,FLT-1014,EY19,2,London Fog + Multiple Aircraft AOG,A6-EYG,B787-10,A6-EYA,A380,186,4000,Y,98,10024,Y,AUH,2026-01-20T14:31:00Z
SWP-FLT-1014-A6-EYB,FLT-1014,EY19,2,London Fog + Multiple Aircraft AOG,A6-EYG,B787-10,A6-EYB,A380,186,4000,Y,82,39235,Y,AUH,2026-01-20T16:31:00Z
SWP-FLT-1014-A6-EYC,FLT-1014,EY19,2,London Fog + Multiple Aircraft AOG,A6-EYG,B787-10,A6-EYC,A380,186,4000,Y,56,35339,Y,AUH,2026-01-20T15:31:00Z
SWP-FLT-1015-A6-EYA,FLT-1015,EY11,2,London Fog + Multiple Aircraft AOG,A6-EYH,B787-10,A6-EYA,A380,186,4000,Y,95,34805,Y,AUH,2026-01-20T16:10:00Z
SWP-FLT-1015-A6-EYB,FLT-1015,EY11,2,London Fog + Multiple Aircraft AOG,A6-EYH,B787-10,A6-EYB,A380,186,4000,Y,95,12279,Y,AUH,2026-01-20T17:10:00Z
SWP-FLT-1015-A6-EYC,FLT-1015,EY11,2,London Fog + Multiple Aircraft AOG,A6-EYH,B787-10,A6-EYC,A380,186,4000,Y,120,22852,N,AUH,2026-01-20T15:10:00Z
SWP-FLT-1016-A6-EYA,FLT-1016,EY26,2,London Fog + Multiple Aircraft AOG,A6-EYF,B787-10,A6-EYA,A380,186,4000,Y,108,10515,N,AUH,2026-01-20T17:38:00Z
SWP-FLT-1016-A6-EYB,FLT-1016,EY26,2,London Fog + Multiple Aircraft AOG,A6-EYF,B787-10,A6-EYB,A380,186,4000,Y,33,7462,Y,AUH,2026-01-20T20:38:00Z
SWP-FLT-1016-A6-EYC,FLT-1016,EY26,2,London Fog + Multiple Aircraft AOG,A6-EYF,B787-10,A6-EYC,A380,186,4000,Y,88,35736,Y,AUH,2026-01-20T18:38:00Z
SWP-FLT-1017-A6-EYA,FLT-1017,EY20,2,London Fog + Multiple Aircraft AOG,A6-EYG,B787-10,A6-EYA,A380,186,4000,Y,74,22910,Y,AUH,2026-01-20T21:07:00Z
SWP-FLT-1017-A6-EYB,FLT-1017,EY20,2,London Fog + Multiple Aircraft AOG,A6-EYG,B787-10,A6-EYB,A380,186,4000,Y,58,14193,Y,AUH,2026-01-20T21:07:00Z
SWP-FLT-1017-A6-EYC,FLT-1017,EY20,2,London Fog + Multiple Aircraft AOG,A6-EYG,B787-10,A6-EYC,A380,186,4000,Y,115,33738,Y,AUH,2026-01-20T22:07:00Z
