Flight,Origin,Destination,Aircraft,Passengers,Bookings,Cargo,Baggage,Pax_Status,Bkg_Status,Cargo_Status,Bag_Status,Data_Complete
EY003,AUH,DEL,A350,0,0,0,0,MISSING,MISSING,ABSENT,ABSENT,NO
EY101,AUH,JFK,B787-10,0,0,1,0,MISSING,MISSING,PRESENT,ABSENT,NO
EY106,AUH,JFK,B787-9,0,0,0,0,MISSING,MISSING,ABSENT,ABSENT,NO
EY11,LHR,AUH,B777,0,0,0,1,MISSING,MISSING,ABSENT,PRESENT,NO
EY117,BKK,AUH,A320,3,3,1,3,PRESENT,PRESENT,PRESENT,PRESENT,YES
EY19,LHR,AUH,B787-9,0,0,0,1,MISSING,MISSING,ABSENT,PRESENT,NO
EY25,LHR,AUH,A320,0,0,0,2,MISSING,MISSING,ABSENT,PRESENT,NO
EY3102,AUH,FCO,B777X,0,0,0,0,MISSING,MISSING,ABSENT,ABSENT,NO
EY3103,AUH,CDG,A380,0,0,0,0,MISSING,MISSING,ABSENT,ABSENT,NO
EY3105,AUH,SIN,A350,0,0,0,0,MISSING,MISSING,ABSENT,ABSENT,NO
EY313,AUH,JED,B777,0,3,1,0,MISSING,BROKEN(3_ORPHANED),PRESENT,ABSENT,NO
EY334,AUH,CDG,B787-10,3,3,1,3,PRESENT,PRESENT,PRESENT,PRESENT,YES
EY401,BKK,AUH,A320,0,0,0,0,MISSING,MISSING,ABSENT,ABSENT,NO
EY402,BKK,AUH,A320,0,2,1,0,MISSING,BROKEN(2_ORPHANED),PRESENT,ABSENT,NO
EY406,AUH,BKK,A320,0,0,0,0,MISSING,MISSING,ABSENT,ABSENT,NO
EY424,AUH,SIN,B789,3,3,1,3,PRESENT,PRESENT,PRESENT,PRESENT,YES
EY454,AUH,SYD,A380,3,3,2,3,PRESENT,PRESENT,PRESENT,PRESENT,YES
EY472,AUH,SIN,B777,0,0,1,0,MISSING,MISSING,PRESENT,ABSENT,NO
EY5293,AUH,BKK,A320,3,3,1,3,PRESENT,PRESENT,PRESENT,PRESENT,YES
EY6268,AUH,LHR,A320,0,0,0,1,MISSING,MISSING,ABSENT,PRESENT,NO
EY639,AUH,JFK,A380,0,0,0,0,MISSING,MISSING,ABSENT,ABSENT,NO
EY8086,DEL,FCO,B787-10,0,0,0,0,MISSING,MISSING,ABSENT,ABSENT,NO
EY8087,FCO,AUH,B787-10,0,0,0,0,MISSING,MISSING,ABSENT,ABSENT,NO
EY8184,AUH,LHR,B787-10,0,0,0,2,MISSING,MISSING,ABSENT,PRESENT,NO
EY912,JFK,AUH,A380,0,0,0,0,MISSING,MISSING,ABSENT,ABSENT,NO
