baggage_id,passenger_id,flight_id,flight_number,pnr,bag_tag,bag_type,weight_kg,status,check_in_time_utc,loaded_time_utc,container_id,destination,final_destination,is_connecting,connecting_flight,transfer_status,priority,special_handling,is_rush,notes
BAG-10001,PAX-10001,FLT-1005,EY401,ABCDEF,EY123456,CHECKED,23,LOADED,2026-01-30 00:30:00,2026-01-30 01:45:00,AKE-1001,BKK,BKK,False,,,STANDARD,,False,
BAG-10002,PAX-10001,FLT-1005,EY401,ABCDEF,EY123457,CHECKED,18,LOADED,2026-01-30 00:30:00,2026-01-30 01:45:00,AKE-1001,BKK,BKK,False,,,STANDARD,,False,
BAG-10003,PAX-10002,FLT-1005,EY401,GHIJKL,EY123458,CHECKED,22,LOADED,2026-01-30 00:45:00,2026-01-30 01:50:00,AKE-1001,BKK,BKK,False,,,STANDARD,,False,
BAG-10004,PAX-10003,FLT-1005,EY401,MNOPQR,EY123459,CHECKED,25,LOADED,2026-01-29 23:00:00,2026-01-30 01:30:00,AKE-1002,BKK,BKK,False,,,PRIORITY,FRAGILE,False,First class passenger
BAG-10005,PAX-10003,FLT-1005,EY401,MNOPQR,EY123460,CHECKED,20,LOADED,2026-01-29 23:00:00,2026-01-30 01:30:00,AKE-1002,BKK,BKK,False,,,PRIORITY,,False,First class passenger
BAG-10006,PAX-10006,FLT-1006,EY402,EFGHIJ,EY123461,CHECKED,21,CHECKED_IN,2026-01-30 08:00:00,,AKE-1010,AUH,LHR,True,EY11,PENDING,PRIORITY,,False,Connecting to London
BAG-10007,PAX-10006,FLT-1006,EY402,EFGHIJ,EY123462,CHECKED,19,CHECKED_IN,2026-01-30 08:00:00,,AKE-1010,AUH,LHR,True,EY11,PENDING,PRIORITY,,False,Connecting to London
BAG-10008,PAX-10007,FLT-1006,EY402,KLMNOP,EY123463,CHECKED,24,CHECKED_IN,2026-01-30 08:15:00,,AKE-1010,AUH,JFK,True,EY103,PENDING,PRIORITY,,False,Connecting to New York
BAG-10009,PAX-10009,FLT-1007,EY406,WXYZAB,EY123464,CHECKED,20,BOOKED,,,AKE-1020,BKK,SIN,True,EY472,NOT_STARTED,STANDARD,,False,Connecting to Singapore
BAG-10010,PAX-10010,FLT-1007,EY406,CDEFGH,EY123465,CHECKED,23,BOOKED,,,AKE-1020,BKK,BKK,False,,,PRIORITY,,False,Business class
BAG-10011,PAX-10011,FLT-1011,EY11,IJKLMN,EY123466,CHECKED,25,LOADED,2026-01-30 00:15:00,2026-01-30 01:30:00,AKE-2001,LHR,LHR,False,,,PRIORITY,FRAGILE,False,First class VIP
BAG-10012,PAX-10011,FLT-1011,EY11,IJKLMN,EY123467,CHECKED,22,LOADED,2026-01-30 00:15:00,2026-01-30 01:30:00,AKE-2001,LHR,LHR,False,,,PRIORITY,,False,First class VIP
BAG-10013,PAX-10012,FLT-1011,EY11,OPQRST,EY123468,CHECKED,21,LOADED,2026-01-30 00:30:00,2026-01-30 01:35:00,AKE-2001,LHR,LHR,False,,,PRIORITY,,False,Gold member
BAG-10014,PAX-10014,FLT-1012,EY12,ABCDEF,EY123469,CHECKED,20,CHECKED_IN,2026-01-30 09:30:00,,AKE-2010,AUH,DEL,True,EY211,PENDING,STANDARD,,False,Connecting to Delhi
BAG-10015,PAX-10015,FLT-1012,EY12,GHIJKL,EY123470,CHECKED,24,CHECKED_IN,2026-01-30 09:45:00,,AKE-2010,AUH,AUH,False,,,PRIORITY,,False,Business class
BAG-10016,PAX-10016,FLT-1015,EY19,MNOPQR,EY123471,CHECKED,19,LOADED,2026-01-30 06:45:00,2026-01-30 08:00:00,AKE-2020,LHR,LHR,False,,,STANDARD,,False,
BAG-10017,PAX-10017,FLT-1015,EY19,STUVWX,EY123472,CHECKED,23,LOADED,2026-01-30 06:30:00,2026-01-30 07:55:00,AKE-2020,LHR,LHR,False,,,PRIORITY,,False,Gold member
BAG-10018,PAX-10018,FLT-1016,EY20,YZABCD,EY123473,CHECKED,21,CHECKED_IN,2026-01-30 16:00:00,,AKE-2030,AUH,CDG,True,EY31,PENDING,STANDARD,,False,Connecting to Paris
BAG-10019,PAX-10019,FLT-1016,EY20,EFGHIJ,EY123474,CHECKED,25,CHECKED_IN,2026-01-30 15:30:00,,AKE-2030,AUH,AUH,False,,,PRIORITY,,False,First class
BAG-10020,PAX-10023,FLT-1023,EY472,CDEFGH,EY123475,CHECKED,22,LOADED,2026-01-30 01:00:00,2026-01-30 02:15:00,AKE-3001,SIN,SIN,False,,,PRIORITY,,False,Gold member
BAG-10021,PAX-10024,FLT-1023,EY472,IJKLMN,EY123476,CHECKED,20,LOADED,2026-01-30 01:15:00,2026-01-30 02:20:00,AKE-3001,SIN,SIN,False,,,STANDARD,,False,
BAG-10022,PAX-10025,FLT-1024,EY473,OPQRST,EY123477,CHECKED,18,CHECKED_IN,2026-01-30 13:30:00,,AKE-3010,AUH,AUH,False,,,PRIORITY,WHEELCHAIR,False,Special assistance pax
BAG-10023,PAX-10026,FLT-1024,EY473,UVWXYZ,EY123478,CHECKED,24,CHECKED_IN,2026-01-30 13:45:00,,AKE-3010,AUH,FCO,True,EY81,PENDING,PRIORITY,,False,Connecting to Rome
BAG-10024,PAX-10031,FLT-1031,EY31,YZABCD,EY123479,CHECKED,21,LOADED,2026-01-30 00:00:00,2026-01-30 01:15:00,AKE-4001,CDG,CDG,False,,,PRIORITY,,False,Silver member
BAG-10025,PAX-10032,FLT-1031,EY31,EFGHIJ,EY123480,CHECKED,23,LOADED,2026-01-30 00:15:00,2026-01-30 01:20:00,AKE-4001,CDG,CDG,False,,,STANDARD,,False,
BAG-10026,PAX-10033,FLT-1032,EY32,KLMNOP,EY123481,CHECKED,20,CHECKED_IN,2026-01-30 08:30:00,,AKE-4010,AUH,BKK,True,EY401,PENDING,STANDARD,,False,Connecting to Bangkok
