cost_id,disruption_id,scenario_id,flight_number,cost_category,cost_subcategory,description,quantity,unit_cost_usd,total_cost_usd,total_cost_aed,total_cost_inr,cost_date,status,approved_by,notes
COST-000001,EVT-1,1,EY5293,MAINTENANCE,CONTRACTOR_FEE,Contractor Fee for EY5293,4,25037.05,100148.19,367543.86,8362373.86,2026-01-19,SUBMITTED,MGR-550,Cost incurred due to WEATHER
COST-000002,EVT-1,1,EY101,PASSENGER_CARE,GROUND_TRANSPORT,Ground Transport for EY101,87,178.84,15559.3,57102.62,1299201.24,2026-01-19,APPROVED,,Cost incurred due to WEATHER
COST-000003,EVT-1,1,EY334,PASSENGER_CARE,MEAL_VOUCHERS,Meal Vouchers for EY334,153,112.52,17215.14,63179.56,1437464.09,2026-01-19,REJECTED,MGR-469,Cost incurred due to WEATHER
COST-000004,EVT-1,1,EY424,MAINTENANCE,PARTS_EXPEDITE,Parts Expedite for EY424,1,22644.19,22644.19,83104.18,1890789.95,2026-01-19,PENDING,,Cost incurred due to WEATHER
COST-000005,EVT-1,1,EY101,MAINTENANCE,PARTS_EXPEDITE,Parts Expedite for EY101,2,40076.61,80153.22,294162.32,6692793.83,2026-01-19,PENDING,,Cost incurred due to WEATHER
COST-000006,EVT-1,1,EY25,PASSENGER_CARE,GROUND_TRANSPORT,Ground Transport for EY25,83,191.23,15871.77,58249.39,1325292.77,2026-01-19,APPROVED,,Cost incurred due to WEATHER
COST-000007,EVT-1,1,EY5293,MAINTENANCE,CONTRACTOR_FEE,Contractor Fee for EY5293,5,40647.16,203235.82,745875.45,16970190.86,2026-01-19,APPROVED,,Cost incurred due to WEATHER
COST-000008,EVT-1,1,EY454,COMPENSATION,GOODWILL_VOUCHER,Goodwill Voucher for EY454,100,454.77,45477.14,166901.12,3797341.6,2026-01-19,REJECTED,MGR-707,Cost incurred due to WEATHER
COST-000009,EVT-2,2,EY1202,MAINTENANCE,PARTS_EXPEDITE,Parts Expedite for EY1202,1,3273.87,3273.87,12015.09,273367.87,2026-01-20,REJECTED,,Cost incurred due to WEATHER
COST-000010,EVT-2,2,EY12,REBOOKING,UPGRADE_COST,Upgrade Cost for EY12,7,648.37,4538.61,16656.7,378973.97,2026-01-20,APPROVED,MGR-266,Cost incurred due to WEATHER
COST-000011,EVT-2,2,EY20,REBOOKING,OAL_REBOOKING,Oal Rebooking for EY20,11,514.05,5654.51,20752.06,472151.78,2026-01-20,SUBMITTED,,Cost incurred due to WEATHER
COST-000012,EVT-2,2,EY8184,PASSENGER_CARE,COMMUNICATION,Communication for EY8184,122,156.23,19060.27,69951.19,1591532.44,2026-01-20,PENDING,MGR-983,Cost incurred due to WEATHER
COST-000013,EVT-2,2,EY26,REBOOKING,UPGRADE_COST,Upgrade Cost for EY26,12,1412.81,16953.69,62220.04,1415632.99,2026-01-20,PENDING,MGR-666,Cost incurred due to WEATHER
COST-000014,EVT-2,2,EY454,MAINTENANCE,PARTS_EXPEDITE,Parts Expedite for EY454,1,26979.86,26979.86,99016.09,2252818.49,2026-01-20,SUBMITTED,MGR-143,Cost incurred due to WEATHER
COST-000015,EVT-2,2,EY12,PASSENGER_CARE,MEAL_VOUCHERS,Meal Vouchers for EY12,139,93.18,12952.32,47535.03,1081519.06,2026-01-20,PENDING,MGR-399,Cost incurred due to WEATHER
COST-000016,EVT-2,2,EY639,COMPENSATION,EU261_COMPENSATION,Eu261 Compensation for EY639,21,342.96,7202.18,26432.0,601382.08,2026-01-20,REJECTED,MGR-431,Cost incurred due to WEATHER
COST-000017,EVT-2,2,EY12,REBOOKING,OAL_REBOOKING,Oal Rebooking for EY12,16,1106.35,17701.53,64964.6,1478077.38,2026-01-20,SUBMITTED,MGR-475,Cost incurred due to WEATHER
COST-000018,EVT-2,2,EY11,COMPENSATION,EU261_COMPENSATION,Eu261 Compensation for EY11,79,411.05,32473.31,119177.06,2711521.75,2026-01-20,SUBMITTED,MGR-665,Cost incurred due to WEATHER
COST-000019,EVT-2,2,EY26,OPERATIONAL,FUEL_SURCHARGE,Fuel Surcharge for EY26,18,721.81,12992.55,47682.65,1084877.79,2026-01-20,SUBMITTED,MGR-148,Cost incurred due to WEATHER
COST-000020,EVT-2,2,EY639,MAINTENANCE,CONTRACTOR_FEE,Contractor Fee for EY639,3,6441.55,19324.65,70921.48,1613608.63,2026-01-20,REJECTED,MGR-115,Cost incurred due to WEATHER
COST-000021,EVT-3,3,EY424,COMPENSATION,GOODWILL_VOUCHER,Goodwill Voucher for EY424,47,597.21,28068.8,103012.5,2343744.87,2026-01-21,APPROVED,MGR-982,Cost incurred due to WEATHER
COST-000022,EVT-3,3,EY869,COMPENSATION,REFUND,Refund for EY869,24,221.31,5311.46,19493.07,443507.24,2026-01-21,PENDING,MGR-557,Cost incurred due to WEATHER
COST-000023,EVT-3,3,EY869,OPERATIONAL,GROUND_HANDLING,Ground Handling for EY869,11,3384.25,37226.71,136622.03,3108430.44,2026-01-21,SUBMITTED,MGR-637,Cost incurred due to WEATHER
COST-000024,EVT-3,3,EY868,PASSENGER_CARE,COMMUNICATION,Communication for EY868,60,267.25,16034.91,58848.11,1338914.73,2026-01-21,SUBMITTED,,Cost incurred due to WEATHER
COST-000025,EVT-3,3,EY868,REBOOKING,UPGRADE_COST,Upgrade Cost for EY868,7,495.65,3469.55,12733.24,289707.21,2026-01-21,SUBMITTED,MGR-123,Cost incurred due to WEATHER
