transaction_id,flight_number,transaction_type,amount_usd,amount_aed,transaction_date,payment_method,status
TXN-EY117-001,EY117,REFUND,12400,45506,2026-01-30 06:00:00,CREDIT_CARD,PROCESSED
TXN-EY117-002,EY117,COMPENSATION,62000,227340,2026-01-31 12:00:00,BANK_TRANSFER,PROCESSED
TXN-EY5293-001,EY5293,PARTIAL_REFUND,3600,13212,2026-01-30 20:00:00,CREDIT_CARD,PROCESSED
TXN-EY5293-002,EY5293,COMPENSATION,18000,66060,2026-01-31 14:00:00,BANK_TRANSFER,PROCESSED
TXN-EY402-001,EY402,REFUND,8500,31207.5,2026-01-30 14:00:00,CREDIT_CARD,PROCESSED
TXN-EY402-002,EY402,COMPENSATION,27000,99090,2026-01-31 13:00:00,BANK_TRANSFER,PROCESSED
TXN-EY8184-001,EY8184,CREDIT,5000,18350,2026-01-30 16:00:00,VOUCHER,PENDING
TXN-EY8184-002,EY8184,COMPENSATION,33000,121110,2026-02-01 10:00:00,BANK_TRANSFER,PENDING
TXN-EY25-001,EY25,PARTIAL_REFUND,4000,14680,2026-01-31 18:00:00,CREDIT_CARD,PENDING
TXN-EY25-002,EY25,COMPENSATION,18000,66060,2026-02-02 09:00:00,BANK_TRANSFER,PENDING
