option_id,original_flight_id,original_flight_number,scenario_id,scenario_name,oal_airline,oal_flight_number,oal_departure,oal_arrival,origin,destination,available_seats_f,available_seats_j,available_seats_y,interline_cost_usd,booking_class,connection_time_min,is_recommended
OAL-FLT-1001-1,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,SQ,AF300,2026-01-19T18:40:00Z,2026-01-20T04:40:00Z,AUH,SIN,0,11,77,508,M,92,Y
OAL-FLT-1001-2,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,AF,LH695,2026-01-19T16:40:00Z,2026-01-19T22:40:00Z,AUH,CAI,3,4,68,1466,Y,108,N
OAL-FLT-1001-3,FLT-1001,EY117,1,Bangkok Typhoon + Critical MEL Aircraft,LH,LH337,2026-01-19T10:40:00Z,2026-01-20T00:40:00Z,AUH,JFK,3,5,44,503,Y,92,N
OAL-FLT-1002-1,FLT-1002,EY5293,1,Bangkok Typhoon + Critical MEL Aircraft,TK,EK339,2026-01-19T11:37:00Z,2026-01-19T15:37:00Z,BKK,FCO,2,3,94,1019,Q,182,Y
OAL-FLT-1002-2,FLT-1002,EY5293,1,Bangkok Typhoon + Critical MEL Aircraft,SQ,AF908,2026-01-19T17:37:00Z,2026-01-20T07:37:00Z,BKK,MCT,0,11,70,270,Q,112,N
OAL-FLT-1011-1,FLT-1011,EY8184,2,London Fog + Multiple Aircraft AOG,TK,AF482,2026-01-20T16:41:00Z,2026-01-21T06:41:00Z,LHR,SYD,1,12,11,447,Q,69,Y
OAL-FLT-1011-2,FLT-1011,EY8184,2,London Fog + Multiple Aircraft AOG,EK,QR911,2026-01-20T14:41:00Z,2026-01-20T21:41:00Z,LHR,LHR,2,4,94,1019,M,99,N
OAL-FLT-1011-3,FLT-1011,EY8184,2,London Fog + Multiple Aircraft AOG,QR,AF265,2026-01-20T16:41:00Z,2026-01-21T03:41:00Z,LHR,SIN,3,5,51,1212,B,156,N
OAL-FLT-1011-4,FLT-1011,EY8184,2,London Fog + Multiple Aircraft AOG,BA,TK204,2026-01-20T15:41:00Z,2026-01-21T01:41:00Z,LHR,CDG,3,5,17,655,Q,62,N
OAL-FLT-1012-1,FLT-1012,EY6268,2,London Fog + Multiple Aircraft AOG,SQ,AF254,2026-01-20T12:08:00Z,2026-01-20T17:08:00Z,LHR,BKK,2,8,67,1914,B,156,Y
OAL-FLT-1012-2,FLT-1012,EY6268,2,London Fog + Multiple Aircraft AOG,BA,EK128,2026-01-20T17:08:00Z,2026-01-20T23:08:00Z,LHR,LHR,1,6,58,1634,M,72,N
OAL-FLT-1012-3,FLT-1012,EY6268,2,London Fog + Multiple Aircraft AOG,LH,QR632,2026-01-20T19:08:00Z,2026-01-21T02:08:00Z,LHR,JED,3,10,53,795,M,107,N
OAL-FLT-1012-4,FLT-1012,EY6268,2,London Fog + Multiple Aircraft AOG,EK,LH179,2026-01-20T12:08:00Z,2026-01-21T01:08:00Z,LHR,FRA,2,4,30,678,B,124,N
OAL-FLT-1012-5,FLT-1012,EY6268,2,London Fog + Multiple Aircraft AOG,EK,AF203,2026-01-20T12:08:00Z,2026-01-20T22:08:00Z,LHR,SIN,1,4,15,509,H,171,N
