constraint_id,category,constraint_code,description,min_value,max_value,unit,applies_to,is_waivable,waiver_authority,regulatory_reference,violation_severity,penalty_description,notes
SAFE-001,CREW_FDP,FDP_MAX_UNAUGMENTED,Maximum FDP Unaugmented Crew,,,14,hours,FLIGHT_CREW,False,,14 CFR Part 117,CRITICAL,Grounding + FAA investigation,Based on duty start time
SAFE-002,CREW_FDP,FDP_MAX_AUGMENTED,Maximum FDP Augmented Crew,,,17,hours,FLIGHT_CREW,False,,14 CFR Part 117,CRITICAL,Grounding + FAA investigation,3-pilot augmented
SAFE-003,CREW_FDP,FDP_EXTENSION_MAX,Maximum FDP Extension,,,2,hours,FLIGHT_CREW,True,Captain PIC,14 CFR Part 117,HIGH,Documentation required,Unforeseen circumstances only
SAFE-004,CREW_REST,REST_MIN_STANDARD,Minimum Rest Period,10,,hours,FLIGHT_CREW,False,,14 CFR Part 117,CRITICAL,Crew cannot operate,Must include 8hr sleep opportunity
SAFE-005,CREW_REST,REST_MIN_REDUCED,Minimum Reduced Rest,8,,hours,FLIGHT_CREW,True,Ops Control,14 CFR Part 117,HIGH,Subsequent rest extension required,Max 3 consecutive reduced rest
SAFE-006,CREW_REST,SLEEP_OPPORTUNITY,Minimum Sleep Opportunity,8,,hours,FLIGHT_CREW,False,,14 CFR Part 117,CRITICAL,Part of rest requirement,Uninterrupted
SAFE-007,CREW_CUMULATIVE,FLIGHT_TIME_24HR,Max Flight Time 24 Hours,,,10,hours,FLIGHT_CREW,False,,14 CFR Part 117,CRITICAL,Exceeds daily limit,Rolling 24hr window
SAFE-008,CREW_CUMULATIVE,FLIGHT_TIME_672HR,Max Flight Time 672 Hours,,,100,hours,FLIGHT_CREW,False,,14 CFR Part 117,CRITICAL,Exceeds 28-day limit,Rolling window
SAFE-009,CREW_CUMULATIVE,FLIGHT_TIME_365DAY,Max Flight Time 365 Days,,,1000,hours,FLIGHT_CREW,False,,14 CFR Part 117,CRITICAL,Exceeds annual limit,Rolling year
SAFE-010,CREW_CUMULATIVE,DUTY_TIME_168HR,Max Duty Time 168 Hours,,,60,hours,FLIGHT_CREW,False,,14 CFR Part 117,HIGH,Exceeds weekly limit,7-day rolling
SAFE-011,CREW_CABIN,CABIN_FDP_MAX,Cabin Crew Max FDP,,,14,hours,CABIN_CREW,False,,EASA FTL,HIGH,Crew cannot operate,Standard limit
SAFE-012,CREW_CABIN,CABIN_REST_MIN,Cabin Crew Min Rest,10,,hours,CABIN_CREW,False,,EASA FTL,HIGH,Crew cannot operate,Standard requirement
SAFE-013,CREW_CABIN,CABIN_DUTY_7DAY,Cabin Crew 7-Day Duty,,,55,hours,CABIN_CREW,False,,EASA FTL,MEDIUM,Exceeds weekly limit,Rolling window
SAFE-014,CREW_QUAL,TYPE_RATING,Valid Type Rating Required,,,0,days,FLIGHT_CREW,False,,14 CFR Part 61,CRITICAL,Cannot operate aircraft,Must be current
SAFE-015,CREW_QUAL,MEDICAL_CERTIFICATE,Valid Medical Certificate,,,0,days,FLIGHT_CREW,False,,14 CFR Part 67,CRITICAL,Cannot operate,Class 1 for ATP
SAFE-016,CREW_QUAL,RECENCY_LANDING,Landing Recency,3,,landings,FLIGHT_CREW,False,,14 CFR Part 61.57,HIGH,Requires check ride,90-day rolling
SAFE-017,CREW_QUAL,RECENCY_IFR,IFR Recency,6,,approaches,FLIGHT_CREW,False,,14 CFR Part 61.57,HIGH,Requires IPC,6-month rolling
SAFE-018,CREW_QUAL,LINE_CHECK,Line Check Currency,,,12,months,FLIGHT_CREW,False,,Ops Specs,HIGH,Requires check,Annual requirement
SAFE-019,AIRCRAFT_MEL,MEL_CAT_A,MEL Category A Rectification,,,0,days,AIRCRAFT,False,,MMEL,HIGH,As specified in MEL,Per specific item
SAFE-020,AIRCRAFT_MEL,MEL_CAT_B,MEL Category B Rectification,,,3,days,AIRCRAFT,True,M&E Director,MMEL,MEDIUM,Must rectify within limit,Calendar days
SAFE-021,AIRCRAFT_MEL,MEL_CAT_C,MEL Category C Rectification,,,10,days,AIRCRAFT,True,M&E Director,MMEL,MEDIUM,Must rectify within limit,Calendar days
SAFE-022,AIRCRAFT_MEL,MEL_CAT_D,MEL Category D Rectification,,,120,days,AIRCRAFT,True,M&E Director,MMEL,LOW,Must rectify within limit,Calendar days
SAFE-023,AIRCRAFT_MEL,MEL_MULTIPLE,Multiple MEL Items,,,3,items,AIRCRAFT,True,Chief Pilot,MMEL,HIGH,Operational assessment required,Cumulative effect
SAFE-024,AIRCRAFT_MAINT,A_CHECK_INTERVAL,A-Check Interval,,,500,flight_hours,AIRCRAFT,False,,Maintenance Program,HIGH,Aircraft grounded,Or 60 days
SAFE-025,AIRCRAFT_MAINT,C_CHECK_INTERVAL,C-Check Interval,,,6000,flight_hours,AIRCRAFT,False,,Maintenance Program,CRITICAL,Aircraft grounded,Or 18-24 months
SAFE-026,AIRCRAFT_CERT,ETOPS_CERTIFICATION,ETOPS Certification Required,,,0,boolean,AIRCRAFT,False,,14 CFR Part 121,CRITICAL,Cannot fly ETOPS route,Route specific
SAFE-027,AIRCRAFT_CERT,RVSM_CERTIFICATION,RVSM Certification Required,,,0,boolean,AIRCRAFT,False,,14 CFR Part 91,HIGH,Cannot fly FL290-410,Airspace specific
SAFE-028,AIRCRAFT_CERT,PBN_CERTIFICATION,PBN Certification Required,,,0,boolean,AIRCRAFT,False,,ICAO Doc 9613,MEDIUM,Route restrictions,Approach specific
SAFE-029,AIRCRAFT_CERT,CAT_III_CERTIFICATION,CAT III Certification,,,0,boolean,AIRCRAFT,False,,14 CFR Part 91,MEDIUM,Cannot land CAT III,Low visibility ops
SAFE-030,FUEL,FUEL_RESERVE_MIN,Minimum Fuel Reserve,45,,minutes,FLIGHT,False,,14 CFR Part 121,CRITICAL,Cannot dispatch,Final reserve
SAFE-031,FUEL,FUEL_ALTERNATE,Alternate Fuel Required,,,0,boolean,FLIGHT,False,,14 CFR Part 121,HIGH,Must carry alternate fuel,Weather dependent
SAFE-032,FUEL,FUEL_CONTINGENCY,Contingency Fuel,5,,percent,FLIGHT,False,,14 CFR Part 121,HIGH,Of trip fuel,Minimum requirement
SAFE-033,FUEL,FUEL_TANKERING_MAX,Maximum Tankering,,,15,percent,FLIGHT,True,Flight Ops,Operations,LOW,Weight penalty,Above planned fuel
SAFE-034,PAX_TARMAC,TARMAC_DELAY_DOM,Domestic Tarmac Delay Max,,,180,minutes,FLIGHT,False,,DOT Regulation,CRITICAL,Must deplane,US domestic
SAFE-035,PAX_TARMAC,TARMAC_DELAY_INT,International Tarmac Delay Max,,,240,minutes,FLIGHT,False,,DOT Regulation,CRITICAL,Must deplane,US international
SAFE-036,PAX_TARMAC,TARMAC_FOOD_WATER,Food/Water Requirement,,,120,minutes,FLIGHT,False,,DOT Regulation,HIGH,Must provide,During tarmac delay
SAFE-037,PAX_TARMAC,TARMAC_LAVATORY,Lavatory Requirement,,,0,minutes,FLIGHT,False,,DOT Regulation,HIGH,Must be operable,During tarmac delay
