flight_id,flight_number,origin_airport_id,origin_code,destination_airport_id,destination_code,scheduled_departure,scheduled_arrival,aircraft_registration,aircraft_type_id,aircraft_code,aircraft_capacity,aircraft_cargo_capacity_kg,cabin_crew_required,gate,terminal,rotation_sequence,upline_flight_number,downline_flight_number
FLT-1001,EY117,2,BKK,1,AUH,2026-01-30 06:40:00,2026-01-30 10:40:00,A6-EYV,6,A320,180,3500,4,B5,3,1,EY334,EY424
FLT-1002,EY5293,1,AUH,2,BKK,2026-01-30 08:37:00,2026-01-30 17:37:00,A6-EYU,6,A320,180,3500,4,B17,3,2,EY25,EY334
FLT-1003,EY454,1,AUH,3,SYD,2026-01-30 10:26:00,2026-01-30 16:26:00,A6-EYA,1,A380,516,16000,16,C26,1,3,EY313,EY472
FLT-1004,EY334,1,AUH,4,CDG,2026-01-30 12:48:00,2026-01-30 17:48:00,A6-EYJ,3,B787-10,330,12000,10,C9,1,4,EY101,EY424
FLT-1005,EY424,1,AUH,5,SIN,2026-01-30 06:22:00,2026-01-30 12:22:00,A6-EYO,2,B789,290,11000,9,A12,1,5,EY472,EY117
FLT-1006,EY313,1,AUH,6,JED,2026-01-30 08:17:00,2026-01-30 22:17:00,A6-EYN,4,B777,396,13000,12,A8,1,6,EY454,EY454
FLT-1007,EY472,1,AUH,5,SIN,2026-01-30 00:45:00,2026-01-30 20:45:00,A6-EYH,4,B777,396,13000,12,A15,1,7,EY454,EY5293
FLT-1008,EY101,1,AUH,7,JFK,2026-01-30 02:46:00,2026-01-30 16:46:00,A6-EYB,3,B787-10,330,12000,10,B2,2,8,EY334,EY5293
FLT-1009,EY25,4,CDG,1,AUH,2026-01-30 22:13:00,2026-01-31 14:13:00,A6-EYF,6,A320,180,3500,4,C5,1,9,EY334,EY5293
FLT-1010,EY8184,1,AUH,8,LHR,2026-01-30 08:30:00,2026-01-30 14:30:00,A6-EYM,3,B787-10,330,12000,10,C12,1,10,EY101,EY25
FLT-1011,EY6268,1,AUH,8,LHR,2026-01-30 10:15:00,2026-01-30 16:15:00,A6-EYL,6,A320,180,3500,4,C15,1,11,EY472,EY19
FLT-1012,EY25,8,LHR,1,AUH,2026-01-31 20:00:00,2026-02-01 12:00:00,A6-EYF,6,A320,180,3500,4,C18,1,12,EY8184,EY5293
FLT-1013,EY19,8,LHR,1,AUH,2026-01-31 22:00:00,2026-02-01 14:00:00,A6-EYC,3,B787-9,290,11000,9,C20,1,13,EY6268,EY106
FLT-1014,EY11,8,LHR,1,AUH,2026-02-01 00:00:00,2026-02-01 16:00:00,A6-EYK,4,B777,396,13000,12,C22,1,14,EY454,EY334
FLT-1015,EY401,2,BKK,1,AUH,2026-01-31 06:38:00,2026-01-31 13:38:00,A6-EYV,6,A320,180,3500,4,A25,3,15,EY25,EY334
FLT-1016,EY406,1,AUH,2,BKK,2026-01-31 08:02:00,2026-01-31 13:02:00,A6-EYU,6,A320,180,3500,4,D30,2,16,EY101,EY424
FLT-1017,EY639,1,AUH,7,JFK,2026-01-30 08:48:00,2026-01-30 13:48:00,A6-EYA,1,A380,516,16000,16,A20,2,17,EY12,EY334
FLT-1018,EY3105,1,AUH,4,SIN,2026-01-31 06:15:00,2026-01-31 12:15:00,A6-EYM,4,A350,350,13000,12,B19,1,18,EY472,EY472
FLT-1019,EY3102,1,AUH,11,FCO,2026-01-30 08:12:00,2026-01-30 15:12:00,A6-EYE,2,B777X,400,14000,14,B12,2,19,EY3103,EY912
FLT-1020,EY003,1,AUH,8,DEL,2026-01-30 10:20:00,2026-01-30 23:20:00,A6-EYK,4,A350,350,13000,12,C17,2,20,EY912,EY8086
FLT-1059,EY8086,6,Multiple Aircraft AOG + Engine Failure Cascade,N,Fleet inspection delay,120,A6-EYL,4,A350,350,13000,12,1,AUH,11,FCO,2026-01-24 18:53:00,2026-01-24 21:53:00,2026-01-24 23:53:00,Delayed,B14,3,CLEAR,,,,,,,,A6-EYK,EY,AUH,DEL,EY004,2026-01-24T21:57:00,2026-01-24T21:57:00Z,2026-01-24T16:57:00,2026-01-24T16:57:00Z,A6-EYE,EY,AUH,FCO,EY3103,2026-01-24T23:12:00,2026-01-24T23:12:00Z,2026-01-24T14:12:00,2026-01-24T14:12:00Z,Y,N
FLT-1060,EY912,6,Multiple Aircraft AOG + Engine Failure Cascade,N,Runway closure 45min,45,A6-EYA,1,A380,516,16000,16,7,JFK,1,AUH,2026-01-24 20:38:00,2026-01-25 09:38:00,2026-01-25 10:23:00,Scheduled,D15,3,CLEAR,,,,,,,,A6-EYK,EY,DEL,AUH,EY003,2026-01-24T23:20:00,2026-01-24T23:20:00Z,2026-01-24T10:20:00,2026-01-24T10:20:00Z,A6-EYD,EY,CAI,AUH,EY7151,2026-01-24T14:46:00,2026-01-24T14:46:00Z,2026-01-24T06:46:00,2026-01-24T06:46:00Z,Y,N
FLT-1061,EY8086,7,Crew Out of Hours + Insufficient Cabin Crew Crisis,Y,Crew FDP exceeded,300,A6-EYI,3,B787-10,330,12000,10,1,AUH,11,FCO,2026-01-25 06:52:00,2026-01-25 12:52:00,2026-01-25 17:52:00,Delayed,B26,1,CLEAR,,,,,,,,A6-EYK,EY,AUH,CDG,EY335,2026-01-25T20:04:00,2026-01-25T20:04:00Z,2026-01-25T06:04:00,2026-01-25T06:04:00Z,A6-EYI,EY,AUH,FCO,EY8087,2026-01-26T05:57:00,2026-01-26T05:57:00Z,2026-01-25T18:57:00,2026-01-25T18:57:00Z,Y,N
FLT-1062,EY6622,7,Crew Out of Hours + Insufficient Cabin Crew Crisis,Y,Crew FDP exceeded,240,A6-EYJ,3,B787-10,330,12000,10,8,DEL,1,AUH,2026-01-25 08:09:00,2026-01-25 11:09:00,2026-01-25 15:09:00,Delayed,A15,2,ACTIVE,D,10.0,2026-02-04,MEL-744,REF-4185,2026-01-21,Speed limited to M0.82,A6-EYF,EY,AUH,LHR,EY432,2026-01-25T21:49:00,2026-01-25T21:49:00Z,2026-01-25T12:49:00,2026-01-25T12:49:00Z,A6-EYF,EY,AUH,LHR,EY432,2026-01-25T21:49:00,2026-01-25T21:49:00Z,2026-01-25T12:49:00,2026-01-25T12:49:00Z,Y,N
FLT-1063,EY0739,7,Crew Out of Hours + Insufficient Cabin Crew Crisis,Y,Insufficient cabin crew,360,A6-EYA,1,A380,516,16000,16,1,AUH,9,SYD,2026-01-25 10:31:00,2026-01-25 19:31:00,2026-01-26 01:31:00,Delayed,A29,1,CLEAR,,,,,,,,A6-EYH,EY,DEL,AUH,EY1202,2026-01-25T18:15:00,2026-01-25T18:15:00Z,2026-01-25T14:15:00,2026-01-25T14:15:00Z,A6-EYA,EY,AUH,SYD,EY0740,2026-01-26T06:47:00,2026-01-26T06:47:00Z,2026-01-25T20:47:00,2026-01-25T20:47:00Z,Y,N
FLT-1064,EY432,7,Crew Out of Hours + Insufficient Cabin Crew Crisis,Y,Crew FDP exceeded,180,A6-EYF,3,B787-10,330,12000,10,3,LHR,1,AUH,2026-01-25 12:49:00,2026-01-25 21:49:00,2026-01-26 00:49:00,Delayed,D2,3,CLEAR,,,,,,,,A6-EYA,EY,SYD,AUH,EY0739,2026-01-25T19:31:00,2026-01-25T19:31:00Z,2026-01-25T10:31:00,2026-01-25T10:31:00Z,A6-EYF,EY,LHR,AUH,EY433,2026-01-26T09:17:00,2026-01-26T09:17:00Z,2026-01-25T22:17:00,2026-01-25T22:17:00Z,Y,N
FLT-1065,EY1202,7,Crew Out of Hours + Insufficient Cabin Crew Crisis,Y,Insufficient cabin crew,240,A6-EYH,3,B787-10,330,12000,10,1,AUH,8,DEL,2026-01-25 14:15:00,2026-01-25 18:15:00,2026-01-25 22:15:00,Delayed,D22,3,CLEAR,,,,,,,,A6-EYJ,EY,AUH,DEL,EY6622,2026-01-25T11:09:00,2026-01-25T11:09:00Z,2026-01-25T08:09:00,2026-01-25T08:09:00Z,A6-EYA,EY,AUH,SYD,EY0740,2026-01-26T06:47:00,2026-01-26T06:47:00Z,2026-01-25T20:47:00,2026-01-25T20:47:00Z,Y,N
FLT-1066,EY334,7,Crew Out of Hours + Insufficient Cabin Crew Crisis,Y,Crew FDP exceeded,300,A6-EYK,4,A350,350,13000,12,1,AUH,5,CDG,2026-01-25 16:35:00,2026-01-26 04:35:00,2026-01-26 09:35:00,Delayed,D20,3,CLEAR,,,,,,,,A6-EYA,EY,AUH,SYD,EY0740,2026-01-26T06:47:00,2026-01-26T06:47:00Z,2026-01-25T20:47:00,2026-01-25T20:47:00Z,A6-EYI,EY,AUH,FCO,EY8087,2026-01-26T05:57:00,2026-01-26T05:57:00Z,2026-01-25T18:57:00,2026-01-25T18:57:00Z,Y,N
FLT-1067,EY8087,7,Crew Out of Hours + Insufficient Cabin Crew Crisis,N,LIAC from EY8086,300,A6-EYI,3,B787-10,330,12000,10,11,FCO,1,AUH,2026-01-25 18:57:00,2026-01-26 05:57:00,2026-01-26 10:57:00,Delayed,D29,1,CLEAR,,,,,,,,A6-EYI,EY,FCO,AUH,EY8086,2026-01-25T12:52:00,2026-01-25T12:52:00Z,2026-01-25T06:52:00,2026-01-25T06:52:00Z,A6-EYA,EY,AUH,SYD,EY0740,2026-01-26T06:47:00,2026-01-26T06:47:00Z,2026-01-25T20:47:00,2026-01-25T20:47:00Z,Y,N
FLT-1068,EY0740,7,Crew Out of Hours + Insufficient Cabin Crew Crisis,N,LIAC from EY0739,360,A6-EYA,1,A380,516,16000,16,9,SYD,1,AUH,2026-01-25 20:47:00,2026-01-26 06:47:00,2026-01-26 12:47:00,Delayed,B27,3,CLEAR,,,,,,,,A6-EYA,EY,SYD,AUH,EY0739,2026-01-25T19:31:00,2026-01-25T19:31:00Z,2026-01-25T10:31:00,2026-01-25T10:31:00Z,A6-EYF,EY,AUH,LHR,EY432,2026-01-25T21:49:00,2026-01-25T21:49:00Z,2026-01-25T12:49:00,2026-01-25T12:49:00Z,Y,N
FLT-1069,EY433,7,Crew Out of Hours + Insufficient Cabin Crew Crisis,N,LIAC from EY432,180,A6-EYF,3,B787-10,330,12000,10,1,AUH,3,LHR,2026-01-25 22:17:00,2026-01-26 09:17:00,2026-01-26 12:17:00,Delayed,B9,2,CLEAR,,,,,,,,A6-EYF,EY,AUH,LHR,EY432,2026-01-25T21:49:00,2026-01-25T21:49:00Z,2026-01-25T12:49:00,2026-01-25T12:49:00Z,A6-EYI,EY,AUH,FCO,EY8087,2026-01-26T05:57:00,2026-01-26T05:57:00Z,2026-01-25T18:57:00,2026-01-25T18:57:00Z,Y,N
FLT-1070,EY335,7,Crew Out of Hours + Insufficient Cabin Crew Crisis,N,LIAC from EY334,300,A6-EYK,4,A350,350,13000,12,5,CDG,1,AUH,2026-01-25 06:04:00,2026-01-25 20:04:00,2026-01-26 01:04:00,Delayed,C11,2,CLEAR,,,,,,,,A6-EYI,EY,FCO,AUH,EY8086,2026-01-25T12:52:00,2026-01-25T12:52:00Z,2026-01-25T06:52:00,2026-01-25T06:52:00Z,A6-EYI,EY,AUH,FCO,EY8087,2026-01-26T05:57:00,2026-01-26T05:57:00Z,2026-01-25T18:57:00,2026-01-25T18:57:00Z,Y,N
FLT-1071,EY8086,8,Runway Closure + Airspace Flow Rate Restrictions,Y,Departure delayed,60,A6-EYI,3,B787-10,330,12000,10,1,AUH,11,FCO,2026-01-27 06:30:00,2026-01-27 09:30:00,2026-01-27 10:30:00,Scheduled,C25,2,CLEAR,,,,,,,,A6-EYL,EY,AUH,DEL,EY6005,2026-01-27T21:30:00,2026-01-27T21:30:00Z,2026-01-27T08:30:00,2026-01-27T08:30:00Z,A6-EYF,EY,LHR,AUH,EY433,2026-01-28T03:44:00,2026-01-28T03:44:00Z,2026-01-27T14:44:00,2026-01-27T14:44:00Z,Y,N
FLT-1072,EY4943,8,Runway Closure + Airspace Flow Rate Restrictions,Y,Departure delayed,45,A6-EYM,4,A350,350,13000,12,1,AUH,12,DOH,2026-01-27 08:54:00,2026-01-27 17:54:00,2026-01-27 18:39:00,Scheduled,B16,1,CLEAR,,,,,,,,A6-EYN,EY,AUH,CAI,EY9626,2026-01-27T19:17:00,2026-01-27T19:17:00Z,2026-01-27T10:17:00,2026-01-27T10:17:00Z,A6-EYF,EY,LHR,AUH,EY433,2026-01-28T03:44:00,2026-01-28T03:44:00Z,2026-01-27T14:44:00,2026-01-27T14:44:00Z,Y,N
FLT-1073,EY9626,8,Runway Closure + Airspace Flow Rate Restrictions,Y,Arrival delayed,90,A6-EYN,5,A321LR,206,4200,6,10,CAI,1,AUH,2026-01-27 10:17:00,2026-01-27 19:17:00,2026-01-27 20:47:00,Delayed,D11,3,CLEAR,,,,,,,,A6-EYL,EY,AUH,DEL,EY6005,2026-01-27T21:30:00,2026-01-27T21:30:00Z,2026-01-27T08:30:00,2026-01-27T08:30:00Z,A6-EYF,EY,LHR,AUH,EY433,2026-01-28T03:44:00,2026-01-28T03:44:00Z,2026-01-27T14:44:00,2026-01-27T14:44:00Z,Y,N
FLT-1074,EY432,8,Runway Closure + Airspace Flow Rate Restrictions,Y,Arrival delayed,75,A6-EYF,3,B787-10,330,12000,10,3,LHR,1,AUH,2026-01-27 12:43:00,2026-01-27 21:43:00,2026-01-27 22:58:00,Delayed,D30,1,CLEAR,,,,,,,,A6-EYI,EY,FCO,AUH,EY8086,2026-01-27T09:30:00,2026-01-27T09:30:00Z,2026-01-27T06:30:00,2026-01-27T06:30:00Z,A6-EYA,EY,AUH,JFK,EY912,2026-01-28T02:20:00,2026-01-28T02:20:00Z,2026-01-27T18:20:00,2026-01-27T18:20:00Z,Y,N
FLT-1075,EY1202,8,Runway Closure + Airspace Flow Rate Restrictions,Y,Departure delayed,60,A6-EYH,3,B787-10,330,12000,10,1,AUH,8,DEL,2026-01-27 14:39:00,2026-01-28 01:39:00,2026-01-28 02:39:00,Scheduled,A3,3,ACTIVE,D,10.0,2026-02-06,MEL-538,REF-3223,2026-01-23,Speed limited to M0.82,A6-EYK,EY,AUH,FCO,EY5265,2026-01-27T12:15:00,2026-01-27T12:15:00Z,2026-01-27T06:15:00,2026-01-27T06:15:00Z,A6-EYB,EY,SYD,AUH,EY0739,2026-01-28T00:16:00,2026-01-28T00:16:00Z,2026-01-27T20:16:00,2026-01-27T20:16:00Z,Y,N
FLT-1076,EY8184,8,Runway Closure + Airspace Flow Rate Restrictions,Y,Departure delayed,90,A6-EYG,3,B787-10,330,12000,10,1,AUH,3,LHR,2026-01-27 16:11:00,2026-01-27 19:11:00,2026-01-27 20:41:00,Delayed,C7,2,CLEAR,,,,,,,,A6-EYO,EY,CDG,AUH,EY2796,2026-01-27T14:19:00,2026-01-27T14:19:00Z,2026-01-27T10:19:00,2026-01-27T10:19:00Z,A6-EYA,EY,AUH,JFK,EY912,2026-01-28T02:20:00,2026-01-28T02:20:00Z,2026-01-27T18:20:00,2026-01-27T18:20:00Z,Y,N
FLT-1077,EY912,8,Runway Closure + Airspace Flow Rate Restrictions,Y,Arrival delayed,120,A6-EYA,1,A380,516,16000,16,7,JFK,1,AUH,2026-01-27 18:20:00,2026-01-28 02:20:00,2026-01-28 04:20:00,Delayed,D9,2,CLEAR,,,,,,,,A6-EYM,EY,DOH,AUH,EY4943,2026-01-27T17:54:00,2026-01-27T17:54:00Z,2026-01-27T08:54:00,2026-01-27T08:54:00Z,A6-EYK,EY,AUH,FCO,EY5265,2026-01-27T12:15:00,2026-01-27T12:15:00Z,2026-01-27T06:15:00,2026-01-27T06:15:00Z,Y,N
