mct_id,scenario_id,scenario_name,airport_code,airport_name,connection_type,standard_mct_min,premium_mct_min,wheelchair_mct_min,is_same_terminal
MCT-1-AUH-DOM-DOM,1,Bangkok Typhoon + Critical MEL Aircraft,AUH,Abu Dhabi International,DOM-DOM,93,66,95,N
MCT-1-AUH-DOM-INT,1,Bangkok Typhoon + Critical MEL Aircraft,AUH,Abu Dhabi International,DOM-INT,59,66,62,N
MCT-1-AUH-INT-DOM,1,Bangkok Typhoon + Critical MEL Aircraft,AUH,Abu Dhabi International,INT-DOM,53,72,80,Y
MCT-1-AUH-INT-INT,1,Bangkok Typhoon + Critical MEL Aircraft,AUH,Abu Dhabi International,INT-INT,46,58,81,Y
MCT-1-BKK-DOM-DOM,1,Bangkok Typhoon + Critical MEL Aircraft,BKK,Suvarnabhumi,DOM-DOM,90,33,77,Y
MCT-1-BKK-DOM-INT,1,Bangkok Typhoon + Critical MEL Aircraft,BKK,Suvarnabhumi,DOM-INT,75,85,99,Y
MCT-1-BKK-INT-DOM,1,Bangkok Typhoon + Critical MEL Aircraft,BKK,Suvarnabhumi,INT-DOM,79,57,102,N
MCT-1-BKK-INT-INT,1,Bangkok Typhoon + Critical MEL Aircraft,BKK,Suvarnabhumi,INT-INT,118,82,141,N
MCT-1-LHR-DOM-DOM,1,Bangkok Typhoon + Critical MEL Aircraft,LHR,Heathrow,DOM-DOM,103,49,110,N
MCT-1-LHR-DOM-INT,1,Bangkok Typhoon + Critical MEL Aircraft,LHR,Heathrow,DOM-INT,107,37,68,Y
MCT-1-LHR-INT-DOM,1,Bangkok Typhoon + Critical MEL Aircraft,LHR,Heathrow,INT-DOM,74,64,144,N
MCT-1-LHR-INT-INT,1,Bangkok Typhoon + Critical MEL Aircraft,LHR,Heathrow,INT-INT,98,63,84,Y
MCT-1-SIN-DOM-DOM,1,Bangkok Typhoon + Critical MEL Aircraft,SIN,Changi,DOM-DOM,51,72,65,Y
MCT-1-SIN-DOM-INT,1,Bangkok Typhoon + Critical MEL Aircraft,SIN,Changi,DOM-INT,53,86,106,Y
