swap_id,aircraft_registration,source_flight,target_flight,source_departure,target_departure,reason,cost_usd,cost_aed,approved,approval_time
SWAP-001,A6-EYA,EY454,EY639,2026-01-30 10:26:00,2026-01-30 08:48:00,CONNECTION_OPTIMIZATION,2500,9175,Y,2026-01-30 07:00:00
SWAP-002,A6-EYB,EY101,EY8184,2026-01-30 02:46:00,2026-01-30 08:30:00,SCHEDULE_COMPRESSION,3000,11010,Y,2026-01-30 01:30:00
SWAP-003,A6-EYC,EY19,EY25,2026-01-31 22:00:00,2026-01-31 20:00:00,CREW_DUTY_MANAGEMENT,2200,8073,Y,2026-01-31 19:00:00
SWAP-004,A6-EYD,EY402,EY5293,2026-01-30 18:15:00,2026-01-30 08:37:00,DEMAND_MANAGEMENT,1800,6606,N,NULL
SWAP-005,A6-EYE,EY3102,EY912,2026-01-30 08:12:00,2026-02-01 12:00:00,ROTATION_OPTIMIZATION,3500,12835,Y,2026-01-30 06:00:00
SWAP-006,A6-EYF,EY25,EY424,2026-01-31 22:13:00,2026-01-30 06:22:00,AIRCRAFT_UTILIZATION,2800,10276,Y,2026-01-31 21:00:00
SWAP-007,A6-EYH,EY472,EY334,2026-01-30 00:45:00,2026-01-30 12:48:00,SCHEDULE_ALIGNMENT,3200,11744,Y,2026-01-29 22:00:00
SWAP-008,A6-EYJ,EY334,EY101,2026-01-30 12:48:00,2026-01-30 02:46:00,CREW_POSITIONING,2600,9542,N,NULL
SWAP-009,A6-EYK,EY003,EY313,2026-01-30 10:20:00,2026-01-30 08:17:00,CONNECTION_PROTECTION,2400,8808,Y,2026-01-30 09:00:00
SWAP-010,A6-EYL,EY6268,EY472,2026-01-30 10:15:00,2026-01-30 00:45:00,WEATHER_MITIGATION,3100,11377,Y,2026-01-30 09:30:00
