matrix_id,scenario_type,recovery_option,aircraft_type,delay_duration_min,estimated_hard_cost_aed,estimated_soft_cost_aed,total_cost_aed,pax_impact_count,nps_impact,cargo_risk,crew_impact,network_propagation_risk,recommended_threshold,notes
RCM-001,WEATHER_DELAY,WAIT_AND_DELAY,A321,30,1800,4500,6300,190,LOW,LOW,NONE,LOW,0-60min,Monitor weather updates
RCM-002,WEATHER_DELAY,WAIT_AND_DELAY,A321,60,3600,9000,12600,190,MEDIUM,LOW,LOW,MEDIUM,0-60min,Consider alternatives
RCM-003,WEATHER_DELAY,WAIT_AND_DELAY,A321,120,7200,18000,25200,190,HIGH,MEDIUM,MEDIUM,HIGH,NOT_RECOMMENDED,Trigger recovery action
RCM-004,WEATHER_DELAY,WAIT_AND_DELAY,A321,180,10800,27000,37800,190,SEVERE,HIGH,HIGH,SEVERE,NOT_RECOMMENDED,Cancel likely cheaper
RCM-005,WEATHER_DELAY,WAIT_AND_DELAY,B787,30,1800,4500,6300,299,LOW,LOW,NONE,LOW,0-60min,Monitor weather updates
RCM-006,WEATHER_DELAY,WAIT_AND_DELAY,B787,60,3600,9000,12600,299,MEDIUM,MEDIUM,LOW,MEDIUM,0-60min,Consider alternatives
RCM-007,WEATHER_DELAY,WAIT_AND_DELAY,B787,120,7200,18000,25200,299,HIGH,HIGH,MEDIUM,HIGH,NOT_RECOMMENDED,Trigger recovery action
RCM-008,WEATHER_DELAY,WAIT_AND_DELAY,B787,180,10800,27000,37800,299,SEVERE,SEVERE,HIGH,SEVERE,NOT_RECOMMENDED,Cancel likely cheaper
RCM-009,WEATHER_DELAY,WAIT_AND_DELAY,A380,30,1800,4500,6300,496,LOW,LOW,NONE,LOW,0-60min,Monitor weather updates
RCM-010,WEATHER_DELAY,WAIT_AND_DELAY,A380,60,3600,9000,12600,496,MEDIUM,MEDIUM,LOW,MEDIUM,0-60min,Consider alternatives
RCM-011,WEATHER_DELAY,WAIT_AND_DELAY,A380,120,7200,18000,25200,496,HIGH,HIGH,MEDIUM,HIGH,NOT_RECOMMENDED,Trigger recovery action
RCM-012,WEATHER_DELAY,WAIT_AND_DELAY,A380,180,10800,27000,37800,496,SEVERE,SEVERE,HIGH,SEVERE,NOT_RECOMMENDED,Cancel likely cheaper
RCM-013,WEATHER_DELAY,CANCEL_FLIGHT,A321,0,27000,67500,94500,190,SEVERE,MEDIUM,NONE,MEDIUM,180+min delay,Full rebooking required
RCM-014,WEATHER_DELAY,CANCEL_FLIGHT,B787,0,75000,187500,262500,299,SEVERE,HIGH,NONE,HIGH,180+min delay,Full rebooking required
RCM-015,WEATHER_DELAY,CANCEL_FLIGHT,A380,0,150000,375000,525000,496,SEVERE,SEVERE,NONE,SEVERE,180+min delay,Full rebooking required
RCM-016,WEATHER_DELAY,AIRCRAFT_SWAP,A321,45,14000,7000,21000,190,LOW,LOW,LOW,LOW,PREFERRED,If aircraft available
RCM-017,WEATHER_DELAY,AIRCRAFT_SWAP,B787,45,24500,10500,35000,299,LOW,LOW,LOW,LOW,PREFERRED,If aircraft available
RCM-018,WEATHER_DELAY,AIRCRAFT_SWAP,A380,45,42000,17500,59500,496,LOW,LOW,LOW,LOW,PREFERRED,If aircraft available
RCM-019,CREW_ISSUE,RESERVE_CREW_CALL,A321,60,5000,7500,12500,190,LOW,NONE,NONE,LOW,PREFERRED,If reserve available
RCM-020,CREW_ISSUE,RESERVE_CREW_CALL,B787,60,7500,10000,17500,299,LOW,NONE,NONE,LOW,PREFERRED,If reserve available
RCM-021,CREW_ISSUE,RESERVE_CREW_CALL,A380,60,12000,15000,27000,496,LOW,NONE,NONE,LOW,PREFERRED,If reserve available
RCM-022,CREW_ISSUE,CREW_POSITIONING,A321,180,5250,15750,21000,190,MEDIUM,LOW,LOW,MEDIUM,IF_NO_RESERVE,Deadhead crew
RCM-023,CREW_ISSUE,CREW_POSITIONING,B787,180,7000,21000,28000,299,MEDIUM,MEDIUM,LOW,MEDIUM,IF_NO_RESERVE,Deadhead crew
RCM-024,CREW_ISSUE,CREW_POSITIONING,A380,180,10500,31500,42000,496,MEDIUM,MEDIUM,LOW,MEDIUM,IF_NO_RESERVE,Deadhead crew
RCM-025,CREW_ISSUE,WAIT_FOR_REST,A321,600,36000,90000,126000,190,SEVERE,HIGH,NONE,SEVERE,NOT_RECOMMENDED,10hr rest required
RCM-026,CREW_ISSUE,WAIT_FOR_REST,B787,600,36000,90000,126000,299,SEVERE,SEVERE,NONE,SEVERE,NOT_RECOMMENDED,10hr rest required
RCM-027,CREW_ISSUE,WAIT_FOR_REST,A380,600,36000,90000,126000,496,SEVERE,SEVERE,NONE,SEVERE,NOT_RECOMMENDED,10hr rest required
RCM-028,MECHANICAL,MEL_DISPATCH,ALL,0,500,0,500,0,NONE,NONE,NONE,NONE,IF_WITHIN_LIMITS,Document and dispatch
RCM-029,MECHANICAL,QUICK_FIX,A321,45,4800,3375,8175,190,LOW,LOW,NONE,LOW,IF_PARTS_AVAILABLE,Under 1hr repair
RCM-030,MECHANICAL,QUICK_FIX,B787,45,7200,4500,11700,299,LOW,LOW,NONE,LOW,IF_PARTS_AVAILABLE,Under 1hr repair
RCM-031,MECHANICAL,QUICK_FIX,A380,45,10800,6750,17550,496,LOW,LOW,NONE,LOW,IF_PARTS_AVAILABLE,Under 1hr repair
RCM-032,MECHANICAL,AIRCRAFT_SWAP,A321,60,15000,4500,19500,190,LOW,LOW,LOW,LOW,PREFERRED,If aircraft available
RCM-033,MECHANICAL,AIRCRAFT_SWAP,B787,60,27000,6000,33000,299,LOW,LOW,LOW,LOW,PREFERRED,If aircraft available
RCM-034,MECHANICAL,AIRCRAFT_SWAP,A380,60,45000,9000,54000,496,LOW,LOW,LOW,LOW,PREFERRED,If aircraft available
RCM-035,MECHANICAL,AOG_WAIT,A321,480,28800,72000,100800,190,SEVERE,HIGH,MEDIUM,SEVERE,NOT_RECOMMENDED,Parts delivery wait
RCM-036,MECHANICAL,AOG_WAIT,B787,480,28800,72000,100800,299,SEVERE,SEVERE,HIGH,SEVERE,NOT_RECOMMENDED,Parts delivery wait
RCM-037,MECHANICAL,AOG_WAIT,A380,480,28800,72000,100800,496,SEVERE,SEVERE,SEVERE,SEVERE,NOT_RECOMMENDED,Parts delivery wait
RCM-038,PASSENGER,PROACTIVE_REBOOK,ALL,0,600,0,600,1,LOW,NONE,NONE,NONE,ALWAYS,Per pax to OAL
RCM-039,PASSENGER,REACTIVE_REBOOK,ALL,0,840,1050,1890,1,MEDIUM,NONE,NONE,NONE,AVOID,Per pax after delay
RCM-040,PASSENGER,FULL_REFUND,ALL,0,315,787.5,1102.5,1,HIGH,NONE,NONE,NONE,LAST_RESORT,Lost revenue + goodwill
RCM-041,CARGO,REBOOK_NEXT_FLIGHT,ALL,0,70,35,105,0,NONE,LOW,NONE,NONE,PREFERRED,Per shipment
RCM-042,CARGO,TRUCK_ALTERNATIVE,ALL,0,350,70,420,0,NONE,NONE,NONE,NONE,SHORT_HAUL_ONLY,Ground transport
RCM-043,CARGO,SPOILAGE_WRITE_OFF,ALL,0,3000,1500,4500,0,NONE,SEVERE,NONE,NONE,AVOID,Per temp-sensitive shipment
RCM-044,DIVERSION,MEDICAL_DIVERSION,A321,120,21000,18000,39000,190,MEDIUM,MEDIUM,LOW,MEDIUM,MANDATORY,Safety first
