weather_id,scenario_id,scenario_name,airport_code,airport_name,observation_time,condition,temperature_c,wind_speed_kts,wind_direction,visibility_m,ceiling_ft,precipitation,is_operational,metar,taf_valid_from,taf_valid_to
WX-1-BKK,1,Bangkok Typhoon + Critical MEL Aircraft,BKK,Suvarnabhumi,2026-01-19T00:00:00Z,TYPHOON,28,85,210,500,4721,HEAVY,N,METAR BKK 190000Z 085/85KT 500M TYPHOON,2026-01-19T00:00:00Z,2026-01-20T00:00:00Z
WX-1-JED,1,Bangkok Typhoon + Critical MEL Aircraft,JED,King Abdulaziz,2026-01-19T00:00:00Z,TYPHOON,28,85,315,500,3556,HEAVY,N,METAR JED 190000Z 085/85KT 500M TYPHOON,2026-01-19T00:00:00Z,2026-01-20T00:00:00Z
WX-1-SYD,1,Bangkok Typhoon + Critical MEL Aircraft,SYD,Sydney Kingsford Smith,2026-01-19T00:00:00Z,TYPHOON,28,85,245,500,3075,HEAVY,N,METAR SYD 190000Z 085/85KT 500M TYPHOON,2026-01-19T00:00:00Z,2026-01-20T00:00:00Z
WX-1-AUH,1,Bangkok Typhoon + Critical MEL Aircraft,AUH,Abu Dhabi International,2026-01-19T00:00:00Z,TYPHOON,28,85,47,500,1851,HEAVY,N,METAR AUH 190000Z 085/85KT 500M TYPHOON,2026-01-19T00:00:00Z,2026-01-20T00:00:00Z
WX-1-SIN,1,Bangkok Typhoon + Critical MEL Aircraft,SIN,Changi,2026-01-19T00:00:00Z,TYPHOON,28,85,248,500,1999,HEAVY,N,METAR SIN 190000Z 085/85KT 500M TYPHOON,2026-01-19T00:00:00Z,2026-01-20T00:00:00Z
WX-1-LHR,1,Bangkok Typhoon + Critical MEL Aircraft,LHR,Heathrow,2026-01-19T00:00:00Z,TYPHOON,28,85,45,500,2695,HEAVY,N,METAR LHR 190000Z 085/85KT 500M TYPHOON,2026-01-19T00:00:00Z,2026-01-20T00:00:00Z
WX-1-CDG,1,Bangkok Typhoon + Critical MEL Aircraft,CDG,Charles de Gaulle,2026-01-19T00:00:00Z,TYPHOON,28,85,28,500,4969,HEAVY,N,METAR CDG 190000Z 085/85KT 500M TYPHOON,2026-01-19T00:00:00Z,2026-01-20T00:00:00Z
WX-1-JFK,1,Bangkok Typhoon + Critical MEL Aircraft,JFK,John F Kennedy,2026-01-19T00:00:00Z,TYPHOON,28,85,147,500,4951,HEAVY,N,METAR JFK 190000Z 085/85KT 500M TYPHOON,2026-01-19T00:00:00Z,2026-01-20T00:00:00Z
WX-1-DEL,1,Bangkok Typhoon + Critical MEL Aircraft,DEL,Indira Gandhi,2026-01-19T00:00:00Z,TYPHOON,28,85,155,500,4289,HEAVY,N,METAR DEL 190000Z 085/85KT 500M TYPHOON,2026-01-19T00:00:00Z,2026-01-20T00:00:00Z
WX-2-SYD,2,London Fog + Multiple Aircraft AOG,SYD,Sydney Kingsford Smith,2026-01-20T00:00:00Z,FOG,4,5,146,100,1945,NONE,N,METAR SYD 200000Z 005/05KT 100M FOG,2026-01-20T00:00:00Z,2026-01-21T00:00:00Z
WX-2-AUH,2,London Fog + Multiple Aircraft AOG,AUH,Abu Dhabi International,2026-01-20T00:00:00Z,FOG,4,5,178,100,4703,NONE,N,METAR AUH 200000Z 005/05KT 100M FOG,2026-01-20T00:00:00Z,2026-01-21T00:00:00Z
WX-2-LHR,2,London Fog + Multiple Aircraft AOG,LHR,Heathrow,2026-01-20T00:00:00Z,FOG,4,5,314,100,1137,NONE,N,METAR LHR 200000Z 005/05KT 100M FOG,2026-01-20T00:00:00Z,2026-01-21T00:00:00Z
WX-2-CDG,2,London Fog + Multiple Aircraft AOG,CDG,Charles de Gaulle,2026-01-20T00:00:00Z,FOG,4,5,318,100,4104,NONE,N,METAR CDG 200000Z 005/05KT 100M FOG,2026-01-20T00:00:00Z,2026-01-21T00:00:00Z
WX-2-JFK,2,London Fog + Multiple Aircraft AOG,JFK,John F Kennedy,2026-01-20T00:00:00Z,FOG,4,5,336,100,1826,NONE,N,METAR JFK 200000Z 005/05KT 100M FOG,2026-01-20T00:00:00Z,2026-01-21T00:00:00Z
WX-2-DEL,2,London Fog + Multiple Aircraft AOG,DEL,Indira Gandhi,2026-01-20T00:00:00Z,FOG,4,5,241,100,1178,NONE,N,METAR DEL 200000Z 005/05KT 100M FOG,2026-01-20T00:00:00Z,2026-01-21T00:00:00Z
WX-3-CDG,3,Singapore Thunderstorms + MEL Expiry Cascade,CDG,Charles de Gaulle,2026-01-21T00:00:00Z,THUNDERSTORM,30,45,72,2000,4840,HEAVY,Y,METAR CDG 210000Z 045/45KT 2000M THUNDERSTORM,2026-01-21T00:00:00Z,2026-01-22T00:00:00Z
WX-3-SIN,3,Singapore Thunderstorms + MEL Expiry Cascade,SIN,Changi,2026-01-21T00:00:00Z,THUNDERSTORM,30,45,122,2000,2216,HEAVY,Y,METAR SIN 210000Z 045/45KT 2000M THUNDERSTORM,2026-01-21T00:00:00Z,2026-01-22T00:00:00Z
WX-3-AUH,3,Singapore Thunderstorms + MEL Expiry Cascade,AUH,Abu Dhabi International,2026-01-21T00:00:00Z,THUNDERSTORM,30,45,287,2000,2768,HEAVY,Y,METAR AUH 210000Z 045/45KT 2000M THUNDERSTORM,2026-01-21T00:00:00Z,2026-01-22T00:00:00Z
WX-4-CDG,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,CDG,Charles de Gaulle,2026-01-22T00:00:00Z,WINTER_STORM,-5,55,135,800,2047,HEAVY,N,METAR CDG 220000Z 055/55KT 800M WINTER_STORM,2026-01-22T00:00:00Z,2026-01-23T00:00:00Z
WX-4-FRA,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,FRA,Frankfurt,2026-01-22T00:00:00Z,WINTER_STORM,-5,55,251,800,4802,HEAVY,N,METAR FRA 220000Z 055/55KT 800M WINTER_STORM,2026-01-22T00:00:00Z,2026-01-23T00:00:00Z
WX-4-AUH,4,Paris Winter Storm + Temperature-Controlled Cargo Crisis,AUH,Abu Dhabi International,2026-01-22T00:00:00Z,WINTER_STORM,-5,55,222,800,1041,HEAVY,N,METAR AUH 220000Z 055/55KT 800M WINTER_STORM,2026-01-22T00:00:00Z,2026-01-23T00:00:00Z
WX-5-AUH,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,AUH,Abu Dhabi International,2026-01-23T00:00:00Z,SANDSTORM,38,65,122,200,4573,NONE,N,METAR AUH 230000Z 065/65KT 200M SANDSTORM,2026-01-23T00:00:00Z,2026-01-24T00:00:00Z
WX-5-LHR,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,LHR,Heathrow,2026-01-23T00:00:00Z,SANDSTORM,38,65,245,200,544,NONE,N,METAR LHR 230000Z 065/65KT 200M SANDSTORM,2026-01-23T00:00:00Z,2026-01-24T00:00:00Z
WX-5-JFK,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,JFK,John F Kennedy,2026-01-23T00:00:00Z,SANDSTORM,38,65,339,200,2592,NONE,N,METAR JFK 230000Z 065/65KT 200M SANDSTORM,2026-01-23T00:00:00Z,2026-01-24T00:00:00Z
WX-5-DEL,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,DEL,Indira Gandhi,2026-01-23T00:00:00Z,SANDSTORM,38,65,197,200,2690,NONE,N,METAR DEL 230000Z 065/65KT 200M SANDSTORM,2026-01-23T00:00:00Z,2026-01-24T00:00:00Z
WX-5-DOH,5,Dubai Sandstorm + Hub Congestion + Multiple MEL Aircraft,DOH,Hamad International,2026-01-23T00:00:00Z,SANDSTORM,38,65,99,200,4901,NONE,N,METAR DOH 230000Z 065/65KT 200M SANDSTORM,2026-01-23T00:00:00Z,2026-01-24T00:00:00Z
WX-6-AUH,6,Multiple Aircraft AOG + Engine Failure Cascade,AUH,Abu Dhabi International,2026-01-24T00:00:00Z,CLEAR,25,10,135,10000,10000,NONE,Y,METAR AUH 240000Z 010/10KT 10000M CLEAR,2026-01-24T00:00:00Z,2026-01-25T00:00:00Z
WX-6-CAI,6,Multiple Aircraft AOG + Engine Failure Cascade,CAI,Cairo International,2026-01-24T00:00:00Z,CLEAR,25,10,303,10000,10000,NONE,Y,METAR CAI 240000Z 010/10KT 10000M CLEAR,2026-01-24T00:00:00Z,2026-01-25T00:00:00Z
WX-6-JFK,6,Multiple Aircraft AOG + Engine Failure Cascade,JFK,John F Kennedy,2026-01-24T00:00:00Z,CLEAR,25,10,151,10000,10000,NONE,Y,METAR JFK 240000Z 010/10KT 10000M CLEAR,2026-01-24T00:00:00Z,2026-01-25T00:00:00Z
