transaction_id,booking_id,flight_id,passenger_id,pnr,scenario_id,transaction_type,transaction_date,amount_usd,amount_aed,amount_inr,currency,payment_method,payment_status,tax_amount_usd,surcharge_usd,discount_usd,promo_code
TXN-000001,BKG-1001,FLT-1001,PAX-1001,DBU974,1,TICKET_PURCHASE,2025-10-26,1670.68,6131.4,139501.92,USD,VOUCHER,COMPLETED,200.48,22.0,55.94,PROMO858
TXN-000002,BKG-1002,FLT-1001,PAX-1002,ZMA614,1,TICKET_PURCHASE,2026-01-04,399.96,1467.85,33396.6,GBP,LOYALTY_POINTS,COMPLETED,48.0,53.75,13.12,PROMO127
TXN-000003,BKG-1003,FLT-1001,PAX-1003,ZTL200,1,TICKET_PURCHASE,2026-01-10,1846.85,6777.92,154211.57,EUR,LOYALTY_POINTS,COMPLETED,221.62,76.11,0.0,
TXN-000004,BKG-1003,FLT-1001,PAX-1003,ZTL200,1,SEAT_UPGRADE,2026-01-10,234.88,862.0,19612.31,USD,VOUCHER,COMPLETED,11.74,0.0,0.0,
TXN-000005,BKG-1004,FLT-1001,PAX-1004,LIP754,1,TICKET_PURCHASE,2025-10-25,1172.01,4301.29,97863.1,USD,CREDIT_CARD,COMPLETED,140.64,42.23,134.22,PROMO489
TXN-000006,BKG-1004,FLT-1001,PAX-1004,LIP754,1,MEAL_PURCHASE,2025-10-25,193.01,708.33,16116.0,USD,VOUCHER,COMPLETED,9.65,0.0,0.0,
TXN-000007,BKG-1005,FLT-1001,PAX-1005,ILP849,1,TICKET_PURCHASE,2025-10-31,1256.68,4612.01,104932.55,USD,LOYALTY_POINTS,COMPLETED,150.8,29.99,0.0,
TXN-000008,BKG-1005,FLT-1001,PAX-1005,ILP849,1,MEAL_PURCHASE,2025-10-31,185.89,682.2,15521.4,INR,CREDIT_CARD,COMPLETED,9.29,0.0,0.0,
TXN-000009,BKG-1006,FLT-1001,PAX-1006,JQJ791,1,TICKET_PURCHASE,2025-12-21,305.4,1120.8,25500.57,AED,CREDIT_CARD,COMPLETED,36.65,38.23,3.66,PROMO489
TXN-000010,BKG-1006,FLT-1001,PAX-1006,JQJ791,1,MEAL_PURCHASE,2025-12-21,73.92,271.27,6172.04,AED,DEBIT_CARD,COMPLETED,3.7,0.0,0.0,
TXN-000011,BKG-1007,FLT-1001,PAX-1007,HRF555,1,TICKET_PURCHASE,2026-01-03,1741.4,6390.95,145407.14,USD,LOYALTY_POINTS,COMPLETED,208.97,76.15,0.0,
TXN-000012,BKG-1008,FLT-1001,PAX-1008,AWD233,1,TICKET_PURCHASE,2025-12-19,1428.52,5242.67,119281.56,INR,VOUCHER,COMPLETED,171.42,39.58,0.0,
TXN-000013,BKG-1009,FLT-1001,PAX-1009,WLC829,1,TICKET_PURCHASE,2025-11-07,705.11,2587.77,58877.09,USD,DEBIT_CARD,COMPLETED,84.61,45.94,0.0,
TXN-000014,BKG-1010,FLT-1001,PAX-1010,VCC856,1,TICKET_PURCHASE,2025-11-22,2051.61,7529.39,171309.05,GBP,VOUCHER,COMPLETED,246.19,52.09,281.01,PROMO422
TXN-000015,BKG-1010,FLT-1001,PAX-1010,VCC856,1,LOUNGE_ACCESS,2025-11-22,136.82,502.13,11424.52,INR,CASH,COMPLETED,6.84,0.0,0.0,
TXN-000016,BKG-1011,FLT-1001,PAX-1011,ESI447,1,TICKET_PURCHASE,2026-01-05,528.6,1939.98,44138.49,GBP,BANK_TRANSFER,COMPLETED,63.43,31.17,0.0,
TXN-000017,BKG-1012,FLT-1001,PAX-1012,HRM783,1,TICKET_PURCHASE,2025-10-28,1185.4,4350.41,98980.72,AED,LOYALTY_POINTS,COMPLETED,142.25,66.68,0.0,
TXN-000018,BKG-1013,FLT-1001,PAX-1013,EYL806,1,TICKET_PURCHASE,2025-12-16,1938.3,7113.56,161847.96,EUR,LOYALTY_POINTS,COMPLETED,232.6,88.89,46.51,PROMO165
TXN-000019,BKG-1013,FLT-1001,PAX-1013,EYL806,1,LOUNGE_ACCESS,2025-12-16,172.86,634.4,14433.88,INR,CREDIT_CARD,COMPLETED,8.64,0.0,0.0,
TXN-000020,BKG-1014,FLT-1001,PAX-1014,RWQ739,1,TICKET_PURCHASE,2025-11-16,1764.65,6476.27,147348.43,INR,VOUCHER,COMPLETED,211.76,29.16,0.0,
TXN-000021,BKG-1014,FLT-1001,PAX-1014,RWQ739,1,MEAL_PURCHASE,2025-11-16,147.39,540.91,12306.78,AED,CREDIT_CARD,COMPLETED,7.37,0.0,0.0,
TXN-000022,BKG-1015,FLT-1001,PAX-1015,QBS549,1,TICKET_PURCHASE,2025-11-09,2393.78,8785.16,199880.35,AED,LOYALTY_POINTS,COMPLETED,287.25,90.07,179.74,PROMO208
TXN-000023,BKG-1016,FLT-1001,PAX-1016,CRN118,1,TICKET_PURCHASE,2025-11-10,886.42,3253.17,74016.32,AED,BANK_TRANSFER,COMPLETED,106.37,71.12,0.0,
TXN-000024,BKG-1017,FLT-1001,PAX-1017,XFR684,1,TICKET_PURCHASE,2025-12-04,1440.57,5286.9,120287.74,USD,LOYALTY_POINTS,COMPLETED,172.87,82.29,0.0,
TXN-000025,BKG-1017,FLT-1001,PAX-1017,XFR684,1,SEAT_UPGRADE,2025-12-04,60.2,220.95,5027.06,AED,BANK_TRANSFER,COMPLETED,3.01,0.0,0.0,
TXN-000026,BKG-1018,FLT-1001,PAX-1018,FIC831,1,TICKET_PURCHASE,2025-12-15,750.74,2755.22,62686.82,USD,CREDIT_CARD,COMPLETED,90.09,39.27,0.0,
TXN-000027,BKG-1019,FLT-1001,PAX-1019,LPG526,1,TICKET_PURCHASE,2025-11-12,2076.85,7622.05,173417.27,AED,DEBIT_CARD,COMPLETED,249.22,98.24,0.0,
TXN-000028,BKG-1020,FLT-1001,PAX-1020,RZM286,1,TICKET_PURCHASE,2025-11-11,2377.75,8726.35,198542.29,GBP,CASH,COMPLETED,285.33,33.21,0.0,
TXN-000029,BKG-1021,FLT-1001,PAX-1021,MMY631,1,TICKET_PURCHASE,2025-10-27,2336.5,8574.96,195097.84,INR,CASH,COMPLETED,280.38,80.42,0.0,
