shipment_id,awb_number,flight_id,flight_number,aircraft_registration,origin,destination,cargo_type,weight_kg,volume_cbm,pieces,is_temperature_sensitive,required_temp_min_c,required_temp_max_c,is_dangerous_goods,dg_class,priority,status,shipper_name,consignee_name
SHP-70001,607-10000001,FLT-1005,EY401,A6-BLA,AUH,BKK,General,1500,8.98,12,False,,,False,,Standard,BOOKED,Shipper_101,Consignee_201
SHP-70002,607-10000002,FLT-1005,EY401,A6-BLA,AUH,BKK,Pharmaceutical,250,1.50,5,True,-20,8,False,,Critical,BOOKED,Shipper_102,Consignee_202
SHP-70003,607-10000003,FLT-1005,EY401,A6-BLA,AUH,BKK,Perishable,800,4.79,8,True,2,8,False,,Express,BOOKED,Shipper_103,Consignee_203
SHP-70004,607-10000004,FLT-1005,EY401,A6-BLA,AUH,BKK,Dangerous Goods,120,0.72,3,False,,,True,3,Standard,BOOKED,Shipper_104,Consignee_204
SHP-70005,607-10000005,FLT-1006,EY402,A6-BLA,BKK,AUH,General,1200,7.19,10,False,,,False,,Standard,BOOKED,Shipper_105,Consignee_205
SHP-70006,607-10000006,FLT-1006,EY402,A6-BLA,BKK,AUH,Valuable,50,0.30,2,False,,,False,,Critical,BOOKED,Shipper_106,Consignee_206
SHP-70007,607-10000007,FLT-1007,EY406,A6-BLA,AUH,BKK,General,1800,10.78,15,False,,,False,,Standard,BOOKED,Shipper_107,Consignee_207
SHP-70008,607-10000008,FLT-1007,EY406,A6-BLA,AUH,BKK,Live Animals,300,1.80,4,False,,,False,,Express,BOOKED,Shipper_108,Consignee_208
SHP-70009,607-10000009,FLT-1011,EY11,A6-APA,AUH,LHR,General,2500,14.97,20,False,,,False,,Standard,BOOKED,Shipper_109,Consignee_209
SHP-70010,607-10000010,FLT-1011,EY11,A6-APA,AUH,LHR,Pharmaceutical,400,2.40,8,True,-20,8,False,,Critical,BOOKED,Shipper_110,Consignee_210
SHP-70011,607-10000011,FLT-1011,EY11,A6-APA,AUH,LHR,Perishable,1200,7.19,12,True,2,8,False,,Express,BOOKED,Shipper_111,Consignee_211
SHP-70012,607-10000012,FLT-1011,EY11,A6-APA,AUH,LHR,Mail,600,3.59,25,False,,,False,,Standard,BOOKED,Shipper_112,Consignee_212
SHP-70013,607-10000013,FLT-1012,EY12,A6-APA,LHR,AUH,General,2200,13.17,18,False,,,False,,Standard,BOOKED,Shipper_113,Consignee_213
SHP-70014,607-10000014,FLT-1012,EY12,A6-APA,LHR,AUH,Valuable,80,0.48,3,False,,,False,,Critical,BOOKED,Shipper_114,Consignee_214
SHP-70015,607-10000015,FLT-1015,EY19,A6-APB,AUH,LHR,General,2400,14.37,19,False,,,False,,Standard,BOOKED,Shipper_115,Consignee_215
SHP-70016,607-10000016,FLT-1015,EY19,A6-APB,AUH,LHR,Dangerous Goods,150,0.90,4,False,,,True,8,Standard,BOOKED,Shipper_116,Consignee_216
SHP-70017,607-10000017,FLT-1016,EY20,A6-APB,LHR,AUH,General,2100,12.57,17,False,,,False,,Standard,BOOKED,Shipper_117,Consignee_217
SHP-70018,607-10000018,FLT-1019,EY25,A6-BLE,AUH,LHR,General,1600,9.58,13,False,,,False,,Standard,BOOKED,Shipper_118,Consignee_218
